,Alt_ID,in_degree,out_degree,out/in
CLOCK,CLOCK,1.0,7.0,7.0
ELK4,ELK4,2.0,13.0,6.5
TFE3,TFE3,1.0,6.0,6.0
PROX1,PROX1,1.0,6.0,6.0
CREB1,CREB1,3.0,15.0,5.0
SNAI2,SNAI2,2.0,9.0,4.5
NFAT5,NFAT5,3.0,13.0,4.333333333333333
PKNOX1,PKNOX1,2.0,8.0,4.0
CNOT3,CNOT3,1.0,4.0,4.0
BDP1,BDP1,2.0,6.0,3.0
ZNF410,ZNF410,1.0,3.0,3.0
KLF12,KLF12,3.0,8.0,2.6666666666666665
ZFX,ZFX,3.0,8.0,2.6666666666666665
NR2C2,NR2C2,3.0,8.0,2.6666666666666665
HOXA11,HOXA11,2.0,5.0,2.5
BRF1,BRF1,2.0,5.0,2.5
NF1,NF1,3.0,7.0,2.3333333333333335
DBP,DBP,4.0,9.0,2.25
HMBOX1,HMBOX1,2.0,4.0,2.0
HBP1,HBP1,4.0,8.0,2.0
ZBTB49,ZBTB49,2.0,4.0,2.0
NR4A2,NR4A2,3.0,6.0,2.0
FOS,FOS,2.0,4.0,2.0
GFI1,GFI1,3.0,6.0,2.0
ZNF384,ZNF384,2.0,4.0,2.0
MYB,MYB,6.0,11.0,1.8333333333333333
NFIL3,NFIL3,5.0,9.0,1.8
SOX12,SOX12,4.0,7.0,1.75
RFX7,RFX7,4.0,7.0,1.75
ZNF143,ZNF143,7.0,12.0,1.7142857142857142
GTF2A1,GTF2A1,3.0,5.0,1.6666666666666667
RUNX1,RUNX1,3.0,5.0,1.6666666666666667
REST,REST,3.0,5.0,1.6666666666666667
SP3,SP3,5.0,8.0,1.6
FLI1,FLI1,5.0,8.0,1.6
ATF2,ATF2,4.0,6.0,1.5
IKZF3,IKZF3,2.0,3.0,1.5
FOXD3,FOXD3,4.0,6.0,1.5
EGR2,EGR2,2.0,3.0,1.5
HIC1,HIC1,7.0,10.0,1.4285714285714286
STAT4,STAT4,3.0,4.0,1.3333333333333333
BRCA1,BRCA1,6.0,8.0,1.3333333333333333
GABPB1,GABPB1,3.0,4.0,1.3333333333333333
MYC,MYC,4.0,5.0,1.25
MTF1,MTF1,4.0,5.0,1.25
ATF1,ATF1,4.0,5.0,1.25
ERF,ERF,9.0,11.0,1.2222222222222223
POU2F1,POU2F1,10.0,12.0,1.2
RFX3,RFX3,6.0,7.0,1.1666666666666667
ZBTB6,ZBTB6,2.0,2.0,1.0
HOXA6,HOXA6,6.0,6.0,1.0
NFE2L2,NFE2L2,3.0,3.0,1.0
EHF,EHF,6.0,6.0,1.0
MAZ,MAZ,7.0,7.0,1.0
E2F3,E2F3,8.0,8.0,1.0
FOXO1,FOXO1,4.0,4.0,1.0
NR2F6,NR2F6,7.0,7.0,1.0
ATF5,ATF5,5.0,5.0,1.0
EMX1,EMX1,1.0,1.0,1.0
HSF2,HSF2,4.0,4.0,1.0
THRA,THRA,2.0,2.0,1.0
TFEC,TFEC,3.0,3.0,1.0
DR1,DR1,2.0,2.0,1.0
REL,REL,8.0,7.0,0.875
CEBPB,CEBPB,7.0,6.0,0.8571428571428571
ZNF148,ZNF148,6.0,5.0,0.8333333333333334
STAT1,STAT1,6.0,5.0,0.8333333333333334
BACH1,BACH1,5.0,4.0,0.8
KLF16,KLF16,5.0,4.0,0.8
RFX1,RFX1,5.0,4.0,0.8
ETV6,ETV6,5.0,4.0,0.8
FOXO3,FOXO3,5.0,4.0,0.8
NR1H2,NR1H2,5.0,4.0,0.8
ZNF524,ZNF524,4.0,3.0,0.75
SP4,SP4,4.0,3.0,0.75
CDC5L,CDC5L,4.0,3.0,0.75
BBX,BBX,3.0,2.0,0.6666666666666666
EBF1,EBF1,3.0,2.0,0.6666666666666666
TFCP2,TFCP2,8.0,5.0,0.625
PATZ1,PATZ1,5.0,3.0,0.6
ZNF219,ZNF219,5.0,3.0,0.6
TTF1,TTF1,4.0,2.0,0.5
TNFRSF10A,TNFRSF10A,2.0,1.0,0.5
ETS1,ETS1,4.0,2.0,0.5
CEBPZ,CEBPZ,4.0,2.0,0.5
E2F7,E2F7,9.0,4.0,0.4444444444444444
SREBF2,SREBF2,7.0,3.0,0.42857142857142855
SIRT6,SIRT6,7.0,3.0,0.42857142857142855
TBP,TBP,7.0,3.0,0.42857142857142855
PITX1,PITX1,5.0,2.0,0.4
STAT3,STAT3,5.0,2.0,0.4
DLX5,DLX5,5.0,2.0,0.4
CEBPD,CEBPD,14.0,5.0,0.35714285714285715
ETV3,ETV3,9.0,3.0,0.3333333333333333
SMAD4,SMAD4,3.0,1.0,0.3333333333333333
SOX18,SOX18,6.0,2.0,0.3333333333333333
TGIF1,TGIF1,3.0,1.0,0.3333333333333333
ZSCAN16,ZSCAN16,3.0,1.0,0.3333333333333333
SPDEF,SPDEF,3.0,1.0,0.3333333333333333
ETV1,ETV1,6.0,2.0,0.3333333333333333
JDP2,JDP2,23.0,6.0,0.2608695652173913
TRIM28,TRIM28,4.0,1.0,0.25
HOXB3,HOXB3,4.0,1.0,0.25
E2F6,E2F6,8.0,2.0,0.25
HSF1,HSF1,4.0,1.0,0.25
ELF1,ELF1,5.0,1.0,0.2
ALX3,ALX3,6.0,1.0,0.16666666666666666
ZNF35,ZNF35,9.0,1.0,0.1111111111111111
HOXA13,HOXA13,1.0,0.0,0.0
HESX1,HESX1,2.0,0.0,0.0
FOXJ2,FOXJ2,5.0,0.0,0.0
HIC2,HIC2,1.0,0.0,0.0
SH2D1A,SH2D1A,1.0,0.0,0.0
HLTF,HLTF,8.0,0.0,0.0
YY1,YY1,4.0,0.0,0.0
TBX1,TBX1,5.0,0.0,0.0
MECOM,MECOM,6.0,0.0,0.0
LHX4,LHX4,4.0,0.0,0.0
