,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5548,3,RUNX3,5548,-1.0,5.657802154915023,0.6158501900578904,1.0882664355937736e-44,-7.092630467398816,6.206760287901765,0.25,0.12,25,12
5561,3,RUNX3,5561,-1.0,5.657802154915023,0.3701535237941733,6.364636724793131e-15,-3.689190606987488,2.6724681077225267,0.25,0.12,25,12
5562,3,RUNX3,5562,-1.0,5.657802154915023,0.5263643201568817,5.9486281211733515e-31,-2.5851807391634685,1.7727265772459952,0.25,0.12,25,12
7563,3,ETV3,7563,1.0,4.37558722889498,0.2900039959167775,1.7456665434797995e-09,6.085668941414256,4.780955890903031,1.0,0.6363636363636364,22,14
7571,3,ETV3,7571,1.0,4.37558722889498,0.44266010530415983,2.4244656271521933e-21,3.1105427484543062,2.042566787380408,1.0,0.6363636363636364,22,14
7576,3,ETV3,7576,1.0,4.37558722889498,0.22120236800042983,5.387131195567428e-06,5.392305322136191,3.996899371293305,1.0,0.6363636363636364,22,14
7564,3,ETV3,7564,1.0,4.37558722889498,-0.3158125814293965,4.59740896267691e-11,-2.5739146816985614,1.6113531898137754,1.0,0.6363636363636364,22,14
7560,3,ETV3,7560,1.0,4.37558722889498,0.4794933916267075,3.0188588736451405e-25,3.7073106211429336,2.527143567802628,1.0,0.6363636363636364,22,14
7580,3,ETV3,7580,1.0,4.37558722889498,0.5273362681495212,4.430908165807699e-31,3.2865899287193487,2.1707295552286716,1.0,0.6363636363636364,22,14
7573,3,ETV3,7573,1.0,4.37558722889498,0.4771863373225343,5.477226721379873e-25,4.719598076856078,3.33016982790155,1.0,0.6363636363636364,22,14
7581,3,ETV3,7581,1.0,4.37558722889498,0.2883483767847309,2.1778591883393386e-09,3.9027387606789943,2.7022598406286065,1.0,0.6363636363636364,22,14
7574,3,ETV3,7574,1.0,4.37558722889498,0.2368532659064351,1.0601790933152025e-06,6.146785502982508,4.582423619732102,1.0,0.6363636363636364,22,14
7577,3,ETV3,7577,1.0,4.37558722889498,0.4337225154799802,1.830958071783895e-20,2.4738550721965877,1.5386273473433612,1.0,0.6363636363636364,22,14
7562,3,ETV3,7562,1.0,4.37558722889498,0.4071320398651462,5.318877139186098e-18,2.2076433987721513,1.3374465566933527,1.0,0.6363636363636364,22,14
7565,3,ETV3,7565,1.0,4.37558722889498,0.3656644974547018,1.4174300763224956e-14,3.2284780723285436,2.148724136366966,1.0,0.6363636363636364,22,14
7568,3,ETV3,7568,1.0,4.37558722889498,0.3351620528938496,2.3665555490248807e-12,4.523327308942644,3.19513853168517,1.0,0.6363636363636364,22,14
7570,3,ETV3,7570,1.0,4.37558722889498,0.4876134974681334,3.576535520776211e-26,2.4934775144909933,1.5413657627817385,1.0,0.6363636363636364,22,14
450,3,LBX2,450,1.0,4.1542327874706135,0.14164635129145345,0.0038347586624481755,2.7425806303934435,1.7472984980411286,1.0,0.5,20,10
454,3,LBX2,454,1.0,4.1542327874706135,0.3918617614269788,1.1067578832770518e-16,2.7582309085320946,1.7534959064292537,1.0,0.5,20,10
451,3,LBX2,451,1.0,4.1542327874706135,-0.3628425071523552,2.3298578364205524e-14,-3.8103081791017854,2.745078703599783,1.0,0.5,20,10
447,3,LBX2,447,1.0,4.1542327874706135,0.19609541846315026,5.77471878033119e-05,3.327184527412192,2.2413904969977922,1.0,0.5,20,10
440,3,LBX2,440,1.0,4.1542327874706135,0.30937865173066853,1.1772416616279147e-10,2.3566420229584977,1.467210804041549,1.0,0.5,20,10
439,3,LBX2,439,1.0,4.1542327874706135,-0.2375879773273697,9.795037730234704e-07,-5.147174698474382,5.743846308139674,1.0,0.5,20,10
449,3,LBX2,449,1.0,4.1542327874706135,0.41407251077890156,1.2701913254084024e-18,2.497463192972014,1.5480515663532084,1.0,0.5,20,10
456,3,LBX2,456,1.0,4.1542327874706135,0.3459097258599616,4.1526572954540115e-13,3.799881819484188,2.6404396449776857,1.0,0.5,20,10
441,3,LBX2,441,1.0,4.1542327874706135,0.18602705134920955,0.00013809799008170846,4.662344322713763,3.3512566323170057,1.0,0.5,20,10
445,3,LBX2,445,1.0,4.1542327874706135,0.20661475332769202,2.213116189887009e-05,5.656520633441088,4.06086833683144,1.0,0.5,20,10
5415,3,DLX3,5415,1.0,2.0544447777082104,-0.20978181430860807,1.6419588121124595e-05,-5.907757127926901,4.795832625291143,1.0,0.7272727272727273,22,16
5429,3,DLX3,5429,1.0,2.0544447777082104,0.16855673891359818,0.0005645298109605418,2.619505758867092,1.6375770170007846,1.0,0.7272727272727273,22,16
5423,3,DLX3,5423,1.0,2.0544447777082104,0.12502818694215284,0.010792512867843643,3.3954854698120984,2.2483219690847873,1.0,0.7272727272727273,22,16
5421,3,DLX3,5421,1.0,2.0544447777082104,0.12182458414629799,0.013008860641276892,3.934612128243555,2.683745792016347,1.0,0.7272727272727273,22,16
5417,3,DLX3,5417,1.0,2.0544447777082104,0.09248775908867682,0.059771887218323945,5.560953107821632,4.1416839835338815,1.0,0.7272727272727273,22,16
5422,3,DLX3,5422,1.0,2.0544447777082104,0.15545208363479593,0.0014902286941966192,2.8035714192701464,1.7893394034416734,1.0,0.7272727272727273,22,16
5436,3,DLX3,5436,1.0,2.0544447777082104,0.056480358797239276,0.2509526543703022,3.099249135159395,2.0377165337749883,1.0,0.7272727272727273,22,16
5431,3,DLX3,5431,1.0,2.0544447777082104,0.08353671852904274,0.0892040842356699,3.0793157553914314,2.024182361174817,1.0,0.7272727272727273,22,16
5416,3,DLX3,5416,1.0,2.0544447777082104,0.07094167007049021,0.14911886169966004,4.20141224515328,2.921781938459223,1.0,0.7272727272727273,22,16
5430,3,DLX3,5430,1.0,2.0544447777082104,0.15828045187678197,0.0012159647028467298,2.8316354529971615,1.8005838807303698,1.0,0.7272727272727273,22,16
5432,3,DLX3,5432,1.0,2.0544447777082104,0.1719844074636433,0.0004327223474065047,6.086251897996163,4.65337801912107,1.0,0.7272727272727273,22,16
5435,3,DLX3,5435,1.0,2.0544447777082104,0.08308825108999632,0.0909409319017377,2.9615844795713078,1.9428434531905914,1.0,0.7272727272727273,22,16
5433,3,DLX3,5433,1.0,2.0544447777082104,-0.3507406732568876,1.857896113176888e-13,-4.559883122739254,3.2746840931322194,1.0,0.7272727272727273,22,16
5434,3,DLX3,5434,1.0,2.0544447777082104,0.05855540252082711,0.23393329109033806,2.4852333616905695,1.5323431336688256,1.0,0.7272727272727273,22,16
5427,3,DLX3,5427,1.0,2.0544447777082104,0.08476723255842629,0.08457493818174898,3.0644467261867496,2.015798987147262,1.0,0.7272727272727273,22,16
5424,3,DLX3,5424,1.0,2.0544447777082104,0.29005227897259583,1.7344040787912285e-09,3.7473366671423287,2.5354964141556646,1.0,0.7272727272727273,22,16
245,3,PKNOX2,245,-1.0,4.9182705366023844,-0.041345482263502174,0.40085775978058114,2.3203302432050887,1.4080123289417628,1.0,0.391304347826087,23,9
231,3,PKNOX2,231,-1.0,4.9182705366023844,0.8127951605754121,5.830069825646092e-99,-5.622903544797994,6.123758017771052,1.0,0.391304347826087,23,9
233,3,PKNOX2,233,-1.0,4.9182705366023844,-0.38064851378759185,9.319686348428832e-16,4.779245457763743,3.434691185171225,1.0,0.391304347826087,23,9
235,3,PKNOX2,235,-1.0,4.9182705366023844,-0.5236195618594781,1.3597166921509298e-30,4.8915381119614665,3.5611413932138407,1.0,0.391304347826087,23,9
244,3,PKNOX2,244,-1.0,4.9182705366023844,-0.24413775503351198,4.782247393688606e-07,2.8445165804240635,1.83298124309538,1.0,0.391304347826087,23,9
247,3,PKNOX2,247,-1.0,4.9182705366023844,-0.37757300103423735,1.6483447483185136e-15,4.739482211152018,3.4046913072481195,1.0,0.391304347826087,23,9
240,3,PKNOX2,240,-1.0,4.9182705366023844,-0.10938889336610658,0.02585447264056262,3.8257055265301285,2.7300852379907923,1.0,0.391304347826087,23,9
249,3,PKNOX2,249,-1.0,4.9182705366023844,-0.4542444023585983,1.6114892997552182e-22,2.43684520306666,1.5049008267901236,1.0,0.391304347826087,23,9
232,3,PKNOX2,232,-1.0,4.9182705366023844,0.4761282588548173,7.187218797040889e-25,-7.283407270499902,6.33094412509216,1.0,0.391304347826087,23,9
5860,3,FOXP3,5860,-1.0,5.496805580214091,0.28209661388027024,4.9568716801771425e-09,-2.9811908607494932,2.147140170456248,0.6,0.16666666666666666,18,5
5857,3,FOXP3,5857,-1.0,5.496805580214091,0.7340685484412566,2.0379868116425918e-71,-6.53612716211071,5.5983660439335665,0.6,0.16666666666666666,18,5
5863,3,FOXP3,5863,-1.0,5.496805580214091,0.5316283528763885,1.1929214904673198e-31,-2.524794863042633,1.6282126846679437,0.6,0.16666666666666666,18,5
2218,3,OTX1,2218,1.0,3.2638903056942734,0.4086664383285651,3.88655459403121e-18,5.113911531419,3.606408755795925,1.0,0.6,25,15
2220,3,OTX1,2220,1.0,3.2638903056942734,0.18634907523068864,0.00013439289766390813,2.391883006643951,1.5035319093219206,1.0,0.6,25,15
2230,3,OTX1,2230,1.0,3.2638903056942734,0.21363128097674983,1.135326054271748e-05,3.647985019424398,2.4980942694182326,1.0,0.6,25,15
2221,3,OTX1,2221,1.0,3.2638903056942734,0.33310768156236986,3.275495369933373e-12,3.3946708179401086,2.2695376801098783,1.0,0.6,25,15
2214,3,OTX1,2214,1.0,3.2638903056942734,0.1364227814267102,0.005372833137185877,4.457111554500518,3.2156656574027798,1.0,0.6,25,15
2222,3,OTX1,2222,1.0,3.2638903056942734,0.2752295133712106,1.195249865985428e-08,3.839508249627768,2.6723292105780696,1.0,0.6,25,15
2212,3,OTX1,2212,1.0,3.2638903056942734,0.3101867335562988,1.0474126098114372e-10,4.013982513591885,2.7746393389860504,1.0,0.6,25,15
2217,3,OTX1,2217,1.0,3.2638903056942734,0.41105660098588337,2.3763623788488057e-18,5.332256096875601,3.893856549410464,1.0,0.6,25,15
2227,3,OTX1,2227,1.0,3.2638903056942734,0.1686569018549113,0.0005602002213234764,2.7154030803873987,1.7130234446057,1.0,0.6,25,15
2225,3,OTX1,2225,1.0,3.2638903056942734,0.3329070462451814,3.380700930949939e-12,3.3695059993777736,2.2594811180135967,1.0,0.6,25,15
2224,3,OTX1,2224,1.0,3.2638903056942734,0.28986329935125116,1.7788917123856423e-09,3.973438092809336,2.7331840195932746,1.0,0.6,25,15
2216,3,OTX1,2216,1.0,3.2638903056942734,0.42714486709379323,7.806651861817658e-20,3.0063919122038136,1.9925228723324957,1.0,0.6,25,15
2231,3,OTX1,2231,1.0,3.2638903056942734,0.17257793716672712,0.00041303981593410937,2.611377333131011,1.6575685175668209,1.0,0.6,25,15
2232,3,OTX1,2232,1.0,3.2638903056942734,0.260899282749728,6.945795000206357e-08,3.5565669779342985,2.3985181363518553,1.0,0.6,25,15
2211,3,OTX1,2211,1.0,3.2638903056942734,-0.3511608306134236,1.731239807037624e-13,-4.393036743392379,4.193975368358252,1.0,0.6,25,15
4762,3,SOX8,4762,1.0,1.320239126123243,0.3065185491128394,1.7751819218425106e-10,2.4695733925764873,1.5585961421819907,0.14285714285714285,0.04,25,7
1696,3,HES1,1696,1.0,1.3237674703785358,-0.2594082013673423,8.292501082882435e-08,-3.5654425718546676,2.7549654407349067,1.0,0.5,4,2
1695,3,HES1,1695,1.0,1.3237674703785358,-0.326469758633195,9.20945518522698e-12,-7.111773519048043,6.3005137666614415,1.0,0.5,4,2
4502,3,ISL1,4502,-1.0,4.960771479386305,0.23841452767592108,8.957834141237966e-07,-4.051222117507353,3.049426586096502,1.0,0.5,2,1
2033,3,GATA6,2033,1.0,1.488882956395762,-0.21754643994036346,7.746869611271515e-06,-4.89052562177005,5.315371193809127,1.0,0.4,25,10
2054,3,GATA6,2054,1.0,1.488882956395762,0.2552467394662261,1.3519552042734966e-07,3.772476148430382,2.640308792291948,1.0,0.4,25,10
2049,3,GATA6,2049,1.0,1.488882956395762,0.15369135404494233,0.0016885330955753843,4.987656464392343,3.569842116712382,1.0,0.4,25,10
2043,3,GATA6,2043,1.0,1.488882956395762,0.19865985681857867,4.591677575089216e-05,2.277257804567418,1.3894677494150918,1.0,0.4,25,10
2044,3,GATA6,2044,1.0,1.488882956395762,0.4411517306684934,3.4247822335308986e-21,2.48856255360826,1.5400777349644652,1.0,0.4,25,10
2037,3,GATA6,2037,1.0,1.488882956395762,0.4049589662999825,8.271607025621487e-18,2.5175150987318724,1.579358530704516,1.0,0.4,25,10
2041,3,GATA6,2041,1.0,1.488882956395762,0.3482834347423137,2.801843981159663e-13,3.367845088657662,2.244161502437483,1.0,0.4,25,10
2039,3,GATA6,2039,1.0,1.488882956395762,0.24503733999543326,4.3268133156126684e-07,4.194087368914225,2.9868493925675725,1.0,0.4,25,10
2052,3,GATA6,2052,1.0,1.488882956395762,0.22816584062000514,2.6509882459798546e-06,4.336788205923129,2.993017872592668,1.0,0.4,25,10
2046,3,GATA6,2046,1.0,1.488882956395762,0.23987018307343086,7.647548161842386e-07,2.325667309007867,1.4241936691122727,1.0,0.4,25,10
4849,3,E2F2,4849,1.0,4.066689377972883,-0.4149391881908907,1.059698659091448e-18,-4.492501726477279,4.328851061430795,1.0,0.7857142857142857,14,11
4850,3,E2F2,4850,1.0,4.066689377972883,0.583072255577494,3.676443857637221e-39,4.472394742660679,3.198561214358775,1.0,0.7857142857142857,14,11
4860,3,E2F2,4860,1.0,4.066689377972883,0.5172344897986595,9.038816921141814e-30,3.8005605273790213,2.6005820926684264,1.0,0.7857142857142857,14,11
4851,3,E2F2,4851,1.0,4.066689377972883,0.6719824112503525,7.855738837432165e-56,3.5390996386775844,2.4756536448991957,1.0,0.7857142857142857,14,11
4858,3,E2F2,4858,1.0,4.066689377972883,-0.30235691931606024,3.201566769356195e-10,-2.662865543380697,1.6971187356382822,1.0,0.7857142857142857,14,11
4861,3,E2F2,4861,1.0,4.066689377972883,0.52376747793851,1.3007187658375886e-30,7.755629587252287,6.241880704603104,1.0,0.7857142857142857,14,11
4856,3,E2F2,4856,1.0,4.066689377972883,0.41782548253213525,5.774041600849075e-19,4.702134563075576,3.723216997981999,1.0,0.7857142857142857,14,11
4854,3,E2F2,4854,1.0,4.066689377972883,0.6740673395924835,2.7149843823995095e-56,4.774070007343332,3.4723191523490455,1.0,0.7857142857142857,14,11
4857,3,E2F2,4857,1.0,4.066689377972883,0.45251406965655266,2.4320084964212957e-22,2.2462713661165057,1.3475756554564056,1.0,0.7857142857142857,14,11
4855,3,E2F2,4855,1.0,4.066689377972883,0.44484258102644697,1.4663132320766239e-21,3.6476598830599016,2.518627248814142,1.0,0.7857142857142857,14,11
4862,3,E2F2,4862,1.0,4.066689377972883,0.5925289787914199,1.0841517775183831e-40,3.970189136148581,2.7430522049735004,1.0,0.7857142857142857,14,11
7782,3,PRDM4,7782,1.0,2.8340836694046665,0.4607980416649877,3.3184909411287485e-23,4.569832794911947,3.3320431967867674,1.0,0.5,14,7
7780,3,PRDM4,7780,1.0,2.8340836694046665,0.18365401404950907,0.00016850684755155348,4.347308140861783,3.333220104603492,1.0,0.5,14,7
7786,3,PRDM4,7786,1.0,2.8340836694046665,0.4593954412969604,4.667319670779805e-23,3.257061220489725,2.144105770987005,1.0,0.5,14,7
7781,3,PRDM4,7781,1.0,2.8340836694046665,0.5612505204765551,8.168091058096458e-36,4.695071573200247,3.3508497513401574,1.0,0.5,14,7
