,Regulon_ID,Regulator,Gene
0,0,ETS1,IL11RA
1,0,ETS1,LRRC37A3
2,0,ETS1,ZFHX4
3,0,ETS1,ROBO4
4,0,ETS1,MYRIP
5,0,ETS1,DCN
6,0,ETS1,EFCC1
7,0,ETS1,APOBEC2
8,0,ETS1,GNAS
9,0,ETS1,SRGAP3
10,0,ETS1,ANXA9
11,0,ETS1,RBFOX2
12,0,ETS1,ITGA1
13,0,ETS1,VLDLR
14,0,ETS1,AMIGO2
15,0,ETS1,ZNF462
16,0,ETS1,AMPD2
17,0,ETS1,SPON1
18,0,ETS1,PDK2
19,0,ETS1,VEZT
20,0,ETS1,LRRC1
21,0,ETS1,CAV1
22,0,ETS1,CDRT4
23,0,ETS1,ATP8B1
24,0,ETS1,TMEM61
25,0,ETS1,CNN3
26,0,ETS1,FOXK1
27,0,ETS1,PHYHIPL
28,0,ETS1,VPS9D1
29,0,ETS1,ABO
30,0,ETS1,SNAP25
31,0,ETS1,MROH6
32,0,ETS1,MED8
33,0,ETS1,IRF2BP2
34,0,ETS1,ANKRD50
35,0,ETS1,PLAGL2
36,0,ETS1,COLGALT2
37,0,ETS1,KLHL26
38,0,ETS1,UGT1A1
39,0,ETS1,ALDH3A2
40,0,ETS1,AEBP1
41,0,ETS1,TMEM59
42,0,ETS1,CLDN4
43,0,ETS1,DUSP6
44,0,ETS1,DNAJC18
45,0,ETS1,PCDH12
46,0,ETS1,THBS3
47,0,ETS1,GJA5
48,0,ETS1,PCDH18
49,0,ETS1,NID1
50,0,ETS1,ADGRB3
51,0,ETS1,CPAMD8
52,0,ETS1,SCN4B
53,0,ETS1,IL33
54,0,ETS1,NFIC
55,0,ETS1,CTF1
56,0,ETS1,TRIM44
57,0,ETS1,BCL9L
58,0,ETS1,MBNL3
59,0,ETS1,EPN3
60,0,ETS1,AGPAT3
61,0,ETS1,RAPGEF3
62,0,ETS1,ZNF219
63,0,ETS1,SH3RF3
64,0,ETS1,RNASE4
65,0,ETS1,MCFD2
66,0,ETS1,ISLR
67,0,ETS1,MEF2A
68,0,ETS1,TSPAN5
69,0,ETS1,S1PR3
70,0,ETS1,PCDHB9
71,0,ETS1,LBX2
72,0,ETS1,SAA2-SAA4
73,0,ETS1,PLEKHG2
74,0,ETS1,RNF150
75,0,ETS1,VIPR2
76,0,ETS1,KDR
77,0,ETS1,FN1
78,0,ETS1,STIM2
79,0,ETS1,DKK3
80,0,ETS1,GORASP2
81,0,ETS1,DYNC1I1
82,0,ETS1,TMEM204
83,0,ETS1,CRISP3
84,0,ETS1,ZNF521
85,0,ETS1,REEP3
86,0,ETS1,HPGD
87,0,ETS1,CDKL3
88,0,ETS1,CMTM3
89,0,ETS1,MPP4
90,0,ETS1,RND3
91,0,ETS1,COL5A1
92,0,ETS1,S1PR1
93,0,ETS1,NHLRC4
94,0,ETS1,MAB21L3
95,0,ETS1,FLRT2
96,0,ETS1,CDH17
97,0,ETS1,OMD
98,0,ETS1,PRDM5
99,0,ETS1,HOXC4
100,0,ETS1,MACROD1
101,0,ETS1,SRPX
102,0,ETS1,ATL1
103,0,ETS1,CTSE
104,0,ETS1,BDKRB2
105,0,ETS1,LAMA4
106,0,ETS1,CDH11
107,0,ETS1,ANG
108,0,ETS1,GABRG3
109,0,ETS1,SHROOM4
110,0,ETS1,ANKAR
111,0,ETS1,FAT4
112,0,ETS1,COL1A1
113,0,ETS1,IQSEC3
114,0,ETS1,PHYH
115,0,ETS1,HSPB6
116,0,ETS1,NEGR1
117,0,ETS1,EMID1
118,0,ETS1,CLMP
119,0,ETS1,TM4SF18
120,0,ETS1,HGF
121,0,ETS1,HOXD10
122,0,ETS1,RARA
123,0,ETS1,TMEM185A
124,0,ETS1,SH3BGRL2
125,0,ETS1,KDSR
126,0,ETS1,ADCY6
127,0,ETS1,CLCF1
128,0,ETS1,ATF6
129,0,ETS1,KRT17
130,0,ETS1,SGK2
131,0,ETS1,NHLRC3
132,0,ETS1,LDAH
133,0,ETS1,LRCOL1
134,0,ETS1,TEAD3
135,0,ETS1,PDGFC
136,0,ETS1,SCRN2
137,0,ETS1,ACOX3
138,0,ETS1,COL6A1
139,0,ETS1,PLXDC2
140,0,ETS1,BICC1
141,0,ETS1,SLC46A1
142,0,ETS1,CRIM1
143,0,ETS1,RAB44
144,0,ETS1,LRCH1
145,0,ETS1,COL9A2
146,0,ETS1,CNTROB
147,0,ETS1,JPH1
148,0,ETS1,C1orf116
149,0,ETS1,HNF1A
150,0,ETS1,IL17D
151,0,ETS1,TMEM47
152,0,ETS1,NRARP
153,0,ETS1,RNF217
154,0,ETS1,P4HTM
155,0,ETS1,TMEM187
156,0,ETS1,VEPH1
157,0,ETS1,HIF3A
158,0,ETS1,COMT
