,Coefficient
ERG,0.0
NFKB1,0.0
PRRX1,0.0027012807910424073
THRA,0.0
HOXA1,0.0
HMGA1,0.0
NR2F2,0.0
NFAT5,0.0
GATA6,-0.0013152564210968914
ATF4,0.0
GSC,0.0
TCF21,0.0
GATA5,0.0
PRDM4,0.0006034235342771717
CREB3,0.0
ZNF524,0.00013220677554064256
GLIS2,0.0
IRX5,0.0
KLF4,0.0
NR2E1,0.0019837723670200163
DLX2,0.0014293059078472167
NFATC4,0.0
ELK3,0.0
IRX4,0.0
FOXC1,0.0
HSF2,0.0
HOXB2,0.018088985750740423
HOXB3,0.02871812559597042
HOXA7,0.0
OSR1,0.0
HOXA6,-0.0002554083303050797
ONECUT2,0.0
HOXD9,0.0
BHLHE40,0.0
FOXO1,0.0
ETV1,0.0022381284355600475
PRDM1,0.0
MGA,0.0004193305441724922
HOXA11,0.0
FOXJ3,0.0
ZNF652,0.0
EVX2,5.584626643568771e-05
FOXK1,0.0
CUX1,-0.00039491597445714315
GLIS1,0.09121667073234735
NFIA,0.0
ZIC2,0.0
HOXC4,0.0
HOXD8,0.0
HES1,0.0
HOXB8,0.0
TP63,0.04973923870846701
IRF7,0.0
FLI1,0.0
SHOX2,0.00012172942247367166
ZIC1,0.06534938612309878
EHF,0.0
ATF5,0.000737308294181216
CNOT3,0.00035977222403326027
HOXA3,0.0
STAT3,0.0
TBX5,0.0
OSR2,0.0
NR1H4,0.0
SOX21,0.0
OTX2,0.0
HOXA2,0.0
TEAD1,0.0
TBX20,-0.018841023695820466
ARID5A,0.0
UNCX,0.015344805549568923
ELF1,0.0
EBF1,0.00013985003836456525
LMO2,0.0
TCF7L2,0.0
CREB3L2,0.0
RARA,0.0
CREB3L1,0.0
ZSCAN16,0.0
EMX2,0.0
ETV6,0.0
AHR,0.0
JUN,0.0
DLX1,0.0676683692849148
MECOM,0.0
NFE2L2,0.0
DBX1,0.14504034550938558
HOXB4,0.0
FOXL1,0.0
ELF2,0.0014044568165230062
RORA,0.0
NFE2L1,0.0
ETV4,0.0
XBP1,0.0
HOXC5,-0.0003174479161060293
CEBPG,0.01415348611186455
HOXD11,0.0
GLI3,0.0
BACH2,0.017199287794106666
PBX1,0.0
PHOX2B,0.06445010932169384
ZEB1,0.0
FOXC2,0.0
SIX1,0.005923179689248064
HNF1B,0.0
HOXC8,-0.01329127442788069
SOX9,0.000961027239818696
NFKB2,0.0
MEIS2,0.0
NKX2-1,0.0
OTX1,0.0
DEAF1,0.0008179082018653377
HOXC10,0.0067155502078922414
CENPB,0.0
SOX12,0.0
TEAD4,0.0
BCL6,0.0
ZNF410,0.0
MEOX2,0.0
CLOCK,0.0009396424980647123
POU3F3,0.20847498866050004
RUNX2,0.0
RUNX1,0.0
HMBOX1,0.0
TBR1,-0.00033149441033498246
MAF,0.0
MNT,0.0035001525378043218
RARB,0.0
HOXC9,0.0
SP1,0.0
HOXB7,0.0
NKX1-2,0.0
SCRT2,0.044975924965288884
FOXO4,0.0
NEUROD2,0.013803082242497114
MTERF1,0.0
PEBP1,0.0
FOXI1,-2.8179450202080055e-05
SOX5,0.0
IKZF3,0.0
FOXP1,0.0
ZFX,0.0
RBPJ,0.002079855797501077
ETV5,0.0
NR2F1,0.0
