,Coefficient
MYBL1,0.0
ZEB1,0.004962280570922462
EVX2,-0.03508069057457696
HOXA1,-0.005581436868126071
SOX17,0.0
CREB3L1,0.0
ATF4,-0.0005619754345210449
NR3C1,0.018945775490173268
TFCP2L1,-0.0226711456695459
IRF2,0.0
GLIS2,0.10578042253906361
EMX2,-0.001653500359818108
DEAF1,0.0
ETV6,0.0
JUN,0.0
NFATC4,0.0
MEIS1,0.0
MECOM,0.03052761539282789
ZIC1,-0.001223656194882756
ZBTB3,-0.017707375434912936
VAX2,0.0
CNOT3,-0.07924251626585657
HES5,0.0
TBR1,-0.03637115876896198
HOXA7,0.0012994211699544212
OSR1,0.00109359699636647
HOXA6,0.18185917993524728
SIX3,0.0021044597466813152
MSX1,0.0
NR1H3,0.0
HOXB6,0.049433421168665254
RARB,6.593700716689365e-05
DDIT3,0.0
ETS2,0.2333773190050286
NKX6-1,-0.0018762251609570724
DLX5,-0.017026748092737912
CEBPG,0.016589857323326327
SMAD3,0.01398031747868818
BHLHE40,0.0
NFIB,0.04750236927757772
ZBTB33,-6.0290852017144114e-05
CEBPE,0.0
HOXA2,0.0
ETV1,-0.01115927408485892
NR2F1,0.017471056678980256
ARID5A,0.0
