,Coefficient
MYBL1,6.129474483763359e-05
NFKB1,0.0
ZBTB4,0.0
PRRX1,-0.00321669571974962
ELF1,-0.0009047638967945379
HOXA1,-0.014564590290918689
HMGA1,0.0
NR2F2,0.0
NFAT5,0.0
JDP2,0.0
FOXF2,0.0
ATF4,0.00031485083516658285
GATA6,-0.00018111092063470888
CREB3L2,-0.00024852250806071995
FOXA1,0.0
SREBF1,0.0
CREB3L1,0.0
RFX3,0.0018057734147266518
IRX5,0.008311126913033852
EMX2,0.001406051397429675
ETV6,0.0
HOXA10,-0.006292378190883099
AHR,-0.0014204101108159974
DLX2,0.0
DLX1,0.05254104538012019
NFE2L2,0.0
NR3C2,0.0
FOXL1,0.0
HOXB2,0.02176704761723771
RORA,0.1068205155268709
SIX3,0.0
XBP1,-4.6563961974987964e-05
THRB,0.0
HOXC5,0.03638247589057587
ONECUT2,0.0
HOXD11,0.0
MGA,0.0
HOXA11,0.0
PBX1,-0.00010404507625859064
ZNF652,0.0
FOXC2,0.0
SIX1,4.203723142038002e-05
HNF1B,-0.008287945391161422
ETV5,0.0
HOXC8,0.013127051159886412
SOX9,0.0
MEIS2,0.0
FOXK1,0.0
NFIA,0.0
ZIC2,0.0390619650800656
ZNF263,-0.0005566793157766027
HOXB8,0.0010040886113751278
TCF4,0.0
DEAF1,0.0
FLI1,0.0
MEIS1,0.0
DR1,0.0
SOX12,0.010740089422640344
LHX1,0.0002454086135071647
TEAD4,0.0
ZIC1,0.043522350007131214
BCL6,0.0
ZNF589,0.0
MEOX2,0.0
CLOCK,0.0
ATF5,-0.00014598146243081887
POLR3A,0.0
CNOT3,0.0
RUNX1,-0.005119638240169715
HMBOX1,0.0036862124087943616
TBR1,0.30675800544324533
HOXA3,0.0
STAT3,-0.05211164048311297
HOXC11,-0.0004166655976190463
TBX2,0.0
MNT,0.0
SMAD4,-8.681642569047365e-05
RARB,0.0
HOXC9,0.03267316740939011
SOX21,0.009990725357446842
HOXB7,0.002889010897527601
NFIB,-0.00012042905601627716
NEUROD2,0.13349013128591652
OTX2,0.017834117853779394
SOX5,0.00490886517362595
IKZF3,-0.008829877858456856
FOXP1,-0.0012058218636818955
ZFX,0.00010507666198133393
HOXA2,0.08097248675782946
TEAD1,0.0
KLF11,0.0
NR2F1,0.0
TBX20,-0.0027637169763668258
