,Coefficient
MYBL1,0.2260783239087428
HNF1B,0.028724193133617456
NFKB2,-0.007863593646310804
FOXK1,0.2572181971420978
GATA3,-0.023812505425701316
GLIS1,0.0
NFIA,0.0
NR2F2,9.602908316104443e-05
SOX17,0.0
TCF21,0.0
SOX8,0.0
DEAF1,-0.0001942097118874946
HOXC10,-0.002007116961299227
JUN,0.0
RFX2,0.040216650235218115
NR2E1,0.000926803972488261
MECOM,0.00016772784753078828
TBX4,0.0015354123549123323
HOXB4,0.0279478668920242
VAX2,0.0
RUNX1,0.04056912475448594
HEY1,0.0
GLI2,0.0
HOXB3,-0.00025956785300316457
STAT3,0.03950343372710655
HENMT1,0.0
SIX3,0.0011662125013566901
NR1H4,0.07959822356052157
DLX5,0.0013545723963890647
PKNOX2,0.0
FOXO4,0.0
HMGA2,0.01874952560457781
DRGX,0.08086300719811067
ZNF628,0.10436912469326554
