,out_degree_aligned
HES1,18
FOXA1,15
SCRT2,15
IRX5,15
TBR1,14
GLI3,14
TCF7L2,14
MEIS1,14
NR2F2,13
RARA,12
ETV6,12
HOXA11,12
EBF1,12
FOXC1,11
SIX1,11
NFATC4,11
RARB,11
TEAD1,11
NR2E1,10
ZFX,10
ZEB1,10
PHOX2B,9
GSC,9
NR2F1,9
ZBTB4,9
SIX3,9
NEUROD2,8
OTX1,8
ZNF219,8
POU3F3,8
FOXD1,8
MECOM,8
UNCX,8
PRRX1,8
HMGA2,8
SHOX2,8
LHX1,8
DLX1,8
PAX9,8
EHF,8
SOX11,8
OTX2,7
HOXC5,7
HOXA9,7
ZIC2,7
OSR2,7
AHR,7
FOXC2,7
HNF1A,7
NFAT5,7
GTF2IRD1,7
OSR1,7
HOXD9,7
ZBED6,7
RORA,6
MEIS2,6
GATA6,6
SOX9,6
PAX3,6
TBX4,6
NFIB,6
HOXA2,6
ISL1,6
JUN,6
TCF21,6
DLX5,6
FOXJ3,6
HOXC4,6
HOXB4,6
EMX2,6
NR3C1,6
DLX2,6
CREB3L1,5
HOXC11,5
TBX5,5
NR2C2,5
NFE2L1,5
SOX21,5
RUNX1,5
HNF4A,5
ELK3,5
HNF1B,5
MNT,5
HOXC9,5
FOXF2,5
TBX2,5
RFX3,5
FOXO3,5
SOX5,5
NR1I2,5
PBX1,5
MZF1,5
BCL6,5
TP63,4
ALX1,4
JDP2,4
TBX15,4
NFKB1,4
HLX,4
TBX20,4
FOXI1,4
HOXA6,4
HOXB3,4
NKX3-2,4
NFATC2,4
NEUROD1,4
ONECUT2,4
ZNF423,4
GLIS1,4
OLIG2,4
EVX2,4
RFX4,4
SMAD3,4
HOXD11,4
DR1,4
FOXL1,4
FOXO1,4
STAT3,4
FLI1,4
THRA,4
HOXB8,4
NF1,4
ETS2,4
HOXC8,4
DEAF1,4
HEY1,4
PROX1,4
HOXA10,4
CUX1,4
CREB1,4
FOXF1,4
SOX12,4
IRF2,4
RXRA,4
MEOX2,4
SP3,4
ELF3,3
BACH2,3
RFX2,3
MSX1,3
NFIX,3
ZNF148,3
LHX5,3
MAFK,3
PRDM4,3
BHLHE40,3
STAT6,3
MEF2A,3
ISX,3
EOMES,3
ZKSCAN3,3
POU3F4,3
BRF1,3
SOX18,3
HOXA3,3
NKX6-1,3
GC,3
THRB,3
ELF5,3
HOXA13,3
OLIG1,3
NFIA,3
HOXD3,3
ZSCAN26,3
HOXD10,3
ZIC1,3
ELF4,3
TP73,3
HIC1,3
CENPB,3
TEAD3,3
HOXB13,2
ZSCAN16,2
CTF1,2
NKX2-1,2
TCF4,2
MAF,2
NR1H4,2
FOXK1,2
PITX2,2
MEIS3,2
GLIS2,2
E2F8,2
ZNF524,2
HES5,2
POU3F2,2
ERG,2
EPAS1,2
ATF2,2
HOXB7,2
HOXA7,2
CREB3L2,2
ZNF652,2
FOXD2,2
HOXD8,2
BARHL1,2
POU4F1,2
RARG,2
DMRTA2,2
ZNF740,2
ZNF410,2
PKNOX2,2
SMAD4,2
FOXJ2,1
NFE2L2,1
LBX2,1
TBX18,1
HOXD13,1
BARX2,1
FOXP1,1
POU4F2,1
VBP1,1
TFE3,1
MLXIPL,1
SP1,1
ZBTB33,1
DBX1,1
GATA3,1
NR3C2,1
LEF1,1
IRX3,1
SATB1,1
ELF2,1
BORCS8-MEF2B,1
CREB3,1
SOX7,1
TAL1,1
HOXC10,1
PDX1,1
ONECUT1,1
POU4F3,1
LMX1A,1
CDX2,1
TFAP2B,1
BCL6B,1
MEOX1,1
FOXA2,1
LHX4,1
HOXB6,1
SPDEF,1
OTP,0
PAX7,0
SOX8,0
PAX1,0
HSF2,0
PITX1,0
ZNF282,0
AR,0
HDX,0
GLI2,0
BHLHE41,0
GATA5,0
RUNX2,0
TCF7L1,0
NKX2-8,0
VAX2,0
FOXO4,0
YY2,0
SOX1,0
ELF1,0
ZNF713,0
