,Alt_ID,in_degree,out_degree,out/in
SCRT2,SCRT2,2.0,15.0,7.5
EBF1,EBF1,3.0,13.0,4.333333333333333
HOXA11,HOXA11,3.0,13.0,4.333333333333333
HOXD9,HOXD9,2.0,8.0,4.0
HMGA2,HMGA2,2.0,8.0,4.0
RARB,RARB,3.0,11.0,3.6666666666666665
MEIS1,MEIS1,4.0,14.0,3.5
OSR1,OSR1,2.0,7.0,3.5
GTF2IRD1,GTF2IRD1,2.0,7.0,3.5
MAFK,MAFK,2.0,6.0,3.0
MEIS2,MEIS2,2.0,6.0,3.0
HOXA10,HOXA10,2.0,6.0,3.0
ZEB1,ZEB1,4.0,11.0,2.75
FOXA1,FOXA1,7.0,15.0,2.142857142857143
NFAT5,NFAT5,4.0,8.0,2.0
FLI1,FLI1,3.0,5.0,1.6666666666666667
MSX1,MSX1,2.0,3.0,1.5
JUN,JUN,4.0,6.0,1.5
HOXC11,HOXC11,6.0,8.0,1.3333333333333333
NFKB1,NFKB1,3.0,4.0,1.3333333333333333
NKX3-2,NKX3-2,4.0,5.0,1.25
STAT3,STAT3,8.0,10.0,1.25
HLX,HLX,5.0,4.0,0.8
NR1I2,NR1I2,9.0,6.0,0.6666666666666666
DMRTA2,DMRTA2,5.0,2.0,0.4
BORCS8-MEF2B,BORCS8-MEF2B,7.0,1.0,0.14285714285714285
