,Alt_ID,in_degree,out_degree,out/in
TRAF4,TRAF4,1.0,10.0,10.0
NEUROD2,NEUROD2,1.0,8.0,8.0
HOXC9,HOXC9,1.0,8.0,8.0
SCRT2,SCRT2,2.0,15.0,7.5
GLI3,GLI3,2.0,14.0,7.0
NR6A1,NR6A1,2.0,12.0,6.0
ETV4,ETV4,1.0,6.0,6.0
HES1,HES1,3.0,18.0,6.0
PHOX2B,PHOX2B,2.0,11.0,5.5
DEAF1,DEAF1,1.0,5.0,5.0
CREB3L1,CREB3L1,1.0,5.0,5.0
ETV6,ETV6,3.0,14.0,4.666666666666667
GATA6,GATA6,2.0,9.0,4.5
GSC,GSC,2.0,9.0,4.5
NR2F1,NR2F1,2.0,9.0,4.5
SHOX2,SHOX2,2.0,9.0,4.5
PRRX1,PRRX1,2.0,9.0,4.5
EBF1,EBF1,3.0,13.0,4.333333333333333
HOXA11,HOXA11,3.0,13.0,4.333333333333333
NR2F2,NR2F2,3.0,13.0,4.333333333333333
ELK3,ELK3,3.0,13.0,4.333333333333333
PRDM1,PRDM1,4.0,16.0,4.0
HEY1,HEY1,1.0,4.0,4.0
HMGA2,HMGA2,2.0,8.0,4.0
HOXA9,HOXA9,2.0,8.0,4.0
MECOM,MECOM,2.0,8.0,4.0
HOXD9,HOXD9,2.0,8.0,4.0
OLIG2,OLIG2,1.0,4.0,4.0
ETV1,ETV1,3.0,12.0,4.0
TBR1,TBR1,4.0,16.0,4.0
LHX1,LHX1,2.0,8.0,4.0
ZBED6,ZBED6,2.0,8.0,4.0
SOX11,SOX11,2.0,8.0,4.0
GFI1,GFI1,1.0,4.0,4.0
RARB,RARB,3.0,11.0,3.6666666666666665
KLF11,KLF11,3.0,11.0,3.6666666666666665
OSR1,OSR1,2.0,7.0,3.5
FOXC2,FOXC2,2.0,7.0,3.5
GTF2IRD1,GTF2IRD1,2.0,7.0,3.5
TBX4,TBX4,2.0,7.0,3.5
MEIS1,MEIS1,4.0,14.0,3.5
HNF1A,HNF1A,2.0,7.0,3.5
MGA,MGA,2.0,7.0,3.5
TCF7L2,TCF7L2,4.0,14.0,3.5
IRX5,IRX5,5.0,16.0,3.2
ISL1,ISL1,2.0,6.0,3.0
HOXA10,HOXA10,2.0,6.0,3.0
HOXC8,HOXC8,2.0,6.0,3.0
RUNX1,RUNX1,2.0,6.0,3.0
RARA,RARA,4.0,12.0,3.0
STAT6,STAT6,1.0,3.0,3.0
HOXC5,HOXC5,3.0,9.0,3.0
CLOCK,CLOCK,1.0,3.0,3.0
MEIS2,MEIS2,2.0,6.0,3.0
ARID5A,ARID5A,3.0,9.0,3.0
TP73,TP73,1.0,3.0,3.0
TBX5,TBX5,2.0,6.0,3.0
PAX3,PAX3,2.0,6.0,3.0
RBPJ,RBPJ,2.0,6.0,3.0
MAFK,MAFK,2.0,6.0,3.0
LMO2,LMO2,5.0,14.0,2.8
TEAD1,TEAD1,4.0,11.0,2.75
ZEB1,ZEB1,4.0,11.0,2.75
UNCX,UNCX,3.0,8.0,2.6666666666666665
MNT,MNT,3.0,8.0,2.6666666666666665
AHR,AHR,3.0,8.0,2.6666666666666665
DDIT3,DDIT3,3.0,8.0,2.6666666666666665
DLX1,DLX1,3.0,8.0,2.6666666666666665
CEBPG,CEBPG,3.0,8.0,2.6666666666666665
HOXB7,HOXB7,2.0,5.0,2.5
ELF4,ELF4,2.0,5.0,2.5
HOXB2,HOXB2,4.0,10.0,2.5
SOX17,SOX17,2.0,5.0,2.5
ONECUT2,ONECUT2,2.0,5.0,2.5
POU2AF1,POU2AF1,2.0,5.0,2.5
ZBTB4,ZBTB4,4.0,10.0,2.5
ZFX,ZFX,4.0,10.0,2.5
TBX2,TBX2,2.0,5.0,2.5
NR1H3,NR1H3,5.0,12.0,2.4
SOX9,SOX9,3.0,7.0,2.3333333333333335
ZIC2,ZIC2,3.0,7.0,2.3333333333333335
HOXB3,HOXB3,3.0,7.0,2.3333333333333335
NR2C2,NR2C2,3.0,7.0,2.3333333333333335
DLX2,DLX2,4.0,9.0,2.25
IKZF1,IKZF1,4.0,9.0,2.25
NFATC4,NFATC4,5.0,11.0,2.2
FOXA1,FOXA1,7.0,15.0,2.142857142857143
HOXC4,HOXC4,3.0,6.0,2.0
PAX9,PAX9,4.0,8.0,2.0
ETV7,ETV7,2.0,4.0,2.0
TBX20,TBX20,4.0,8.0,2.0
SIX1,SIX1,6.0,12.0,2.0
FOXO3,FOXO3,3.0,6.0,2.0
EPAS1,EPAS1,2.0,4.0,2.0
HOXB4,HOXB4,4.0,8.0,2.0
HBP1,HBP1,3.0,6.0,2.0
NFAT5,NFAT5,4.0,8.0,2.0
SH2D1A,SH2D1A,1.0,2.0,2.0
SPI1,SPI1,2.0,4.0,2.0
ZNF589,ZNF589,2.0,4.0,2.0
NR3C1,NR3C1,3.0,6.0,2.0
HOXA6,HOXA6,3.0,6.0,2.0
HMGA1,HMGA1,3.0,6.0,2.0
FOXF1,FOXF1,3.0,6.0,2.0
PEBP1,PEBP1,2.0,4.0,2.0
CPEB1,CPEB1,4.0,8.0,2.0
HOXA13,HOXA13,2.0,4.0,2.0
CNOT3,CNOT3,3.0,6.0,2.0
ATF5,ATF5,2.0,4.0,2.0
NKX1-2,NKX1-2,1.0,2.0,2.0
HOXD3,HOXD3,2.0,4.0,2.0
GLIS1,GLIS1,2.0,4.0,2.0
NFIB,NFIB,4.0,8.0,2.0
CREB1,CREB1,4.0,8.0,2.0
HOXA2,HOXA2,3.0,6.0,2.0
IKZF3,IKZF3,3.0,6.0,2.0
OTX2,OTX2,5.0,9.0,1.8
TCF21,TCF21,4.0,7.0,1.75
DLX5,DLX5,4.0,7.0,1.75
SP3,SP3,4.0,7.0,1.75
CUX2,CUX2,3.0,5.0,1.6666666666666667
JDP2,JDP2,3.0,5.0,1.6666666666666667
HNF4A,HNF4A,3.0,5.0,1.6666666666666667
ALX1,ALX1,3.0,5.0,1.6666666666666667
NFATC2,NFATC2,3.0,5.0,1.6666666666666667
FOXF2,FOXF2,3.0,5.0,1.6666666666666667
IRF2,IRF2,3.0,5.0,1.6666666666666667
FLI1,FLI1,3.0,5.0,1.6666666666666667
MZF1,MZF1,3.0,5.0,1.6666666666666667
MEOX2,MEOX2,3.0,5.0,1.6666666666666667
SOX18,SOX18,3.0,5.0,1.6666666666666667
DR1,DR1,3.0,5.0,1.6666666666666667
SOX21,SOX21,3.0,5.0,1.6666666666666667
ZNF219,ZNF219,5.0,8.0,1.6
