,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5030,2,ERG,5030,1.0,26.494967399217668,-0.606716742966354,1.8878429143643944e-16,-12.605366335685803,20.237828738796384,1.0,0.631578947368421,19,12
5024,2,ERG,5024,1.0,26.494967399217668,0.6256118049691097,1.1388415943259426e-17,15.004254623118886,18.135796461075266,1.0,0.631578947368421,19,12
5020,2,ERG,5020,1.0,26.494967399217668,0.8523205475798925,1.6790714090537664e-43,19.176126719775297,28.667255163709328,1.0,0.631578947368421,19,12
5029,2,ERG,5029,1.0,26.494967399217668,0.5710351571180942,2.3473738010322793e-14,7.493868955332673,9.640310249549552,1.0,0.631578947368421,19,12
5034,2,ERG,5034,1.0,26.494967399217668,-0.12337792790790701,0.13253577484831336,-6.732939555755967,7.96824060331999,1.0,0.631578947368421,19,12
5035,2,ERG,5035,1.0,26.494967399217668,-0.23746299835548249,0.0034339794829689315,-4.471172624886814,4.128501096404414,1.0,0.631578947368421,19,12
5038,2,ERG,5038,1.0,26.494967399217668,0.4020107560336015,3.410614271799741e-07,6.211763946375984,6.8944912353632235,1.0,0.631578947368421,19,12
5028,2,ERG,5028,1.0,26.494967399217668,0.7009538201697854,1.7511201436028078e-23,10.759291152717843,15.922611284070056,1.0,0.631578947368421,19,12
5025,2,ERG,5025,1.0,26.494967399217668,-0.5515391795190897,2.5832441573782365e-13,-9.83465494183271,15.275360234222115,1.0,0.631578947368421,19,12
5032,2,ERG,5032,1.0,26.494967399217668,0.2824427752344549,0.0004620519372435834,7.253622026676783,9.120814540931859,1.0,0.631578947368421,19,12
5021,2,ERG,5021,1.0,26.494967399217668,-0.5330850260011556,2.1765313671007186e-12,-7.279742001779744,10.45762214120221,1.0,0.631578947368421,19,12
5023,2,ERG,5023,1.0,26.494967399217668,-0.39846215387350553,4.4168227189493626e-07,-2.9679287715901803,2.4477749926203036,1.0,0.631578947368421,19,12
10358,2,IRF5,10358,-1.0,4.649003648645583,0.8382150317791902,8.284277694311697e-41,-4.123210976610402,3.9140919615414673,0.3333333333333333,0.2,15,9
10365,2,IRF5,10365,-1.0,4.649003648645583,0.39489577314547314,5.710083925876019e-07,-4.894691539346927,5.33809992666099,0.3333333333333333,0.2,15,9
10366,2,IRF5,10366,-1.0,4.649003648645583,0.8020392017422996,6.077187181970873e-35,-2.168513539725349,1.467879074353858,0.3333333333333333,0.2,15,9
7253,2,PRRX1,7253,1.0,26.128452793975182,0.6866136272723233,3.0567327630544013e-22,5.013285686514439,5.085703655573855,1.0,0.88,25,22
7249,2,PRRX1,7249,1.0,26.128452793975182,0.6848962176096716,4.258079173880944e-22,4.423655000684363,4.395647027502506,1.0,0.88,25,22
7238,2,PRRX1,7238,1.0,26.128452793975182,-0.24422952131205833,0.00259607358745483,-2.1345161881450823,1.4628371422197846,1.0,0.88,25,22
7248,2,PRRX1,7248,1.0,26.128452793975182,0.5523854393528601,2.33533216147066e-13,5.371691179206528,5.799115547053765,1.0,0.88,25,22
7237,2,PRRX1,7237,1.0,26.128452793975182,0.4576718965287346,3.903198947295619e-09,7.503026583407022,7.6208480689544364,1.0,0.88,25,22
7243,2,PRRX1,7243,1.0,26.128452793975182,0.13687186097159873,0.09488422966806995,2.081433479571453,1.3963648678264353,1.0,0.88,25,22
7241,2,PRRX1,7241,1.0,26.128452793975182,-0.5009235966042935,6.651881772179032e-11,-3.0621751655487968,2.5584810720729907,1.0,0.88,25,22
7234,2,PRRX1,7234,1.0,26.128452793975182,-0.46168274145517585,2.7389920668090604e-09,-6.226547430265093,8.256234251583098,1.0,0.88,25,22
7236,2,PRRX1,7236,1.0,26.128452793975182,0.432152540112894,3.349480793631936e-08,16.207582493905075,21.733541276618993,1.0,0.88,25,22
7251,2,PRRX1,7251,1.0,26.128452793975182,0.11724076625627805,0.15305574837219058,7.763134403791361,9.134581489030628,1.0,0.88,25,22
7244,2,PRRX1,7244,1.0,26.128452793975182,0.5737695008667052,1.655625495872951e-14,13.466875154891548,18.702824853458857,1.0,0.88,25,22
7240,2,PRRX1,7240,1.0,26.128452793975182,0.5284234854882439,3.654327252285802e-12,7.498468198486003,8.092709752227092,1.0,0.88,25,22
7233,2,PRRX1,7233,1.0,26.128452793975182,0.796378505711365,3.905624957451924e-34,18.717311286469506,25.971239231756098,1.0,0.88,25,22
7255,2,PRRX1,7255,1.0,26.128452793975182,-0.39138983954842443,7.328572040335672e-07,-2.9602139250162747,2.358940067725886,1.0,0.88,25,22
7239,2,PRRX1,7239,1.0,26.128452793975182,0.747501666740744,4.428314252943518e-28,9.162454020085368,11.754820811603182,1.0,0.88,25,22
7245,2,PRRX1,7245,1.0,26.128452793975182,0.6038792835237121,2.832443708154581e-16,14.27964380489841,17.474146842566977,1.0,0.88,25,22
