,state
843686ca-d9a9-45ea-9309-60d8b1e7e504,1.0
1cce57ac-c487-435c-9334-3c1eeb920716,2.0
06e41414-2270-4c59-8cff-4fb9a410393c,2.0
852f1edf-6046-462c-820f-9782410e1845,4.0
9ff253dd-c36a-4922-87c7-4a19cdb1586e,1.0
c3087790-7575-4662-a7dc-b32808b9a775,1.0
e6f801f4-9289-4623-b7d9-60ca56c71683,2.0
16a70057-af47-4934-992e-3e9cf6e74684,1.0
ab8fd750-1796-4906-9bad-e0e2d6af3f9a,1.0
80966c6e-979e-4ee7-ab12-7bba9ab7fdb1,2.0
692a3312-2027-472b-a28c-c661a0539eb5,1.0
1599fca7-5350-4200-9b77-ec93bb5d91c2,4.0
a3cd519e-cf55-417f-aab3-def0b25358c7,1.0
a4867173-d9ed-48ed-974d-d33ee9076eca,4.0
82c92fd3-f077-42e7-b3eb-69408b7f6bcf,1.0
c06a7a87-28a2-4851-a743-583f729d07d3,4.0
fc3d323b-db23-43a2-afd0-21ae520662e0,2.0
cf7a534c-eea1-49d9-afb7-16a361dabaf1,3.0
1f5d2c7a-32ad-44fe-af46-73f1f8f13b00,1.0
95118d2e-f239-4403-a19c-5f8ba2b25803,1.0
660c6bcc-5c1e-4316-862e-9b7ce3891d08,1.0
0caac9b1-10c1-44b2-9c40-c9812286e048,4.0
6c1831aa-dabf-4ad9-b679-5009e58c654c,4.0
6a67c831-06e3-46b6-b7d5-70d3d7334a59,1.0
54dcc779-b458-4805-8912-4501c7a7e95c,3.0
e5437c83-ca9a-4241-84ee-8bce97192d67,3.0
4c120336-16a5-42b4-b069-48e11f1f746d,3.0
bf2014fc-8fed-494c-b6fb-8953c106409a,3.0
e7f58338-6854-4c5f-aba8-3cc3570b7ca8,2.0
36c94172-b70d-4dd7-97a8-ac7785c026b5,2.0
cc16d0fa-25f3-434c-b41a-87bbf3d77eb8,4.0
fcddc169-7863-440b-82a6-6a13a4b827b9,1.0
e31e2bf0-4f73-49e8-aec2-980206dcebc9,1.0
3656f43b-e5f8-4988-9864-0cd78609c2cb,3.0
e385dadd-0b6c-4872-bf62-0c8f627bd2db,3.0
6fce2a82-6346-48b2-9baa-4c6077762efe,1.0
fa31586e-9068-4e53-82ef-6b5339ff720d,1.0
4d15baa4-2b99-40e9-826d-d52ca79bdb24,4.0
98d55fb5-23b3-4d8d-aa4b-d7a89332fd4a,4.0
c75bbadd-062c-4fda-a1b1-c3c5c63ea95d,2.0
46e513f2-b915-433b-8659-6a4bca3a0579,1.0
f58fc7d6-a999-43be-ac90-f23c39c9e887,1.0
2794603e-f476-4100-a7bb-393f1bab83aa,4.0
991bfd63-ebee-4c5a-8360-5918ed26e4ae,4.0
57e6cd01-c6c1-4a5d-975f-ea37cd1ba1b3,4.0
cc5330bd-b06e-4332-a83a-da4e4a4993db,1.0
047dc304-c62b-4e2b-aee9-e264dbb339f7,2.0
7559e197-0527-40d8-a982-c37b35a9a902,2.0
ef68cf6e-f46d-477a-b125-153dde949c07,4.0
4bfd1868-49ff-4d20-8369-9d50517ffd0d,1.0
6ed5e961-e559-4459-937e-d0f03650620f,2.0
e87456c1-bddb-49dd-9f83-f7a2b47e3a16,1.0
7cb9ae79-ee30-4a2d-95f0-ec57181cbb1f,4.0
49bc661e-f1f9-4f89-bd90-2be5537ce126,1.0
05e90cc1-187d-4cca-a262-f93485b06f2d,1.0
e08a2804-4c5d-4c6f-aebd-7a3606fce834,4.0
04156b26-81b5-4e17-a14a-819800abfe36,4.0
92f65628-2402-4cf2-a2f9-1f2e1b00d145,1.0
44c04683-de81-45ab-9695-4ba64ce73155,4.0
b23b6b92-29da-4349-9fbc-32399c44c058,4.0
b644962a-defe-4169-a39e-ef2141f5125a,1.0
3d71a939-4d61-4178-91c8-9b5004b14064,1.0
86689648-2c4a-456f-a551-b9731400846c,3.0
8670c657-f6ab-4767-9278-42e64c614370,2.0
633d24e2-63ce-499f-a448-765aaaef1977,1.0
3b949b75-da81-41e9-b73a-98a7abb27478,4.0
cf882451-7864-4a14-8893-d9f3d1b79379,4.0
589aca26-273d-491f-836b-a604be63947b,1.0
3597f365-9be4-4ad2-aee9-6073e9e9e47c,1.0
bfb33809-f185-4835-8329-ae53fdee847c,3.0
f71bb6c0-87fe-400d-8bc7-9f7978aba083,1.0
d82e0500-b1b0-4c04-b66f-87cde8d3b683,1.0
4022b5d9-8b67-45c3-867b-a72129500f86,1.0
78f4f419-0c42-4853-b2b4-5d2d12f1cf89,2.0
59af492e-c164-49fc-a40c-6607ed7e108c,1.0
284795fa-f49c-4065-9edc-362e02b88c8e,1.0
00b1b6c5-c4c1-4248-8879-f30727137391,3.0
e61a5740-7c26-4730-9610-a3c710098b92,2.0
ee0bfc5e-98fa-4f6b-9386-8a56e6f26c95,4.0
10161fa0-e389-4d98-b854-098af908c898,2.0
f83a9753-d4fa-487f-942e-c804fe616da2,1.0
ff3173f2-68ca-4b0d-8f80-889838aae6a6,1.0
09a97253-d3df-40a2-8623-0ad42df510a8,1.0
4a082059-5fac-481d-88ef-6fc6f3e012a9,2.0
e2310f9e-fbb8-4c95-9099-2df6f97539ab,4.0
0f62af32-0760-44aa-b2c8-9e7df55e15b0,1.0
8440581e-43b1-4994-b2d8-5934f56f40b5,4.0
66ef51cf-3953-4b82-9acd-7179a2a4c4c2,2.0
2e2d2e6d-dd3e-4556-8a03-993bae7d8dc2,1.0
baf9b758-9b7b-419a-b2e8-9fdc1d569fc3,2.0
b641a084-dec3-4e1f-800d-cce046c76dc5,3.0
1db88bdb-6aba-43e2-9bf2-024679a773c5,1.0
a7ea898d-9421-4b7e-a19a-096a1280a1c8,3.0
146ccb02-762a-4f38-9686-03e1c20e07c9,1.0
58d9c090-4ab9-4f62-aad4-cae5e2d6dee6,4.0
6af6da76-1152-4058-8b75-0561df5700eb,1.0
b7aec5e2-0774-464d-a572-5cc84bef7fee,1.0
b4d93ae3-8051-4d10-af35-40ae31d210f1,1.0
5a1b0142-cfef-4853-9871-5984c11c0cf3,4.0
c5dafc39-2552-47d5-bd2c-e9a74212dff8,4.0
71236e3d-863a-4e82-bb99-f91157e39cf9,1.0
5f1fb4e0-d5ea-46b4-9e62-e86e75ac030f,4.0
4c96c968-6b8f-4b81-b141-4081f338f333,1.0
9d181f32-a17d-4e4b-acee-52fe1dfea05c,4.0
1709294c-7194-493d-af5c-574927f57c0c,1.0
535f2efd-4b88-4b80-b83e-f2ff5a49c21a,2.0
28c3ba1c-9a5a-4adb-b0a8-fd00fcbd061a,2.0
acc04802-cce5-4b03-be8f-0aa15dfdb61f,1.0
b9c99f02-10f1-44a6-b9fe-716955d00521,2.0
8bc1b435-3c47-48d7-a355-9614c75f552b,1.0
12078907-435a-46c9-96c1-24e71bf4602d,2.0
11c93f5a-2187-484a-805d-bb696c1b9032,1.0
0b734d75-4ba6-4b05-9852-bcd6c1c4e639,4.0
66f2b3f9-9cb9-4228-ad28-9d7d9668873b,1.0
3c2d3bee-7f61-40c5-8ade-231ea1d30645,1.0
0dcabd31-b3bb-4aae-bc77-35b324db4345,2.0
59b923c7-6d3f-4e81-9b3a-959984983f4b,2.0
5f1797cc-c35c-44d4-867b-9824fe037552,2.0
15d9de0e-9a17-4679-b63d-071650ccd356,1.0
864194b9-3525-439d-84a4-ea257300335c,3.0
fe85b6af-270a-41c7-ba60-7b83782ca362,1.0
36d1e390-7dda-4722-8f72-87720d368a6b,1.0
87fda84b-db48-4594-a256-562ecd57de6c,3.0
a5613d6c-b394-4619-aa09-022348bd0b7c,4.0
5e3876f2-37bf-4c87-97e8-2c18fb32807d,4.0
ceba7580-2857-4c47-ae3b-aa8f9b4a137e,1.0
1be1fa76-1939-4c83-8b87-be91481af483,2.0
dd36dd53-c576-44ef-a68b-e009b37a2385,1.0
0ea016c8-b636-45fe-8558-2d72f4d7eb86,4.0
879dc385-8e19-410c-8c04-0b7015fb7289,1.0
abb04648-2d62-4e34-9003-4458bf84318d,4.0
c01f4272-d148-454e-a2fa-3df281b23c91,1.0
5d916bb7-6b38-414e-875e-2497c91b209a,4.0
70a80c6a-b873-4e61-9ced-fa638665b4a1,1.0
5e4101ce-1592-4890-84f5-a6de1c9aa3ab,4.0
cd9db2f0-b2c4-4712-a86f-a4bcb0586bb3,1.0
1eca27ab-c6e2-42be-8968-909639f6edba,1.0
812e8cc6-4444-4afe-8494-bdef54e553bb,1.0
3a18b95c-438c-4690-875e-a1c8c22eb6bb,1.0
b18217f7-303c-4104-848e-a354dade72bf,3.0
b78b7692-b0b1-4051-becb-8a09876ac4c0,1.0
93610244-0db6-4f45-8b4b-a68de7d30dcf,1.0
14051060-41fd-452b-afdb-6dc73e4e4cd2,4.0
1eb60b7e-a5d0-4773-9691-33238b87c2d5,1.0
ca32e320-d60b-4b17-88f3-b31325fa5eda,3.0
211fd575-40d6-4e44-818f-3a382f4634da,2.0
bcc102b8-06af-4268-81a0-1a21d70c3ce4,1.0
a7f1c42f-2da3-44a3-b7b5-5e710bd17af0,2.0
aec88672-61fd-4639-81bb-e1dbfd4cdcf6,4.0
dfd306cd-13ad-4aba-bff8-db0570118bfc,2.0
