,Coefficient
FOS,0.0
MEIS1,0.023182259541002042
CUX2,0.0
IRF1,0.0
IRF6,0.0
HEY1,0.0
BCL6,0.012099257612837413
RXRA,0.0
REL,0.0
SOX4,0.009917345197040081
NR4A1,0.0
JUN,0.006362054388073407
TEAD4,0.0
MYC,0.0
FOXO1,-0.029055648004497784
VDR,-0.004500450358538104
FOXA1,0.0
GATA2,0.0
EGR1,0.0016272632369768664
RXRG,0.0
ZNF219,0.13986843159764598
BHLHE40,0.0
DR1,0.0
RHOXF1,0.04621029720228162
AHR,0.0
RUNX1,0.0
SREBF1,0.004840162480836809
HESX1,0.05707209927884135
HNF1A,0.0019235503272101433
CEBPG,-0.01361357444937584
HMGA2,0.005682172097012134
HES7,0.016240846462056875
CREB5,0.0
GLI1,0.06129430470344
MSX2,0.0
E2F7,0.0
HMGA1,0.0
HIF1A,-0.04161170333060957
HLX,6.908838079773021e-05
CUX1,0.0
BATF3,0.0
NFIA,0.0002275518660041495
ELK3,0.0
TFEC,-0.0004743240239341462
NR2F2,0.00020252176652925353
FOXF1,0.0
EBF1,0.0
EHF,0.0
RUNX2,0.0
CNOT3,0.0925962510950265
SH2D1A,0.0
PAX8,6.775569169415847e-05
TBX2,0.012650293049798278
FOXC1,-0.020417498619439915
DLX5,0.036034273366579425
GABPB1,0.24865635653577434
ERG,0.0
MEOX2,0.0
IRX5,0.0
TBX5,0.0
PEG10,0.0
HES1,0.0
EWSR1,0.0
