,Coefficient
FOS,0.004884321006801759
MEIS1,7.013169397022205e-05
MSX2,0.005707302341686725
E2F7,0.0
HMGA1,-0.001587211232148817
MZF1,0.14035009357322545
PATZ1,0.022190481769965333
HOXB5,-6.620493088135009e-05
NFIA,0.00028693756310666033
JUN,0.006100082271825829
TEAD4,-0.005307227967274798
NR2F2,0.004324672541495133
TFEC,0.0
HES1,-1.8657678174055715e-05
MYC,-0.0026534142911307447
FOXO1,0.006418748781221668
GATA2,0.0
NKX2-1,0.030672796698017934
EHF,-0.002771969788172183
PAX8,0.005821022022753727
AHR,-0.051634290252002196
RUNX1,0.0
IRX5,-1.0203546181762903e-05
HESX1,0.001401250008137649
TFAP2C,-0.1260996715689374
E2F1,0.0
PEG10,-1.4209846042523664e-05
HMGA2,0.0
ZSCAN16,0.0
HES7,0.0049940140525033035
