,out_degree_aligned
NFIA,14
PAX8,10
HES1,10
FOXC1,10
NR2F2,10
EBF1,9
FOS,9
SOX12,9
HLX,8
CUX1,8
MZF1,7
NFATC1,7
NRF1,7
PEBP1,7
JUN,7
HNF1A,6
ZNF219,6
NR4A1,6
LMO2,6
GMEB2,6
EGR2,6
FOXO1,6
EPAS1,6
TGIF2,6
PATZ1,5
MEOX2,5
MSX2,5
GATA2,5
HOXB5,5
EGR1,5
FOXA2,5
TCF4,5
TBX2,5
HES7,5
NKX2-1,5
CNOT3,5
SOX18,5
ERG,4
MEIS1,4
MSX1,4
HIC1,4
GTF2A1,4
ESRRA,4
GABPB1,4
HESX1,4
BRF1,4
HEY1,4
MAZ,4
NFE2,4
GLI1,3
CEBPA,3
THRA,3
CUX2,3
NR1H3,3
FOXF2,3
SRF,3
LHX4,3
PKNOX2,2
ZNF423,2
CEBPG,2
DLX5,2
PHOX2A,2
SOX17,2
SOX15,2
NR2E3,2
ETV2,2
MESP1,2
E4F1,2
BORCS8-MEF2B,2
ZNF282,2
TEAD4,1
NKX6-2,1
SOX7,1
TRIM28,1
RXRA,1
TBX19,1
RHOXF1,1
PAX1,1
FOXF1,1
EWSR1,1
TCF7L1,1
TBX5,1
HOXA5,1
MAFB,1
TBX1,0
IRX5,0
HOXB6,0
HSF4,0
VSX1,0
POU5F1B,0
DLX6,0
HIC2,0
BCL6B,0
BARX1,0
LTF,0
ZNF75A,0
