,Source,Edge,Target
0,CEBPA,0.0363682522467823,BORCS8-MEF2B
1,MESP1,0.1267097748848553,BORCS8-MEF2B
2,IRF1,0.1180413447476237,BORCS8-MEF2B
3,ELK3,-0.0869680920948096,BORCS8-MEF2B
4,HIC1,0.2233327995008394,BORCS8-MEF2B
5,PAX8,0.1330845379916486,BORCS8-MEF2B
6,NFATC1,0.0716536918197124,BORCS8-MEF2B
7,RUNX1,-0.0710830587986608,BORCS8-MEF2B
8,IRF8,0.1501485548874195,BORCS8-MEF2B
9,BHLHE40,-0.1477646197963333,HNF1A
10,ETV2,0.3386499369052081,HNF1A
11,BRF1,0.2117209934312475,HNF1A
12,TGIF2,0.1292457740026407,HNF1A
13,FOXA2,0.1211721205862987,GMEB2
14,AHR,-0.1142938813486057,GMEB2
15,TBX2,0.1239160482755816,NR1H3
16,GMEB2,0.1221458922118732,NR1H3
17,FOXA1,-0.1054259879007483,RUNX2
18,AHR,0.0677887599460015,RUNX2
19,RUNX1,0.5260224882041289,RUNX2
20,NR2F1,0.1229928373477451,RUNX2
21,GABPB1,0.1446605733507072,RUNX2
22,HES1,-0.0703683761056027,RUNX2
23,ZNF282,0.2432137306012942,CUX1
24,EPAS1,0.1952976199711631,CUX1
25,PAX8,0.3189258221259315,CUX1
26,NFKB1,0.1089412601340875,CUX1
27,NR2F2,0.1710341708589817,LHX4
28,NRF1,0.2088910449274356,LHX4
29,NKX2-1,0.0655527814424342,LHX4
30,PAX8,0.1005186245779471,LHX4
31,FOS,0.1040594716051183,ZNF75A
32,GATA2,0.138262527440729,ZNF75A
33,SOX12,0.2322353416449633,ZNF75A
34,HES1,0.1070826457268285,ZNF75A
35,ESRRA,-0.1588431686682677,ZNF75A
36,RUNX1,0.5158876928161414,ELF4
37,MESP1,-0.1653967726358227,ELF4
38,IRF8,0.2072802798369042,ELF4
39,EGR1,0.1631173202191712,GTF2A1
40,FOSL1,-0.0492007500905226,GTF2A1
41,SRF,0.0823332465232843,GTF2A1
42,E2F7,0.0624938012891519,GTF2A1
43,NR2E3,-0.0436453590155795,GTF2A1
44,HOXB5,-0.0962467556562201,GTF2A1
45,HMGA1,0.1634599443423344,TGIF1
46,BCL6,0.290155670702612,TGIF1
47,BATF3,0.0860720992555306,TGIF1
