,Alt_ID,in_degree,out_degree,out/in
EPAS1,EPAS1,1.0,7.0,7.0
EGR2,EGR2,1.0,7.0,7.0
RUNX1,RUNX1,4.0,22.0,5.5
HES7,HES7,1.0,5.0,5.0
BHLHE40,BHLHE40,1.0,5.0,5.0
HIF1A,HIF1A,1.0,5.0,5.0
HEY1,HEY1,1.0,4.0,4.0
JUN,JUN,2.0,8.0,4.0
TGIF2,TGIF2,2.0,8.0,4.0
NFIA,NFIA,4.0,16.0,4.0
AHR,AHR,3.0,11.0,3.6666666666666665
NR2F2,NR2F2,3.0,11.0,3.6666666666666665
FOS,FOS,3.0,10.0,3.3333333333333335
EBF1,EBF1,3.0,10.0,3.3333333333333335
HMGA2,HMGA2,4.0,13.0,3.25
HMGA1,HMGA1,4.0,12.0,3.0
SOX4,SOX4,2.0,6.0,3.0
GMEB2,GMEB2,2.0,6.0,3.0
E4F1,E4F1,1.0,3.0,3.0
GABPB1,GABPB1,2.0,6.0,3.0
CUX1,CUX1,4.0,11.0,2.75
ELK3,ELK3,4.0,10.0,2.5
BACH1,BACH1,4.0,10.0,2.5
MEIS1,MEIS1,2.0,5.0,2.5
MEOX2,MEOX2,2.0,5.0,2.5
EGR1,EGR1,2.0,5.0,2.5
PATZ1,PATZ1,2.0,5.0,2.5
EHF,EHF,3.0,7.0,2.3333333333333335
GLI1,GLI1,3.0,7.0,2.3333333333333335
BACH2,BACH2,4.0,9.0,2.25
PEBP1,PEBP1,4.0,9.0,2.25
PAX8,PAX8,5.0,11.0,2.2
NFATC1,NFATC1,5.0,11.0,2.2
TCF4,TCF4,3.0,6.0,2.0
BRF1,BRF1,2.0,4.0,2.0
MESP1,MESP1,1.0,2.0,2.0
FOXO1,FOXO1,4.0,8.0,2.0
LMO2,LMO2,3.0,6.0,2.0
NRF1,NRF1,4.0,8.0,2.0
NR4A1,NR4A1,4.0,8.0,2.0
NR1H3,NR1H3,2.0,4.0,2.0
VDR,VDR,3.0,6.0,2.0
HESX1,HESX1,2.0,4.0,2.0
RUNX2,RUNX2,6.0,11.0,1.8333333333333333
FOXC1,FOXC1,6.0,11.0,1.8333333333333333
SOX12,SOX12,5.0,9.0,1.8
MYC,MYC,5.0,9.0,1.8
REL,REL,4.0,7.0,1.75
MZF1,MZF1,4.0,7.0,1.75
MAZ,MAZ,3.0,5.0,1.6666666666666667
GATA2,GATA2,3.0,5.0,1.6666666666666667
SOX18,SOX18,3.0,5.0,1.6666666666666667
TBX2,TBX2,3.0,5.0,1.6666666666666667
RXRA,RXRA,3.0,5.0,1.6666666666666667
PEG10,PEG10,3.0,5.0,1.6666666666666667
CREB5,CREB5,3.0,5.0,1.6666666666666667
HNF1A,HNF1A,4.0,6.0,1.5
TFAP2C,TFAP2C,2.0,3.0,1.5
ELF3,ELF3,5.0,7.0,1.4
ERG,ERG,3.0,4.0,1.3333333333333333
HLX,HLX,6.0,8.0,1.3333333333333333
NR2F1,NR2F1,4.0,5.0,1.25
TFEC,TFEC,4.0,5.0,1.25
BCL6,BCL6,9.0,11.0,1.2222222222222223
HES1,HES1,9.0,11.0,1.2222222222222223
SREBF1,SREBF1,5.0,6.0,1.2
ZNF219,ZNF219,6.0,7.0,1.1666666666666667
HIC1,HIC1,5.0,5.0,1.0
TEAD4,TEAD4,3.0,3.0,1.0
GTF2A1,GTF2A1,6.0,6.0,1.0
CUX2,CUX2,3.0,3.0,1.0
IRF8,IRF8,7.0,7.0,1.0
CNOT3,CNOT3,5.0,5.0,1.0
HOXA5,HOXA5,2.0,2.0,1.0
NFE2,NFE2,4.0,4.0,1.0
ZNF282,ZNF282,2.0,2.0,1.0
ETV2,ETV2,2.0,2.0,1.0
FOXA1,FOXA1,4.0,4.0,1.0
TCF7,TCF7,4.0,4.0,1.0
NFKB1,NFKB1,7.0,7.0,1.0
FOXA2,FOXA2,5.0,5.0,1.0
MSX1,MSX1,5.0,4.0,0.8
HOXB5,HOXB5,9.0,7.0,0.7777777777777778
LHX4,LHX4,4.0,3.0,0.75
NKX2-1,NKX2-1,8.0,6.0,0.75
BATF3,BATF3,4.0,3.0,0.75
THRA,THRA,4.0,3.0,0.75
FOXF2,FOXF2,4.0,3.0,0.75
FOSL1,FOSL1,7.0,5.0,0.7142857142857143
ESRRA,ESRRA,7.0,5.0,0.7142857142857143
ZNF423,ZNF423,3.0,2.0,0.6666666666666666
ELF4,ELF4,3.0,2.0,0.6666666666666666
SOX17,SOX17,3.0,2.0,0.6666666666666666
MSX2,MSX2,8.0,5.0,0.625
DLX5,DLX5,5.0,3.0,0.6
IRF6,IRF6,2.0,1.0,0.5
IRF1,IRF1,4.0,2.0,0.5
TBX19,TBX19,4.0,2.0,0.5
PPARA,PPARA,4.0,2.0,0.5
DR1,DR1,2.0,1.0,0.5
CEBPA,CEBPA,6.0,3.0,0.5
SH2D1A,SH2D1A,4.0,2.0,0.5
SRF,SRF,7.0,3.0,0.42857142857142855
PKNOX2,PKNOX2,5.0,2.0,0.4
EWSR1,EWSR1,5.0,2.0,0.4
CEBPG,CEBPG,10.0,4.0,0.4
SPI1,SPI1,5.0,2.0,0.4
FOXQ1,FOXQ1,5.0,2.0,0.4
TBX5,TBX5,8.0,3.0,0.375
KLF16,KLF16,8.0,3.0,0.375
TEAD3,TEAD3,6.0,2.0,0.3333333333333333
FOXF1,FOXF1,3.0,1.0,0.3333333333333333
PAX1,PAX1,3.0,1.0,0.3333333333333333
PLAGL1,PLAGL1,6.0,2.0,0.3333333333333333
BORCS8-MEF2B,BORCS8-MEF2B,9.0,3.0,0.3333333333333333
TGIF1,TGIF1,7.0,2.0,0.2857142857142857
RHOXF1,RHOXF1,4.0,1.0,0.25
TCF7L1,TCF7L1,4.0,1.0,0.25
GATA3,GATA3,4.0,1.0,0.25
TBX1,TBX1,4.0,1.0,0.25
IRX5,IRX5,4.0,1.0,0.25
NR2E3,NR2E3,14.0,3.0,0.21428571428571427
NKX6-2,NKX6-2,5.0,1.0,0.2
SOX7,SOX7,5.0,1.0,0.2
E2F7,E2F7,5.0,1.0,0.2
TRIM28,TRIM28,5.0,1.0,0.2
PHOX2A,PHOX2A,10.0,2.0,0.2
STAT6,STAT6,5.0,1.0,0.2
HSF4,HSF4,6.0,1.0,0.16666666666666666
MAFB,MAFB,6.0,1.0,0.16666666666666666
SOX15,SOX15,27.0,4.0,0.14814814814814814
E2F1,E2F1,14.0,2.0,0.14285714285714285
POU5F1B,POU5F1B,7.0,1.0,0.14285714285714285
RXRG,RXRG,13.0,1.0,0.07692307692307693
ZNF75A,ZNF75A,5.0,0.0,0.0
HOXB6,HOXB6,2.0,0.0,0.0
DLX6,DLX6,1.0,0.0,0.0
ZSCAN16,ZSCAN16,3.0,0.0,0.0
BARX1,BARX1,23.0,0.0,0.0
HIC2,HIC2,3.0,0.0,0.0
BCL6B,BCL6B,3.0,0.0,0.0
VSX1,VSX1,23.0,0.0,0.0
LTF,LTF,4.0,0.0,0.0
