,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2560,9,PAX6,2560,1.0,9.739372992806508,0.4425094993971448,1.2549519922137983e-25,5.1197194352813025,5.795801461256346,0.5263157894736842,0.4,25,19
2564,9,PAX6,2564,1.0,9.739372992806508,0.3613636829521462,5.049303584132023e-17,11.488571901280864,19.075732049228986,0.5263157894736842,0.4,25,19
2554,9,PAX6,2554,1.0,9.739372992806508,-0.4134209383671287,2.8700391527371736e-22,-8.429708491319342,12.921154953133318,0.5263157894736842,0.4,25,19
2553,9,PAX6,2553,1.0,9.739372992806508,-0.2689288183476733,8.151205512614167e-10,-6.961185820841962,9.690769047237184,0.5263157894736842,0.4,25,19
2550,9,PAX6,2550,1.0,9.739372992806508,0.6346982834929458,2.71375797592112e-58,2.083405119499739,1.38992237000998,0.5263157894736842,0.4,25,19
2555,9,PAX6,2555,1.0,9.739372992806508,0.2885882377057582,3.835438953182025e-11,5.109177805526946,5.574295560653959,0.5263157894736842,0.4,25,19
2545,9,PAX6,2545,1.0,9.739372992806508,0.3773569592984144,1.5505790290986204e-18,6.978016110113543,10.002860132679443,0.5263157894736842,0.4,25,19
2563,9,PAX6,2563,1.0,9.739372992806508,0.3586059227040717,9.028551592064786e-17,2.614659562020074,1.956230807729946,0.5263157894736842,0.4,25,19
2557,9,PAX6,2557,1.0,9.739372992806508,0.37993022904774953,8.692567952681868e-19,4.658568147089835,4.890679518727776,0.5263157894736842,0.4,25,19
2547,9,PAX6,2547,1.0,9.739372992806508,-0.3867180817460628,1.8422241709094664e-19,-3.306367834487113,2.9342529895694547,0.5263157894736842,0.4,25,19
6353,9,MEIS3,6353,-1.0,8.45776711520607,0.333314977460479,1.439133761478212e-14,-2.1177362317036863,1.409938559988058,1.0,0.6956521739130435,23,16
6338,9,MEIS3,6338,-1.0,8.45776711520607,0.388426668753832,1.2395021823792451e-19,-3.6279836647380894,3.2598918550248364,1.0,0.6956521739130435,23,16
6339,9,MEIS3,6339,-1.0,8.45776711520607,0.276633160210431,2.5323832631409214e-10,-4.973490985739645,5.646473308696147,1.0,0.6956521739130435,23,16
6340,9,MEIS3,6340,-1.0,8.45776711520607,0.6593869324820683,2.5777766080358703e-64,-7.928856071764185,10.93227771142048,1.0,0.6956521739130435,23,16
6356,9,MEIS3,6356,-1.0,8.45776711520607,-0.28704084694183707,4.921815715247926e-11,5.854461480901784,6.9460733016858,1.0,0.6956521739130435,23,16
6348,9,MEIS3,6348,-1.0,8.45776711520607,0.3487035349497683,6.947448119679528e-16,-3.5089287111049545,3.1658461824308004,1.0,0.6956521739130435,23,16
6344,9,MEIS3,6344,-1.0,8.45776711520607,0.33132620715487704,2.1033592270940355e-14,-2.817834398026203,2.1977464021089523,1.0,0.6956521739130435,23,16
6345,9,MEIS3,6345,-1.0,8.45776711520607,0.7134522458457028,1.001398004923404e-79,-5.479610632031094,6.091234780039159,1.0,0.6956521739130435,23,16
6358,9,MEIS3,6358,-1.0,8.45776711520607,-0.30912342787073743,1.2101915551035687e-12,12.995738483086408,23.1748969128333,1.0,0.6956521739130435,23,16
6343,9,MEIS3,6343,-1.0,8.45776711520607,0.6208530169787166,3.777699055201352e-55,-5.48144731429856,6.127242512772061,1.0,0.6956521739130435,23,16
6359,9,MEIS3,6359,-1.0,8.45776711520607,0.29699904773086006,9.62597216841559e-12,-5.397828802744385,5.947238880215783,1.0,0.6956521739130435,23,16
6360,9,MEIS3,6360,-1.0,8.45776711520607,0.33479602618646964,1.0828905874800505e-14,-5.447111965225145,6.201903343087963,1.0,0.6956521739130435,23,16
6352,9,MEIS3,6352,-1.0,8.45776711520607,0.5484249356612682,5.392666187989923e-41,-8.87055239685994,12.259694579917483,1.0,0.6956521739130435,23,16
6357,9,MEIS3,6357,-1.0,8.45776711520607,-0.34218291394356837,2.5615998165159355e-15,2.720647446764317,2.102691458244508,1.0,0.6956521739130435,23,16
