,Coefficient
NR3C1,-0.0046389769842996005
LHX8,-0.2195582206846326
ZKSCAN3,0.0
BHLHE41,0.11104884579081292
GBX2,0.016955130059904025
EP300,-0.2311333526822652
MSC,0.0015203376205662627
NR4A1,-0.0032633049880734294
STAT4,0.05494052898361062
ZBTB4,0.0
ERF,0.0
ETV5,0.10599877755338392
SPI1,0.01873371238551302
MEF2A,0.0
FOS,-0.012231582721085276
FOXO3,-0.017974879308521773
ATF7,-0.017227543045807175
JDP2,0.00023691430189040912
GLI3,0.0005132932817923057
GTF2I,-0.2577912663257463
MEOX2,0.02128648228871666
SMAD3,0.0
ETS2,0.00291756856645353
SMAD4,0.0
CUX1,0.287877092843446
HIVEP2,-0.0060115105124784705
FOXC1,0.11100675938693591
