,Coefficient
SREBF2,0.010912081279951334
FOXI1,0.014700923924304143
ID4,0.049045099080305625
ETV5,0.08244877966837354
LHX6,-0.012981352182502341
IRX2,0.02887330123751743
CREB3L1,0.033085880537635344
STAT4,0.023011761735062503
SOX2,0.005341133547626082
OSR2,-0.030057610831801064
DLX3,0.06767565494925522
SOX30,0.04971404693328765
EHF,-0.013602998704314872
PRRX1,0.0232624257092152
NOTO,0.15870763420118655
RUNX2,0.0719273393365022
POU2F1,0.058082165317597176
EBF1,0.18282615111497474
ERG,0.027081679796050345
MEOX2,0.03150255866839335
