,Coefficient
BACH1,0.0
ZFX,0.003762235622974292
NKX2-1,0.05004931530021747
CDC5L,0.01885228980618099
SREBF2,0.0005279321196997486
TCF7L2,0.018765171128667976
LHX8,-0.00030052937327450165
DLX1,0.000403554043279643
BHLHE41,-0.0013744722425125878
RARB,0.0065031543290299644
IRX4,0.18750470380877757
SP1,0.00629856875973576
OSR1,-0.05597293434612504
NR4A1,-0.0013170807640918538
ETV3,0.0
RARA,0.0
NR2E1,0.01762155347789593
SPI1,-0.0009096650605717756
PBX1,-0.010099586209299204
MGA,0.0006444089253495777
GSX2,0.06896590247608009
SIX4,0.001778491445271386
GLI3,0.0
SIX1,0.0018321825739227005
EHF,-0.02547469447152558
GZF1,0.042593609252404636
HMGA2,0.0
FOXJ3,0.0
TBP,0.0
KLF7,0.0001860038503234759
CREB3L1,0.054736403999930835
CEBPG,0.0012718236406215882
NFATC4,0.15213699488071708
SP4,0.006288729165224895
PRDM1,-0.022627002273375284
ELK3,0.012284036881704216
MEIS2,-0.040263410523531856
NFAT5,0.0023035660595956543
NFIA,0.0
DBP,0.007984154658041528
TFEC,0.0
STAT4,-0.0004918725140264773
POU2F1,-0.0003789157213959433
KLF12,0.0
SOX2,0.0
NR2F2,0.032462701483473785
TEAD1,0.0
FOXD2,0.1099650408074027
MEOX2,-0.00025460855579232246
REST,0.04567282423796968
SMAD1,0.0
RBPJ,0.003180215511225641
