,Coefficient
ZFX,0.20321886345592477
ELK3,0.0005681944421380436
MEIS3,0.03514371759965775
OSR1,-0.0003325575198027295
DBP,-0.015184515665483274
NR4A1,0.0005775503295435171
STAT4,-0.08269633887876869
ETV3,0.009633384584198112
HBP1,0.0
NF1,0.032886924751857595
RARA,0.08924194314628345
ZBTB4,-0.0003040736984327605
SP3,0.09703592828550424
HMGA1,0.06916711544643235
TEAD3,0.00880470576000913
TFCP2,0.06780998320983639
PKNOX1,0.018801140713840942
CTF1,4.3551890008106e-05
TBP,0.0905506944035725
FOXP1,-0.004681719130025364
FOXK1,0.05418253563922454
