,Coefficient
BACH1,0.024179484104973076
ZNF219,-0.0018942911952414447
GLIS2,0.005522461226941513
CDC5L,2.579860632237726e-05
TCF7L2,0.0
LHX8,-0.004293080074294125
DLX1,0.1059050468115841
BHLHE41,0.0
RARB,0.007695491872222016
PAX9,-0.0022890806642070485
RARG,0.01926116077288841
BPTF,0.0
PLAG1,-0.0048165461862622085
HOXB6,0.009370212020583359
MEF2A,0.0
PBX1,-0.01147710505591485
NFIB,-0.006058845326208545
SOX9,-0.017636511713373427
SIX1,0.0
SMAD4,0.0
IRX2,0.00022561325504872988
TBP,0.0
FOXP1,0.018754889755052535
SIX2,-0.000624672857723895
CREB3L2,0.0
PRDM1,-0.0019006594811698315
ELK3,0.0
CREB1,0.0
PKNOX2,-0.0001715962868837646
NFIA,-0.04472521462743699
PURA,0.0
KLF12,0.026024784258481724
SOX2,-0.058666060928712564
ZBTB4,0.0
E4F1,-0.0006442048663101135
GLIS3,0.0
TEAD1,0.0
BHLHE40,0.0
GTF2I,0.0
HOXA4,0.045244274251260964
EGR1,-0.001145703984731364
HES5,0.006330405402814257
ZFX,0.0
NR4A1,0.003079467675749375
GATA6,0.08260867522715612
RARA,-0.0018102260714318633
HOXC5,-0.0025981405363851864
RFX3,0.03830230275641474
FOXO3,0.0
SIX4,-0.006580918873673431
PEG10,-0.0007625690544607214
GZF1,0.0
ETS2,-0.00023181070608020433
OTX1,0.0018642827859145419
HMGA2,-0.006795888399171893
FOXJ3,0.0
PRRX1,0.04735037909721333
KLF7,0.008583951583249032
NOTO,0.008444720742254273
PATZ1,-0.04361885013073758
GTF2A1,0.0
HOXA10,0.02896611562079917
NFE2L2,0.0
NR2F2,0.0
MECOM,0.0
ZNF217,-0.000559737258050459
MEOX2,0.081439203184033
ARNT,0.27399369013167363
FOXC1,0.0
