,out_degree_aligned
RARA,16
NR2F2,11
TCF7L2,10
PRRX1,10
GLI3,9
ZBTB4,9
JDP2,9
NFAT5,9
ETS2,8
GTF2IRD1,8
GATA6,8
GLIS3,8
TFAP2A,8
SP3,8
CREB3L1,8
NFIA,8
PRDM1,8
HOXB6,7
ATF1,7
ARID5B,7
RARB,7
TEAD1,7
IRX4,7
GLIS2,7
FOXO1,7
SOX2,7
CLOCK,7
ELK3,7
CREB1,7
FOXC1,6
OTX1,6
ZFX,6
NR4A1,6
SOX5,6
CDC5L,6
CREB3L2,6
OSR2,6
IRX2,6
MEOX2,6
EBF1,6
KLF15,6
HEY1,5
ARNT,5
NFATC4,5
DLX1,5
LHX8,5
NF1,5
BHLHE40,5
GTF2A1,5
ETV3,5
HBP1,5
TEAD3,5
RREB1,5
NFE2L2,5
IRF1,5
NR3C1,5
HMGA2,5
DLX3,5
KLF12,5
KLF7,5
MGA,5
EHF,5
ATF2,5
HOXC4,5
EP300,5
FOXK1,5
WT1,5
GTF2I,5
NFE2L1,5
BPTF,4
HOXA4,4
SIX1,4
PATZ1,4
TFCP2,4
FOXI1,4
ID4,4
KLF11,4
FOXP1,4
SP4,4
NFATC2,4
STAT4,4
DR1,4
ZNF217,4
GZF1,4
SREBF2,4
RFX3,4
HDX,4
REST,4
BACH1,4
ATF7,4
RUNX2,4
FOS,4
TBX1,4
NOTO,4
NR2C2,4
POU2F1,4
MEIS2,3
HOXC5,3
TBX18,3
IRF5,3
BDP1,3
ZNF219,3
NR2F6,3
MEIS3,3
PPARA,3
ZNF8,3
TBP,3
ETV5,3
PBX1,3
THRB,3
NKX2-1,3
MSC,3
EPAS1,3
SMAD3,3
FOXO3,3
SOX9,3
STAT3,3
NR2E1,3
ZKSCAN3,3
FOXD2,2
ELF3,2
DMRT3,2
TCF7L1,2
MTF1,2
PLAG1,2
SMAD1,2
SOX30,2
NFIX,2
ERF,2
CEBPG,2
ZSCAN4,2
FOXJ3,2
NFIB,2
SMAD4,2
GBX2,2
ESR1,2
CPEB1,2
SP1,2
EOMES,2
ZNF281,2
BHLHE41,2
CTF1,2
ZNF148,2
ELF1,2
RBPJ,2
ZNF423,2
POU2F2,2
PKNOX1,2
ZSCAN26,2
PURA,2
TP73,2
PEG10,2
ZBTB16,2
PRDM4,2
NR3C2,2
E2F6,2
HIVEP2,2
PRRX2,2
MECOM,1
SOX17,1
SOX14,1
CUX1,1
HSF2,1
GRHL1,1
POU2F3,1
ZBTB6,1
SPI1,1
TNFRSF10A,1
STAT5A,1
SIX4,1
PKNOX2,1
CREB5,1
ERG,1
SP8,1
CEBPZ,1
HLTF,1
THRA,1
BBX,1
MEF2A,1
LHX6,1
GSX2,1
NKX3-2,1
TP63,1
RARG,1
ZNF652,1
OSR1,1
DBX1,1
CDX1,1
TCF4,1
MECP2,1
YY2,1
STAT6,1
ZNF740,1
MEIS1,1
TERF1,1
BCL6B,1
LMX1B,1
HLF,1
SOX13,1
NKX2-4,0
MAFB,0
FOXJ1,0
ELF5,0
PAX9,0
TFEC,0
FOXP3,0
HOXC13,0
NKX3-1,0
NR5A2,0
MZF1,0
POU3F1,0
HIC2,0
FGF9,0
MLXIPL,0
SOX7,0
ZNF713,0
EGR1,0
NKX2-8,0
LHX5,0
RFX1,0
POLR3A,0
DPRX,0
GSC,0
FOXJ2,0
