,Alt_ID,in_degree,out_degree,out/in
NR2F2,NR2F2,2.0,11.0,5.5
ZBTB4,ZBTB4,2.0,10.0,5.0
PATZ1,PATZ1,1.0,5.0,5.0
RARA,RARA,4.0,18.0,4.5
GTF2IRD1,GTF2IRD1,2.0,9.0,4.5
GLI3,GLI3,3.0,12.0,4.0
CREB1,CREB1,2.0,8.0,4.0
CLOCK,CLOCK,2.0,7.0,3.5
TCF7L2,TCF7L2,3.0,10.0,3.3333333333333335
NFAT5,NFAT5,3.0,10.0,3.3333333333333335
BHLHE40,BHLHE40,2.0,6.0,3.0
KLF15,KLF15,2.0,6.0,3.0
FOXO1,FOXO1,3.0,9.0,3.0
ATF2,ATF2,2.0,5.0,2.5
PEG10,PEG10,2.0,5.0,2.5
TEAD3,TEAD3,2.0,5.0,2.5
NR2C2,NR2C2,2.0,4.0,2.0
KLF11,KLF11,2.0,4.0,2.0
GTF2A1,GTF2A1,3.0,5.0,1.6666666666666667
PPARA,PPARA,2.0,3.0,1.5
BACH1,BACH1,3.0,4.0,1.3333333333333333
HDX,HDX,3.0,4.0,1.3333333333333333
ZNF423,ZNF423,2.0,2.0,1.0
MTF1,MTF1,2.0,2.0,1.0
E2F6,E2F6,3.0,2.0,0.6666666666666666
MEF2A,MEF2A,2.0,1.0,0.5
