,Source,Edge,Target
0,NR3C2,0.2084620228446512,NFATC2
1,NR2F2,0.3874255243508828,NFATC2
2,ARID5B,0.1888872360611186,NFATC2
3,RFX3,0.4092045163944619,RUNX2
4,TCF7L1,0.2954632728548823,RUNX2
5,PBX1,0.2498521996846643,RARG
6,JDP2,0.1997390065661392,RARG
7,GLIS3,0.2271676107107696,RARG
8,RARA,0.2409368805537545,RARG
9,CREB3L2,0.132915353228557,ELF5
10,TFAP2A,0.2027201610778606,ELF5
11,NR2E1,0.3732012182147592,ELF5
12,NR3C1,0.4273784579237764,CUX1
13,BHLHE41,0.2886917008003919,CUX1
14,WT1,-0.2676009819887868,FOXP3
15,IRF1,0.2553718331459372,FOXP3
16,PRDM1,0.4192552746141059,FOXP3
17,GTF2I,-0.2690572997433857,FOXP3
18,SREBF2,0.0109120812799513,DBX1
19,FOXI1,0.0147009239243041,DBX1
20,ID4,0.0490450990803056,DBX1
21,ETV5,0.0824487796683735,DBX1
22,LHX6,-0.0129813521825023,DBX1
23,IRX2,0.0288733012375174,DBX1
24,CREB3L1,0.0330858805376353,DBX1
25,STAT4,0.0230117617350625,DBX1
26,SOX2,0.005341133547626,DBX1
27,OSR2,-0.030057610831801,DBX1
28,DLX3,0.0676756549492552,DBX1
29,SOX30,0.0497140469332876,DBX1
30,EHF,-0.0136029987043148,DBX1
31,PRRX1,0.0232624257092152,DBX1
32,NOTO,0.1587076342011865,DBX1
33,RUNX2,0.0719273393365022,DBX1
34,POU2F1,0.0580821653175971,DBX1
35,EBF1,0.1828261511149747,DBX1
36,ERG,0.0270816797960503,DBX1
37,MEOX2,0.0315025586683933,DBX1
38,HBP1,0.3028852634126688,ZSCAN26
39,ETS2,0.2435250977201943,ZSCAN26
40,ATF2,0.3327164854088787,ZSCAN26
41,SP3,0.3848649247323855,HLTF
42,ZNF217,0.39454504517449,HLTF
43,NKX2-1,0.1750479088906958,GSX2
44,IRX4,0.3500254172352081,GSX2
45,NFATC4,0.1213281724099014,GSX2
46,SOX2,-0.0991821103658804,GSX2
47,GLIS2,0.1448743031986908,NFATC4
48,CDC5L,-0.0607742080064299,NFATC4
49,DR1,-0.1843823235187591,NFATC4
50,CREB3L1,0.1196090176003687,NFATC4
51,KLF12,-0.084153490833791,NFATC4
52,GLIS3,0.0580865418829895,NFATC4
53,HOXA4,0.0867897134971813,NFATC4
54,ESR1,0.1667497747774385,NFATC4
55,DLX3,0.0915103873569302,NFATC4
56,WT1,0.0829462770170369,NFATC4
57,GLI3,0.0448950239834665,NFATC4
58,PRRX1,0.0447892388076583,NFATC4
59,EBF1,0.0448019804201823,NFATC4
60,GLIS3,0.1827741917765888,TNFRSF10A
61,ATF1,0.3346957430881979,TNFRSF10A
62,RARA,0.2334361337314427,TNFRSF10A
63,ELF3,0.2502786875361242,TNFRSF10A
64,GTF2I,0.6311702333283601,SMAD1
65,ATF1,0.1927380788702304,SMAD1
66,ETV3,0.4269320495792871,GTF2A1
67,PKNOX1,0.1625587078521344,GTF2A1
68,KLF7,0.3562628008694499,GTF2A1
69,GLIS2,0.2861039929396478,RARA
70,GTF2IRD1,0.2143461596767134,RARA
71,NFAT5,0.2040882427044907,RARA
72,HOXA10,-0.2554537200938684,RARA
73,SOX2,0.3227028448956958,ELF3
74,EHF,0.3460542998515644,ELF3
75,HMGA2,0.1269797411857934,ELF3
76,NR2F6,0.1376186278196362,ELF3
77,KLF12,0.2695702430356521,SP4
78,CREB1,0.3918947258505525,SP4
79,ATF2,0.2084305906141694,SP4
80,JDP2,0.2539253921575692,THRB
81,GLI3,0.3285327541678038,THRB
82,ETS2,0.2882777527170811,THRB
83,PRDM1,0.2993734241673494,NR5A2
84,NR2F2,0.3016917222492425,NR5A2
