,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
8065,2,NKX2-1,8065,1.0,14.794616300108093,-0.2339294540559684,0.010125004261802122,-6.185173101643643,7.954465185486038,1.0,1.0,12,12
8055,2,NKX2-1,8055,1.0,14.794616300108093,0.2448469290925237,0.007033721218747167,10.744421497451334,14.101837609497345,1.0,1.0,12,12
8066,2,NKX2-1,8066,1.0,14.794616300108093,0.24466874520889406,0.007076551746849949,4.8771984671500235,4.644314823980143,1.0,1.0,12,12
8062,2,NKX2-1,8062,1.0,14.794616300108093,0.32400511939497334,0.0003061522887170839,8.271577618910879,8.125348112594473,1.0,1.0,12,12
8063,2,NKX2-1,8063,1.0,14.794616300108093,0.3205899282920727,0.0003572108426811458,4.126846386208499,3.640894457257906,1.0,1.0,12,12
8058,2,NKX2-1,8058,1.0,14.794616300108093,0.24153567858840697,0.007868363324768151,7.0390012879151405,6.572119987802376,1.0,1.0,12,12
8061,2,NKX2-1,8061,1.0,14.794616300108093,0.1675670938966694,0.06734724657355812,6.847601125644027,6.979392724436125,1.0,1.0,12,12
8056,2,NKX2-1,8056,1.0,14.794616300108093,0.30488004921872963,0.0007096620880021063,7.253056860877008,6.747581538398922,1.0,1.0,12,12
8060,2,NKX2-1,8060,1.0,14.794616300108093,0.15392117814203587,0.09325116251795595,11.039265891442001,15.497360118865727,1.0,1.0,12,12
8059,2,NKX2-1,8059,1.0,14.794616300108093,0.2904582911374589,0.0012900558634392231,10.813489991674873,15.675581126536825,1.0,1.0,12,12
8064,2,NKX2-1,8064,1.0,14.794616300108093,0.3570322446585681,6.256820560298048e-05,6.883099593135362,7.683919049861647,1.0,1.0,12,12
8057,2,NKX2-1,8057,1.0,14.794616300108093,-0.22098884950736875,0.015285595930067591,-2.081463137418229,1.4024497174229311,1.0,1.0,12,12
8913,2,E2F4,8913,1.0,14.690507574293859,-0.3246128203347454,0.00029780712002788225,-2.5310076645889383,1.8777327563665602,0.5,0.3333333333333333,6,4
