,state
2618af36-2c3d-459b-bbbb-acb23bcc3c1b,1.0
368f63cc-493e-45ca-a846-8a4d943c4928,4.0
a553770e-41b0-4bd7-ba33-ed0a33dd8529,5.0
9e34636d-c99e-4af2-a417-8aeac8084144,2.0
c7ebfcfa-8415-4c72-a436-bd36391dc066,4.0
c7c6fbaa-4a63-4b32-9b43-306f69e1867e,4.0
7219a24c-306d-4c24-98da-8f194d0b809b,4.0
b19b0dc5-14b3-427b-94d7-082f3dc614c9,2.0
282edec3-3f81-45d3-bf27-f1242ed966cc,4.0
dd14f103-81dc-482f-be77-b5dc48c59dd7,3.0
86dd14a6-828b-4af1-8032-63569f2759f9,2.0
b3561356-5a80-4c79-b23a-d518425565fe,2.0
d9fd8955-3006-45ca-bc9a-a8baf18264fe,1.0
529fb954-9f8f-4d0c-95fb-130172c04fff,2.0
e11db312-6acb-4787-8a2b-afd814f82900,1.0
604af3d4-bcbe-4c9f-9fd5-85c65eee3e01,6.0
b6656c31-b782-4fd3-b07d-abf664ba8915,4.0
d643d42b-d8d2-4b14-8576-279e9d3c6219,6.0
0b261d94-ffec-42d3-b17f-15fd25a46422,2.0
f5940915-4123-49b3-95ee-4a0412be8c30,6.0
c7676b99-e211-43c4-8d07-1f91b8ee1f31,3.0
aa403ec3-fd44-4247-b06d-aef415391e46,5.0
50d620f3-5c52-42fb-89a1-6840a7444647,4.0
a7d93d12-c461-4953-ab66-9458c1d2a06a,2.0
ee5c7ba5-055c-4d13-ba54-c5f85e6f9781,1.0
969a8063-fe1c-426c-821d-bdc714f1e385,3.0
352471dc-a881-4ea8-b646-eb1200291893,6.0
3288da84-360c-452f-ab9a-7148cc18ae95,4.0
96e78e9b-6bbc-4c06-9d0f-dac051828da3,4.0
6a7bab3b-752a-4671-a166-90643d5b29af,4.0
692c65bb-bf32-4846-806b-01a285bed1b9,6.0
acd42bd5-bc9c-460a-9672-a0cfaf3b96be,4.0
5e367ae1-8f91-4e28-9908-f66cd59cf8e4,2.0
2fbb0c34-2e4d-4396-897d-990625749efb,4.0
bd9c0d6b-83a9-4b4b-ad84-50ead8409dfb,2.0
d891bca1-0323-4277-baf7-6f505377ea45,1.0
afaef14f-81b6-493f-89bc-a689f699ad66,3.0
037b1cee-3b36-4eb8-b4ad-bffc1972d06c,6.0
bb2707b0-f108-4076-a0aa-f10385bb41cb,1.0
203691f1-8d53-4e50-8b64-56d2e0d04208,6.0
85ddcde4-1535-48ee-8dbf-155a68a51909,1.0
a2a46b51-ff44-45c0-b886-12313ac0fc0a,2.0
fa716037-886b-4dd0-8016-686c2d24550a,6.0
bcea34ca-360d-4776-bad1-387f48e5550d,2.0
f779417a-9e29-4b27-bea3-b23273a66021,2.0
d93f1b3c-1502-46fd-8eee-973cf8bb3724,6.0
158ef652-e08f-4671-b2e1-ae48acdd7e31,3.0
1304cb8a-91fa-46e5-a4e4-f0b6dd3ef838,4.0
af06ed6a-ef09-4e84-a728-4988bfa90339,1.0
a533c39d-ce42-42ad-92ad-549157a43139,6.0
37a58da6-aee8-4279-9738-fcbb1b92aa3e,1.0
ab2e57ac-5bb3-4849-9d48-c87bbf8b413f,6.0
c86373c0-ac79-4748-a7f1-b63da3a40055,2.0
53a37ac7-4504-4176-9b38-a3b2a7c6be5b,3.0
853120f0-857b-4108-9ec8-727189630c5f,5.0
b9084cca-6ab7-44d2-94bb-ef6d7ac7985f,1.0
73d21b57-ea30-4d90-b667-ac95c8a66264,2.0
d82fecba-9db2-4376-baab-1aea25ce4f67,3.0
0fec3f05-d63c-4631-ac08-cdc2d89be67e,4.0
7cbd6124-ab7e-46ad-8273-fa826f8f067f,5.0
47b91adc-2079-40c1-927b-f9c38297af80,6.0
f900e9be-2400-4451-9434-ee8bc513ba94,6.0
ae2b25dd-f8ae-4b1b-b40a-e1d6784d019c,4.0
aaaa6565-b578-4f16-8651-00420ea3bba9,5.0
13531b65-487b-4964-9afa-4de90c2dbbae,4.0
ec595b05-067f-47e7-a3b1-6c2dd73a2ab2,1.0
f84fbb47-11f2-45d5-9c5f-7c80ab0c9fbb,1.0
092b3fa6-407c-40ab-8a96-29e5cebc58c7,2.0
5dfb79b7-e93a-4e6a-a8e9-06f0863e8bc9,6.0
9264567d-4524-46af-a851-c091c3cd76cf,4.0
ccf8cefa-6676-4b41-a86e-ac0cbf30d2dd,3.0
ef9a5ba0-f672-48f0-8f0a-8e7b6a75b9e5,6.0
fd3f7ef7-3c82-49bb-abc1-179caf03b3e7,3.0
b17d9fcc-c687-4c04-bacd-846b822e1fe7,4.0
0fbddb5d-8c3f-4a12-b834-72f2c02202ea,6.0
16f2c47a-f5a6-483d-86e4-36f9cf6f35eb,1.0
bc4c8a01-362c-4772-8399-4803ad32d6fa,6.0
a314c4e6-b245-4f10-a555-50b9b819040d,6.0
8dfd6709-70f8-4bc0-941c-3b673f86cf29,6.0
f9537dc1-770e-4ce2-9d67-ccaabcf60931,1.0
fb377b95-88dd-4c3b-9c5d-a552d9c2b4ab,6.0
ba15fa9a-ce07-46a9-a42c-d33ab54b4cbf,6.0
84e18629-1b13-4696-8e54-121abe469cd2,4.0
f6dbc40e-0ae2-453f-b1d5-1bb0453c19d4,3.0
1816cf84-8daf-4cc9-ad93-f3c5439082e7,2.0
ad8f2e20-9d30-460b-a53c-3847c12464e9,1.0
f205f9fc-f2d5-4164-9a40-1279647f900b,6.0
