,Coefficient
MAZ,-0.001282437101988958
SOX9,0.0
PKNOX1,0.0
CREB1,0.0
HOXA2,-0.0003178837593997346
SP4,-0.0006945627054455905
SMAD3,0.0
GLIS3,0.019540532423437854
SP3,-0.0013002420904512722
WT1,0.0
HNF1A,0.08695531880805932
REST,0.0
ETV1,0.0
SMAD1,0.0
TEAD1,0.0
E2F6,-0.0005915638656842337
HIVEP2,0.0
ZBTB14,0.0
ZFX,0.0
ZKSCAN3,-0.0035394675647422956
NF1,0.0
CEBPG,-0.005112378818896546
CDC5L,-0.0003188661743396086
HMGA2,-0.018591428897955037
ATF1,0.0
HOXA13,-0.011635366214330674
USF1,0.0
BRCA1,0.0
MECOM,0.004545109167450358
MNX1,0.0
HENMT1,0.0
ELK4,0.0
MESP1,0.0
REL,0.0
HINFP,0.0
BPTF,0.0
BBX,0.0
GLIS2,-0.017490230585049994
STAT1,0.0
NR1H2,0.005381442188082412
TFE3,0.0
SOX11,-0.005840066963160216
SOX5,0.007143788240496447
GTF2I,0.0
EP300,0.0
CNOT3,0.0002900516537882286
FOXO4,0.0
LMO2,0.044544821816502184
TBX4,-0.0007600997565368419
ELF3,0.0
FOXC1,0.0030915034170917403
DR1,-0.0025485349715485793
ZBED6,0.0
E4F1,0.0
GATA6,-0.004221574655650255
HOXA1,-0.0009225009727256084
SNAI2,0.0
ZNF219,-0.0021366700570647763
IKZF2,0.0
HOXA10,-0.0008824031538110562
OSR2,0.004264350564680236
FOXO1,0.0
RFX2,0.15353012247792727
PKNOX2,0.008431703340547578
SOX30,0.0013458908907948595
CREB3L1,0.0
POU3F3,-0.00042020222226295956
BACH1,-0.0006980911985815512
ETS1,0.0
RFX7,0.0
THRB,-0.00026457549569633215
NFE2L2,0.0
RORA,0.005462869623976589
TBX20,-0.0007890065552007626
MIXL1,5.796829613656162e-05
CREB3L2,0.0
GATA3,-0.00012463268430270403
CLOCK,0.0
FOXJ3,0.0
SP1,0.0
SIX1,0.0
ELK3,0.0
ETS2,0.0
MEF2A,0.0
SREBF1,0.00016541012348215444
ETV7,1.9034054823821475e-05
ARNT,-0.002027885002775606
LHX6,-0.0006126532542258732
EHF,0.0
ARID5B,0.0003578112615235608
RUNX1,0.0
NFAT5,0.0
FOXC2,-0.0002714384441743037
EGR2,0.0
POU2F1,-0.0007043527835621462
RUNX2,0.0011074155712975167
HIF1A,0.0
HOXB7,0.042852425868878316
MAFK,-0.0007821993562537008
PLAG1,-1.7502641593476243e-05
GLI3,0.0
IRF7,0.0047729726218580315
BACH2,-0.026561871576106028
ZNF217,0.0
HOXA5,-0.03508005879727915
KLF7,0.0
PBX1,0.0
LHX1,-0.0007565734028161491
ZEB1,0.0
MTERF1,0.0
SMAD4,0.0
NR2F1,0.0
RARB,0.0010288384833606662
NR2C2,0.0
PRDM4,0.0
DLX1,0.0
ESRRG,-0.0006296709125978308
HLX,-0.002135955553115547
HOXD8,-2.3531530634465484e-05
E2F3,0.0
ZSCAN26,-0.00021281351516222281
HOXD1,0.0
ETV4,-0.01236042016930258
KLF12,-0.005827630543429582
JUN,0.001043588966936964
HSF2,0.0
ETV5,0.0
CREB5,0.0
RFX3,0.0007904794515820136
GTF2A1,0.0
MEOX2,0.0
OTX2,0.0001443990371078366
