,Coefficient
MAZ,0.0
YY1,0.0449437153975518
MAF,-0.028778400125461054
CREB1,0.0
SMAD3,0.0
PPARA,0.0
GZF1,0.0
NFE2L2,0.0
PRRX1,-0.004521248417521567
MIXL1,0.04658655006305402
CREB3L2,-0.020797217932722382
TGIF2,0.0057853879866247085
SP3,0.0
HNF1A,-0.0006745343880511248
GATA3,-0.0008030791381655514
FOXJ3,0.0
SP1,-0.00019836977988275074
PATZ1,0.004974806324495496
HIVEP2,0.0007309454783071006
ZBTB14,0.0
ETS2,-0.00256095429968347
ARNT,0.0
VAX2,6.871262089797797e-05
ARID5B,0.0
E2F2,0.0
ESRRA,0.00021940666292001018
RUNX1,-0.08360728089632104
FOXC2,-0.0015144551974061431
HOXC9,0.0
HMGA2,0.15048590607277657
HSF4,0.0
POU2F1,0.0
RUNX2,0.0
MAFK,0.0
LHX4,0.0
BCL6B,0.0
USF1,0.0
ELF4,0.01341018169274145
HMBOX1,-0.010510796076141526
MECOM,0.0002800784116354344
GLI3,0.001534624710577952
ZNF524,0.0
MNX1,-0.021847108912401693
RFC5,0.0
IRF7,0.008657911654155815
MYC,0.008722226987949446
BACH2,0.02103753467658941
EMX2,0.0
KLF7,-0.00012820549156053216
FOXO3,0.0
SP100,0.0
MESP1,0.0
TFEB,0.0
HIC1,-0.00017908646693546158
PEBP1,-0.004188647259281536
ZEB1,-0.0010985441016007373
STAT1,0.006567332817220537
SOX11,0.08707057257774505
NR2F1,0.0
GTF2I,0.0
STAT3,0.0
MAFF,0.0
DLX1,0.0002502668749029147
HLX,0.0
HOXA1,0.0
SNAI2,0.0
HOXD8,0.0
E2F3,0.0009954433906496502
ZNF281,0.0
IKZF2,-0.004214942161910636
ZNF219,0.0
KLF12,0.0
ATF3,0.0006435198947346027
FOXO1,-0.00012290001295359824
NR3C1,0.0006374475940246387
FOXJ1,0.0
E2F8,0.00015957309370931403
LHX9,0.0
POU3F2,0.0
JUN,0.0
RARA,0.0
GABPB1,0.0
RFX3,-0.006727381260933104
TERF1,0.0004927222702787472
PKNOX2,0.03004296534768816
MECP2,0.0
SOX30,0.0
CREB3L1,-0.0034238388276246656
BACH1,0.0
OTX2,0.005918525571196323
THRB,0.047269010442509946
