,Coefficient
NR6A1,0.0
HOXC9,0.0
RUNX1,0.0
HIC1,-0.03570699082524487
TFEB,0.00021469478599097904
ZBTB6,0.0
OTX2,0.0
ARID5B,0.029245017293388305
GLIS2,0.007142475382596324
NFE2L2,0.0
HOXD1,0.0
GLI2,0.0
ETV4,-0.17230086267219794
PRRX1,-0.01189800197952818
LHX4,0.06558712652825822
GABPA,0.00041700523280881305
SF1,0.0
RARB,0.0
HOXD10,0.0
PRDM4,0.0009566167396122563
SMAD1,0.0
HENMT1,0.004164275203566874
STAT3,0.0
LMO2,-0.02903475172143523
TBX4,-0.025668726837942874
SREBF1,0.0010374614908245242
FOXQ1,0.0
ETV3,0.04073009563192573
EHF,0.14569276569813655
