,Coefficient
HOXA1,0.0
SNAI2,0.08624371795806297
PBX1,-0.06942855322878146
CREB1,-0.08486239374160195
IKZF2,-0.07858525522096137
ELF2,0.0
NFE2L2,-0.005244509654728772
POU2F1,-0.05811899329860481
MEOX2,0.0
PRRX1,0.0
STAT1,0.048270094703880065
MAFK,0.014235909356463383
SOX11,0.0
JUN,0.0004091350643464291
BRCA1,-0.021067972626900532
ETV1,0.01405252135219104
RARG,0.0
RARA,0.0
TERF1,-0.09063172525920893
SIX1,-0.0018687348239278606
MYC,0.0
PKNOX2,0.0030106219985463183
SOX30,0.0
ELK3,0.0
ZNF217,-0.004907233135406811
CREB3L1,8.510297779049606e-05
ETV3,-0.08307815065284727
ELK4,0.0
GTF2IRD1,-0.0034292673944252366
ZBED6,0.0
