,out_degree_aligned
HMGA2,17
CREB1,16
FOXK1,15
GTF2I,15
KLF12,14
SP3,14
CLOCK,13
GTF2A1,13
ELK3,13
ETV3,12
ZEB1,12
BACH1,11
ETV1,11
ELK4,11
NFAT5,11
ATF1,11
HIVEP2,10
WT1,10
SOX11,10
ZBED6,10
GLI3,9
PARP1,9
ZFX,9
MAF,9
BACH2,9
FOXJ3,9
SNAI2,9
DLX1,9
OSR2,9
HOXD8,9
HOXD1,8
REST,8
POU2F1,8
PBX1,8
REL,8
NFYA,8
MYC,8
POU3F3,8
ETV4,8
BDP1,8
CREB3L2,8
RUNX1,8
EHF,7
SIX1,7
STAT1,7
ERF,7
GTF2IRD1,7
GLI2,7
GABPB1,7
BRCA1,7
RFX3,7
NFKB1,7
PATZ1,7
E2F8,7
LHX6,7
E2F3,7
HOXA5,7
ZNF410,6
ZBTB14,6
DR1,6
THRB,6
HOXA2,6
NR3C1,6
TTF1,6
GLIS2,6
RARB,6
ETS2,6
PLAG1,6
GABPA,6
GLIS3,6
TGIF2,6
ZNF384,6
TEAD1,6
SMAD4,6
ZNF219,5
EP300,5
TBP,5
CDC5L,5
LHX1,5
ZSCAN26,5
RUNX2,5
TCF4,5
THRA,5
TCF7,5
SP100,5
JUN,5
ZNF8,5
BPTF,5
MAFF,5
ARID5B,5
FOXO3,5
HENMT1,5
TERF1,5
ZNF281,5
TEAD3,4
NF1,4
ZNF148,4
MGA,4
TBX4,4
HOXA13,4
IKZF2,4
HOXD11,4
ELK1,4
SMAD1,4
HIF1A,4
ESRRG,4
LMO2,4
NR2C2,4
PRRX1,4
PRDM4,4
KLF13,4
HMBOX1,4
RFX7,4
ATF2,4
TAL1,4
SP1,4
CEBPG,4
GZF1,4
ELF1,4
KLF4,4
HOXA1,4
YY1,4
SIX4,4
BBX,4
POLR3A,4
NR6A1,4
ZNF423,3
PKNOX2,3
ZBTB6,3
FOXC2,3
MIXL1,3
E2F2,3
ETV5,3
RARG,3
STAT3,3
EMX2,3
ELF4,3
TFE3,3
SOX5,3
EGR2,3
NR2F1,3
OTX2,3
SP4,3
HOXD10,3
CEBPZ,3
ATF3,3
FOXO1,3
VBP1,3
FOXO4,3
SMAD3,3
GATA6,3
ARNT,3
NFE2L2,3
PPARA,2
ZKSCAN3,2
MEF2A,2
KLF7,2
LHX4,2
MECOM,2
TBX20,2
SOX9,2
GATA3,2
ARID3A,2
ELF2,2
HOXA10,2
HLTF,2
HOXD13,2
MEOX1,2
ALX1,2
MECP2,2
MTERF1,2
E2F6,2
SF1,2
ZNF217,2
MYBL2,2
HOXA7,2
MAFG,2
FOXJ2,2
DLX5,2
LHX9,2
EWSR1,1
MAX,1
FOXC1,1
GATA2,1
HSF2,1
BCL6B,1
ZBTB33,1
SATB1,1
PKNOX1,1
ZNF35,1
RORA,1
MEOX2,1
HINFP,1
MYOD1,1
SP8,1
POU3F2,1
ETS1,1
ZSCAN16,1
TFCP2L1,0
HDX,0
SOX30,0
MAFB,0
PLAGL1,0
RFC5,0
NKX2-8,0
FOXQ1,0
ALX3,0
CREB5,0
DMRT1,0
NFATC2,0
HIC2,0
RFX5,0
