,Alt_ID,in_degree,out_degree,out/in
DLX1,DLX1,1.0,12.0,12.0
CREB1,CREB1,4.0,16.0,4.0
ETS2,ETS2,3.0,11.0,3.6666666666666665
ZEB1,ZEB1,5.0,16.0,3.2
ZFX,ZFX,3.0,9.0,3.0
REST,REST,3.0,8.0,2.6666666666666665
ETV1,ETV1,5.0,13.0,2.6
FOXK1,FOXK1,7.0,15.0,2.142857142857143
HOXD11,HOXD11,2.0,4.0,2.0
HOXA5,HOXA5,4.0,8.0,2.0
MGA,MGA,2.0,4.0,2.0
NF1,NF1,2.0,4.0,2.0
MYC,MYC,5.0,9.0,1.8
TAL1,TAL1,4.0,5.0,1.25
TGIF2,TGIF2,7.0,8.0,1.1428571428571428
POLR3A,POLR3A,4.0,4.0,1.0
BPTF,BPTF,5.0,5.0,1.0
LHX4,LHX4,3.0,3.0,1.0
YY1,YY1,5.0,4.0,0.8
CEBPZ,CEBPZ,4.0,3.0,0.75
ZNF217,ZNF217,3.0,2.0,0.6666666666666666
SF1,SF1,5.0,3.0,0.6
MECP2,MECP2,4.0,2.0,0.5
MAX,MAX,4.0,2.0,0.5
VBP1,VBP1,6.0,3.0,0.5
