,Source,Edge,Target
0,SIRT6,-0.0388336833501707,TBX4
1,MNX1,0.4013846864698003,HNF1A
2,RFX2,0.1361653497906783,HNF1A
3,DLX1,-0.0581464576822438,HNF1A
4,FOXA2,0.1567791526995302,HNF1A
5,TERF1,-0.0822645314318241,HNF1A
6,MAF,0.0358157025382007,NFATC2
7,SIX1,-0.0611388021406091,NFATC2
8,ELK3,0.1492131644949104,NFATC2
9,RUNX1,0.0403781474634645,NFATC2
10,EGR2,0.0499911912278777,NFATC2
11,BACH2,0.0890431650421827,NFATC2
12,ELK4,0.1213322340653059,NFATC2
13,STAT1,0.0704683777098065,NFATC2
14,KLF12,0.083306801823206,NFATC2
15,RFX2,0.0290707169365706,NFATC2
16,FOXP3,0.0410656498942903,NFATC2
17,SMAD4,0.2554483618086072,ELF2
18,REST,0.1187222548627061,ELF2
19,GABPB1,0.1056019173433965,ELF2
20,RFX3,0.223818789057513,ELF2
21,ELK4,0.1539214463612143,ELF2
22,ETV1,0.4901309805659692,RUNX2
23,RUNX1,0.1613468622721986,RUNX2
24,WT1,0.1337944050970239,RARG
25,SPDEF,-0.0780364783768327,RARG
26,HOXA5,0.0986607668141154,RARG
27,TFEB,0.1561950478041917,RARG
28,GTF2IRD1,0.3311273940681068,RARG
29,GTF2I,-0.1159192365951776,FOXP3
30,ETV7,0.3144022574411721,FOXP3
31,ETV3,-0.0880916578558306,FOXP3
32,NR3C1,0.0886398861212121,FOXP3
33,ETV3,0.1999375475657845,LHX4
34,POU2F1,0.1932386167715152,LHX4
35,ELK4,0.1853504986060317,LHX4
36,MAF,0.1807474175033113,RORA
37,MYBL2,-0.1141573159254546,RORA
38,CLOCK,0.2108928611901267,RORA
39,RARG,-0.1407602368309791,RORA
40,ZFX,0.1003138707029399,RORA
41,RARB,0.0969319047336124,RORA
42,TEAD3,0.1682110620537561,ZSCAN26
43,ATF2,0.1323185966337357,ZSCAN26
44,MIXL1,0.0521050571456524,ZSCAN26
45,SOX11,0.1220455147801516,ZSCAN26
46,ZBED6,0.2765771521326453,ZSCAN26
47,IRF3,0.0369325315056982,ZSCAN26
48,CEBPZ,0.1012046644553277,ZSCAN26
49,SP3,0.483678612576732,HLTF
50,CLOCK,0.0752335315694951,HLTF
51,BRCA1,0.1160333435916109,HLTF
52,ZNF410,0.0745775918586859,HLTF
53,GTF2I,0.1112222923712864,TTF1
54,GABPA,0.3917309015674747,TTF1
55,ZNF410,0.1367891099443592,TTF1
56,MAF,-0.0588653656999618,ELF4
57,HIVEP2,0.1393794468350671,ELF4
58,ERF,0.0777280994301636,ELF4
59,SP100,0.0651977325686812,ELF4
60,STAT1,0.0728421179227833,ELF4
61,THRA,0.0836724258866602,ELF4
62,FOXO4,0.0752861289907867,ELF4
63,DLX5,-0.0921666629440746,ELF4
64,ZNF384,0.069593454036443,ELF4
65,E2F8,0.0712984439324445,ELF4
66,SP1,0.096604681624679,SNAI2
67,TERF1,0.0744740253162055,SNAI2
68,DLX1,0.0974298335354848,SNAI2
69,TEAD1,0.1482560590046269,SMAD1
70,GTF2I,0.405395915575871,SMAD1
71,NFKB1,0.3093562825710197,SMAD1
72,CREB3L2,0.1717661711853935,GTF2A1
73,RARA,-0.1469631825644792,GTF2A1
74,ETV3,0.4948581309704738,GTF2A1
75,GLIS3,0.0764787196253495,RARA
76,SPDEF,0.2984766067674907,RARA
77,ELF4,0.0813299871304928,RARA
78,EMX2,0.060737082839705,RARA
79,TCF7,0.0696166768869197,RARA
80,NR1H2,0.1621779319580306,RARA
81,ZNF219,0.184415101358994,RARA
82,JUN,0.0711136866371083,RARA
83,VBP1,-0.0642450900563412,RARA
84,SP100,0.091685604777854,ELF3
85,GZF1,-0.1043618407356401,ELF3
86,EHF,0.1826507296815792,ELF3
87,MAFK,0.0906589401876908,ELF3
88,ZEB1,-0.1396823658469848,ELF3
89,STAT3,0.1021355949472346,ELF3
90,DLX1,-0.1743829397446856,ELF3
91,ATF3,0.1671935114336496,ELF3
92,CREB1,0.3407512774762262,SP4
93,ZBTB14,0.1242008138501422,SP4
94,GZF1,0.1112735525692218,SP4
95,POU2F1,0.1217529824416342,SP4
96,GTF2A1,0.1769166950957884,SP4
97,GLIS3,0.0648806573358,THRB
98,WT1,0.0458268827616574,THRB
99,CREB3,-0.0443951853519124,THRB
100,HIVEP2,0.1102155017614129,THRB
101,ETS2,-0.0768159194798804,THRB
102,LBX2,-0.0454897710269054,THRB
103,ARID5B,0.1235042495019477,THRB
104,NR3C1,0.1697672787303971,THRB
105,MSX1,-0.1154372220458225,THRB
106,CREB1,-0.3375447006443551,NR1H2
107,E2F8,-0.0470694858895516,NR1H2
108,CNOT3,0.3116549036637112,NR1H2
109,ETV1,0.06983455140616,MAF
110,RUNX2,0.0760549583127767,MAF
111,ZEB1,0.2288755237296772,MAF
112,SNAI2,0.1868728657846025,MAF
113,NR3C1,0.1504700135491591,MAF
114,CREB1,0.2937216155801446,ZFX
115,CLOCK,0.2259174348178388,ZFX
116,ZNF148,0.2509953529482626,ZFX
117,FOXJ3,0.1551435316064091,SP3
118,ATF1,0.473489368672805,SP3
119,NFYA,0.2555380799749017,SP3
120,CEBPG,0.0593715350286439,ZSCAN16
121,ZEB1,-0.0142644390171346,ZSCAN16
122,PEBP1,0.1451158736333048,ZSCAN16
123,ETV3,0.0233904155015285,ZSCAN16
124,CEBPZ,0.2506764602185067,ZSCAN16
125,WT1,-0.1609665976574777,LBX2
126,HOXA7,0.087176480487509,LBX2
127,FOXJ1,0.0769508168258306,LBX2
128,ARID3A,-0.0642557584807953,SPDEF
129,SREBF1,0.0827582920417977,SPDEF
130,EHF,0.2867052893365826,SPDEF
131,HSF4,0.0665372917188678,SPDEF
132,ZBTB7A,0.0885128559172374,SPDEF
133,HENMT1,-0.1044142419964169,SPDEF
134,STAT1,-0.1555458074228033,SPDEF
135,HOXD1,-0.066845256875684,SPDEF
136,FOXK1,-0.1088118128890234,SPDEF
137,BACH1,-0.0979073923594983,SPDEF
138,NR6A1,-0.1455470213704836,SPDEF
139,MTERF1,0.1407630513653667,GABPB1
140,SP3,0.2157071473383258,GABPB1
141,PATZ1,0.0684876914905125,GABPB1
142,E2F6,0.0918085360355793,GABPB1
143,ZFX,0.0587993576371708,GABPB1
144,ZNF35,0.0857368112930916,GABPB1
145,KLF12,0.0910852644831579,GABPB1
146,BRCA1,0.0904989625760469,GABPB1
147,HOXC9,0.2008030191558067,PDX1
148,MAF,-0.0757628408535497,MAZ
149,E4F1,0.2572600508196276,MAZ
150,IKZF2,-0.0562380627216293,MAZ
151,ZNF219,0.1383317289941729,MAZ
152,KLF16,0.1618730975762606,MAZ
153,E2F2,0.2006165976748815,MAZ
154,HIF1A,-0.0661342659829109,MAZ
155,RORA,-0.0942808599941808,MEOX1
156,GLI2,0.0949821591319839,MEOX1
157,REST,0.0594511789831306,MEOX1
158,SIX1,0.0609155288487208,MEOX1
159,HMGA2,0.1483820301980258,MEOX1
160,GLI3,0.0396736088175842,MEOX1
