,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
939,13,MAF,R-939,1.0,2.8685596987011404,-0.1772413571173144,2.7674897174661443e-05,-3.06602289641191,1.6724547090521502,0.75,0.36,25,12
923,13,MAF,R-923,1.0,2.8685596987011404,0.5543769427901444,7.078992508641699e-46,3.970463674381112,2.157446081199211,0.75,0.36,25,12
925,13,MAF,R-925,1.0,2.8685596987011404,0.6610631193897841,9.419673666659832e-71,5.596234689675118,2.92996453292312,0.75,0.36,25,12
926,13,MAF,R-926,1.0,2.8685596987011404,0.5800133551882237,4.99582596208389e-51,6.769732431338402,3.5087565453310674,0.75,0.36,25,12
921,13,MAF,R-921,1.0,2.8685596987011404,0.4279176936943125,4.976420389929087e-26,4.130185044376607,2.2552647451408636,0.75,0.36,25,12
927,13,MAF,R-927,1.0,2.8685596987011404,0.5160754891352766,5.7695072935198317e-39,3.2120730735696212,1.755561117396229,0.75,0.36,25,12
938,13,MAF,R-938,1.0,2.8685596987011404,0.3366206733076932,4.062079302367358e-16,4.258882883485129,2.328604380967603,0.75,0.36,25,12
940,13,MAF,R-940,1.0,2.8685596987011404,0.6808320762655683,1.536297606025235e-76,5.755782613331163,3.05196524339644,0.75,0.36,25,12
932,13,MAF,R-932,1.0,2.8685596987011404,0.4286418300091952,4.0300716620152185e-26,6.713790405816754,3.3611288346251964,0.75,0.36,25,12
7187,13,HOXA2,R-7187,-1.0,1.410851040277474,-0.2232286515074014,1.12897377897766e-07,4.26099916052276,2.3421682382291964,0.4,0.1538461538461538,13,5
7186,13,HOXA2,R-7186,-1.0,1.410851040277474,-0.1075901757532807,0.011350685077535,3.815842162416533,2.0966440720729587,0.4,0.1538461538461538,13,5
1409,13,PPARA,R-1409,1.0,1.468454601290596,0.2827794175410792,1.2569331115927296e-11,2.55439009689337,1.4042646435367183,0.4285714285714285,0.12,25,7
1413,13,PPARA,R-1413,1.0,1.468454601290596,0.2313596367127674,3.73024743250605e-08,2.9823343793464345,1.625101630689871,0.4285714285714285,0.12,25,7
1412,13,PPARA,R-1412,1.0,1.468454601290596,0.2348806209307468,2.279569108320529e-08,3.1152161500851294,1.709513302139016,0.4285714285714285,0.12,25,7
1293,13,MECOM,R-1293,-1.0,1.594414114235275,0.4099864322896534,7.866630303924162e-24,-2.6170554925704628,1.487558054254518,1.0,0.12,25,3
1308,13,MECOM,R-1308,-1.0,1.594414114235275,-0.4046458471385492,3.353149705351639e-23,6.345266392912115,3.3365648248420645,1.0,0.12,25,3
1296,13,MECOM,R-1296,-1.0,1.594414114235275,-0.1812513196151426,1.8010990531396318e-05,2.3529242055525716,1.3106768018771322,1.0,0.12,25,3
6960,13,LEF1,R-6960,1.0,2.1651683926933476,-0.442479539246361,6.4814297249582585e-28,-4.5714889837843815,2.5168039032052683,1.0,0.4,25,10
6949,13,LEF1,R-6949,1.0,2.1651683926933476,0.3524919957391975,1.27143888191506e-17,6.381791996090705,3.308374030100675,1.0,0.4,25,10
6963,13,LEF1,R-6963,1.0,2.1651683926933476,0.5974584766719361,8.387812909588006e-55,4.504575348770764,2.5550419256699968,1.0,0.4,25,10
6952,13,LEF1,R-6952,1.0,2.1651683926933476,0.3812442875809628,1.4240628061228792e-20,2.7352507866459836,1.508174626913712,1.0,0.4,25,10
6946,13,LEF1,R-6946,1.0,2.1651683926933476,0.6714664853144552,9.645000319662963e-74,2.762955468699729,1.4945578668188626,1.0,0.4,25,10
6958,13,LEF1,R-6958,1.0,2.1651683926933476,-0.2192109638992324,1.921764420979117e-07,-2.51923938463646,1.3829836510115472,1.0,0.4,25,10
6951,13,LEF1,R-6951,1.0,2.1651683926933476,-0.2790426470875723,2.3853877466232787e-11,-2.9201556459825584,1.6101463454175995,1.0,0.4,25,10
6947,13,LEF1,R-6947,1.0,2.1651683926933476,0.3123571041515575,5.5764918720760624e-14,4.9066422115455035,2.6264161729917284,1.0,0.4,25,10
6961,13,LEF1,R-6961,1.0,2.1651683926933476,0.3081549137970887,1.25099165820377e-13,3.1477411890160543,1.7243293730840474,1.0,0.4,25,10
6967,13,LEF1,R-6967,1.0,2.1651683926933476,-0.290179657829448,3.434508274766424e-12,-3.011586448414186,1.695080657894206,1.0,0.4,25,10
7766,13,FOXQ1,R-7766,1.0,2.4630839682898262,0.3608970150788881,1.8720448323446072e-18,3.7496251994904943,2.0521848884333953,1.0,0.5833333333333334,12,7
7774,13,FOXQ1,R-7774,1.0,2.4630839682898262,0.2001618148410052,2.0908300665856843e-06,2.746813098556589,1.4982462808174155,1.0,0.5833333333333334,12,7
7775,13,FOXQ1,R-7775,1.0,2.4630839682898262,0.3078154460724049,1.33461731479634e-13,3.481060688964887,1.906348797487803,1.0,0.5833333333333334,12,7
7776,13,FOXQ1,R-7776,1.0,2.4630839682898262,0.2982791987923066,7.943890269530169e-13,5.342949681943335,2.9333005050152168,1.0,0.5833333333333334,12,7
7767,13,FOXQ1,R-7767,1.0,2.4630839682898262,0.3551628205070437,6.959942185718129e-18,4.697756780364694,2.5593820685674076,1.0,0.5833333333333334,12,7
7770,13,FOXQ1,R-7770,1.0,2.4630839682898262,0.2811147200450334,1.674114427122451e-11,5.1307652677920155,2.725803498990515,1.0,0.5833333333333334,12,7
7772,13,FOXQ1,R-7772,1.0,2.4630839682898262,0.2927461019486718,2.1705611477155298e-12,2.9657841379343246,1.6219815770646582,1.0,0.5833333333333334,12,7
503,13,GTF2IRD1,R-503,1.0,1.4508056492022072,0.0641118929331285,0.1321210465266624,2.8591201397636934,1.6023908530920672,1.0,0.1428571428571428,7,1
6108,13,FLI1,R-6108,1.0,2.428696525677004,0.8323213933390317,2.5767845729124165e-143,3.9118173963201097,2.143912141240454,0.625,0.2,25,8
6103,13,FLI1,R-6103,1.0,2.428696525677004,0.6915553961974719,7.106483990269802e-80,5.271848924721629,2.783387387307265,0.625,0.2,25,8
6110,13,FLI1,R-6110,1.0,2.428696525677004,0.3087816234426589,1.1098838918743797e-13,2.572492601083592,1.4005788756256865,0.625,0.2,25,8
6117,13,FLI1,R-6117,1.0,2.428696525677004,-0.1908189307611084,6.2214364668139514e-06,-3.1316365101119117,1.919992466467942,0.625,0.2,25,8
6113,13,FLI1,R-6113,1.0,2.428696525677004,0.4379023307219603,2.5949759167307556e-27,4.727659380761246,2.5545337600718465,0.625,0.2,25,8
2466,13,IKZF2,R-2466,-1.0,1.4317396362208124,-0.2906071856390677,3.1827702269345152e-12,2.3388698438182827,1.3566683534132569,0.75,0.12,25,4
2469,13,IKZF2,R-2469,-1.0,1.4317396362208124,0.2336747441512155,2.7007801038639458e-08,-5.097559374961946,2.7445108449599487,0.75,0.12,25,4
2464,13,IKZF2,R-2464,-1.0,1.4317396362208124,-0.1885058811328642,8.084393803231336e-06,2.8441632091333946,1.6428745566054144,0.75,0.12,25,4
8171,13,OSR2,R-8171,1.0,2.177494753176658,0.4805908228547922,2.6581043426812665e-33,5.674709926486108,2.977506493694559,0.8,0.5,8,5
8175,13,OSR2,R-8175,1.0,2.177494753176658,0.3867177788876549,3.6104913122775556e-21,3.128361973313406,1.7097599464451647,0.8,0.5,8,5
8174,13,OSR2,R-8174,1.0,2.177494753176658,0.2750859747781299,4.651990461898814e-11,6.122760039341452,3.2332853452177774,0.8,0.5,8,5
8172,13,OSR2,R-8172,1.0,2.177494753176658,0.5930639165428816,7.876716538129169e-54,4.176165324956673,2.2634637977092056,0.8,0.5,8,5
13,13,ETS1,R-13,1.0,1.4285607974491117,0.458668403080031,4.0361369636501414e-30,3.0465367275491975,1.6608403015462458,0.6666666666666666,0.16,25,6
14,13,ETS1,R-14,1.0,1.4285607974491117,0.5349055878452389,2.978725835099803e-42,6.706606516176536,3.4600835080908494,0.6666666666666666,0.16,25,6
15,13,ETS1,R-15,1.0,1.4285607974491117,0.391278028217616,1.1282512809462818e-21,3.5846541015127418,1.9523194240491728,0.6666666666666666,0.16,25,6
7,13,ETS1,R-7,1.0,1.4285607974491117,0.6145488032928936,9.862675136217e-59,5.663753707716762,2.9546348500617996,0.6666666666666666,0.16,25,6
5083,13,ARID3A,R-5083,-1.0,1.699908159041679,0.1962093291109433,3.337556015957032e-06,-3.165897309032924,1.7381262976931997,0.375,0.12,25,8
5078,13,ARID3A,R-5078,-1.0,1.699908159041679,0.2299383994515439,4.540526376741978e-08,-3.571857338906563,1.985994264071845,0.375,0.12,25,8
5082,13,ARID3A,R-5082,-1.0,1.699908159041679,0.2330528597157788,2.9465083324542083e-08,-4.970931864968625,2.8835649964461996,0.375,0.12,25,8
