,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
918,2,MAF,918,1.0,9.991615078004639,-0.26082201499285035,4.732949815511902e-10,-6.316972408653092,7.699200356553147,0.9,0.72,25,20
939,2,MAF,939,1.0,9.991615078004639,-0.17724135711731445,2.7674897174661443e-05,-6.257522244359737,7.63683581254863,0.9,0.72,25,20
923,2,MAF,923,1.0,9.991615078004639,0.5543769427901444,7.078992508641699e-46,5.1479154054823395,5.720315908921593,0.9,0.72,25,20
934,2,MAF,934,1.0,9.991615078004639,0.20340712345062417,1.4141545511596381e-06,9.868171699141552,14.44133450448382,0.9,0.72,25,20
930,2,MAF,930,1.0,9.991615078004639,0.3412202339084475,1.5190767553487386e-16,10.95362933730157,16.529381492238585,0.9,0.72,25,20
925,2,MAF,925,1.0,9.991615078004639,0.6610631193897841,9.419673666659832e-71,4.54821891213421,4.708731769728703,0.9,0.72,25,20
937,2,MAF,937,1.0,9.991615078004639,-0.17831780473091277,2.468357983051077e-05,-6.956277324674191,8.818617989634276,0.9,0.72,25,20
922,2,MAF,922,1.0,9.991615078004639,0.2045784432105231,1.2260965659011329e-06,8.525089826718453,13.701258932354273,0.9,0.72,25,20
926,2,MAF,926,1.0,9.991615078004639,0.5800133551882237,4.9958259620838894e-51,7.569713770845387,10.236338755680345,0.9,0.72,25,20
936,2,MAF,936,1.0,9.991615078004639,-0.2001501775695069,2.093739922564691e-06,-2.553485212983871,1.8926196068284935,0.9,0.72,25,20
919,2,MAF,919,1.0,9.991615078004639,0.27006066034206977,1.0700002941056601e-10,7.271648978741486,10.314661831850387,0.9,0.72,25,20
921,2,MAF,921,1.0,9.991615078004639,0.4279176936943125,4.976420389929087e-26,2.1778176358511985,1.4962886216959113,0.9,0.72,25,20
916,2,MAF,916,1.0,9.991615078004639,0.23718260095927304,1.645005085543482e-08,12.461420973585719,23.171645516410997,0.9,0.72,25,20
929,2,MAF,929,1.0,9.991615078004639,-0.23072909528267943,4.070805535824958e-08,-5.29292585611989,5.9006128546604515,0.9,0.72,25,20
940,2,MAF,940,1.0,9.991615078004639,0.6808320762655683,1.536297606025235e-76,8.745244764527014,12.43083126584163,0.9,0.72,25,20
928,2,MAF,928,1.0,9.991615078004639,0.20245158992625267,1.587761422002415e-06,5.327058122227381,6.274710028841835,0.9,0.72,25,20
920,2,MAF,920,1.0,9.991615078004639,0.49216770826751144,4.460014633325216e-35,7.578531103659839,10.208033455608529,0.9,0.72,25,20
932,2,MAF,932,1.0,9.991615078004639,0.42864183000919526,4.0300716620152185e-26,3.0643228321197102,2.5224068493329854,0.9,0.72,25,20
389,2,CREB1,389,1.0,24.485827183288745,0.7497616931605592,6.962937570734628e-101,6.755562287165125,8.705449219002816,0.9545454545454546,0.9130434782608695,23,22
392,2,CREB1,392,1.0,24.485827183288745,-0.44509423546691945,2.9066077259936463e-28,-3.700368129013827,3.383286859029361,0.9545454545454546,0.9130434782608695,23,22
381,2,CREB1,381,1.0,24.485827183288745,0.7350031493365992,4.945978089968892e-95,8.673689078687229,13.928426429064498,0.9545454545454546,0.9130434782608695,23,22
391,2,CREB1,391,1.0,24.485827183288745,0.5472392507002143,1.6073190727672214e-44,10.427649865527485,15.828610680766689,0.9545454545454546,0.9130434782608695,23,22
375,2,CREB1,375,1.0,24.485827183288745,-0.5899754272626004,3.7244009859524695e-53,-7.240799055835625,9.428870215467763,0.9545454545454546,0.9130434782608695,23,22
385,2,CREB1,385,1.0,24.485827183288745,-0.6265806066786371,1.2012850554488599e-61,-6.910860327144592,8.784028052066958,0.9545454545454546,0.9130434782608695,23,22
384,2,CREB1,384,1.0,24.485827183288745,0.5096846402314454,6.773510743985961e-38,5.816821897023532,7.185814566760755,0.9545454545454546,0.9130434782608695,23,22
393,2,CREB1,393,1.0,24.485827183288745,0.18463946863650668,1.2437501776417042e-05,2.2275869555138437,1.5371594469135583,0.9545454545454546,0.9130434782608695,23,22
379,2,CREB1,379,1.0,24.485827183288745,0.5954554467947673,2.3380897527661998e-54,2.2003243736835456,1.5212387705090575,0.9545454545454546,0.9130434782608695,23,22
