,Coefficient
HOXC11,-0.058314613589713876
KLF4,0.0029879005885138934
SOX4,0.03666269734340519
FOXG1,0.027989552394537247
NFKB1,-0.0038985783947274168
STAT1,-0.00954957126465068
HBP1,0.024494068827504538
MIXL1,-0.009153860752494407
MAF,-0.0018806669616668937
IKZF2,0.03464007206295561
IRF8,-0.31514826976046495
NR4A2,0.01800457434655841
FOXC1,0.16378013141079178
JUN,0.0
SOX5,-0.0025645284635062177
PRDM1,0.0035539731173669705
PAX7,0.0
HOXB6,-0.015803917254546808
PAX9,-0.004594065980636332
FOXA1,0.03020026793606145
ELF1,-0.004130072324075119
ZIC2,0.0268870656634003
IRF2,0.0517361458699139
MTF1,0.03723529578673654
CREB3L1,-0.13958521899555631
FOS,-0.002825325344124002
IKZF3,0.010968700683243222
LHX9,0.0207696177279803
ETS1,-0.016670778928357312
FOXQ1,0.0027440767297004427
IRF1,0.2558649519510558
MAFB,0.012833910961148678
EGR2,-0.02345291827363748
BHLHE22,-0.03074330435618006
BCL6,-0.000738708710663157
SREBF1,0.0003944411888814138
