,out_degree_aligned
EHF,10
PRRX1,9
PRDM1,9
IKZF2,9
MECOM,7
REL,7
NR4A2,7
IRF2,6
IRF6,6
FOXA1,6
MAF,5
STAT1,5
DLX5,5
ZBTB4,5
BCL6,5
NFKB1,5
IKZF3,5
KLF4,5
FOXQ1,4
GFI1,4
SP100,4
FOXC1,4
SOX4,4
HBP1,4
LHX9,4
IRF1,4
IRF8,4
JUN,4
SOX17,4
FOS,4
FOXG1,3
EGR2,3
MAFB,3
SOX5,3
SREBF1,3
IRF5,3
SOX13,2
GRHL1,2
BCL6B,2
SPDEF,2
IRF9,2
TFEC,2
ZIC2,2
VENTX,2
MTF1,1
ELF1,1
EGR4,1
CREB3L1,1
POU2AF1,1
SPI1,1
TFAP2A,1
PAX9,1
EOMES,1
MAFF,1
ELF5,1
HOXB6,1
TFAP2C,1
MAX,0
DLX6,0
ETS1,0
FOXI1,0
ZBTB33,0
BHLHE22,0
EVX2,0
PPARG,0
NKX1-2,0
SH2D1A,0
