,Source,Edge,Target
0,IKZF2,0.3309257111962262,ELF5
1,TFAP2C,0.3210303275192391,ELF5
2,PRRX1,0.3240101396974436,EVX2
3,FOXC1,-0.0811777394404541,POU2AF1
4,FOS,0.0253385396575077,POU2AF1
5,BCL6B,0.0280242927847904,POU2AF1
6,EHF,0.049841342027315,POU2AF1
7,JUN,0.0279396312182204,POU2AF1
8,REL,-0.0027407726667543,POU2AF1
9,MAF,0.0056063876189131,POU2AF1
10,ELF1,0.0305095318943416,POU2AF1
11,IKZF2,-0.0081079859332386,POU2AF1
12,DLX6,-0.0078731790105741,POU2AF1
13,IRF2,0.0515971245046405,POU2AF1
14,KLF4,0.2022522444998943,MAF
15,FOXA1,0.2802892685161383,SPDEF
16,EHF,0.3283186707615194,SPDEF
17,EHF,0.2304041904160006,DLX6
18,PRDM1,0.2614520399811078,DLX6
19,SOX4,0.2568536514281532,IKZF2
20,FOXA1,0.3244317731214841,IKZF2
21,NR4A2,0.2905135051690372,IKZF2
22,PRRX1,0.2443978845579613,CREB3L1
23,IRF8,0.4288917720876352,NFKB1
24,REL,0.2672852929746265,NFKB1
25,REL,0.215006847944142,FOXG1
26,PARP1,-0.2164546948946181,VENTX
27,MAFB,0.320436882753393,VENTX
28,SOX17,-0.279688031581129,ZBTB18
29,HOXC11,0.0109101863642308,TEAD4
30,NFKB1,0.0081510141709304,TEAD4
31,POU3F1,0.1098304244191458,TEAD4
32,JUN,-0.0372958531841957,TEAD4
33,MIXL1,0.0589445253696528,TEAD4
34,FOXD3,0.0535788028304547,TEAD4
35,PRDM1,-0.1254447107931016,TEAD4
36,GRHL1,-0.0043808241807024,TEAD4
37,SPI1,-0.0141433469030175,TEAD4
38,IRF6,-0.0542543725482454,TEAD4
39,MYOD1,0.3439267289450634,TEAD4
40,BCL6,-0.0361778795479956,TEAD4
41,REL,0.2084177066838844,IKZF3
42,NFKB1,0.2751168511299747,MTF1
43,CPEB1,0.1889676683955531,MTF1
44,PARP1,0.2569673267540105,MTF1
45,EHF,0.2246489381668841,MTF1
46,SREBF1,0.2116430085152666,MTF1
47,NR4A2,0.270274988099457,PRDM1
48,VENTX,0.1988182826270836,PRDM1
49,PRRX1,0.2140223810736529,PRDM1
50,FOXQ1,0.2667314852306584,PRDM1
51,HOXC11,0.1950063855039303,SOX8
52,PAX7,0.5756975708928211,SOX8
53,SP100,0.3431861243189961,IRF2
54,MYOG,-0.1912417850542232,IRF2
55,BCL6,0.2111612028760813,IRF2
56,IKZF3,0.2158812829257642,IRF2
57,HOXC11,-0.0762669473016881,IRF5
58,MECOM,0.1696281402543683,IRF5
59,STAT1,0.2181359890775314,IRF5
60,BCL6,-0.1142812235974805,IRF5
61,FOXQ1,0.1803574907999965,IRF5
62,SP100,0.1288797294388795,IRF5
63,SPDEF,-0.10078323859673,MAFA
64,SREBF1,-0.2689277035079064,MAFA
65,SOX8,0.4511347918234797,MYOD1
66,MYF6,0.4340188152055648,MYOD1
67,ZBTB4,0.0048538973663692,MAFF
68,PRDM1,0.2542058298263042,MAFF
69,CREB3L1,-0.044630788726647,MAFF
70,PAX9,0.1082529747743639,MAFF
71,SOX8,-0.0277444668396851,KLF4
72,GFI1,0.0174687881795781,KLF4
73,ZBTB18,0.0083346437431952,KLF4
74,BCL6B,0.0966335567966159,KLF4
75,EHF,0.1070803846808397,KLF4
76,HBP1,0.0839820943583416,KLF4
77,SOX5,-0.005485453452229,KLF4
78,IRF1,0.1175935372606108,KLF4
79,MYOG,0.070744737193395,KLF4
80,IRF5,0.0050395173966009,KLF4
81,MAFB,0.149081350280577,KLF4
82,MAFF,0.2149357466099343,KLF4
83,FOXC1,0.2630579113498918,ZBTB33
84,KLF4,0.0723228244466677,ZBTB33
85,MECOM,0.0494648615202486,ZBTB33
86,FOS,-0.0414037633440619,ZBTB33
87,FOXD3,0.0761110458440905,ZBTB33
88,REL,0.1102224648328115,ZBTB33
89,NR4A2,0.2714183597024986,HOXB6
90,MAFA,-0.193161100471222,HOXB6
91,FOXA1,0.225177791500278,FOXC1
92,ZIC2,0.2048814269304215,FOXC1
93,GRHL1,0.2568214703283025,FOXC1
94,DLX5,0.4646674883930161,PRRX1
95,FOXA1,-0.2992909469884161,PRRX1
96,LHX9,0.2082679275033724,PRRX1
97,HOXC11,-0.0583146135897138,FOXI1
98,KLF4,0.0029879005885138,FOXI1
99,SOX4,0.0366626973434051,FOXI1
100,FOXG1,0.0279895523945372,FOXI1
101,NFKB1,-0.0038985783947274,FOXI1
102,STAT1,-0.0095495712646506,FOXI1
