,Alt_ID,in_degree,out_degree,out/in
FOS,FOS,1.0,7.0,7.0
MAF,MAF,1.0,6.0,6.0
SREBF1,SREBF1,1.0,5.0,5.0
IKZF3,IKZF3,1.0,5.0,5.0
MIXL1,MIXL1,1.0,4.0,4.0
EGR2,EGR2,1.0,4.0,4.0
REL,REL,2.0,8.0,4.0
BCL6,BCL6,2.0,8.0,4.0
GFI1,GFI1,1.0,4.0,4.0
IKZF2,IKZF2,3.0,11.0,3.6666666666666665
HOXC11,HOXC11,2.0,7.0,3.5
NFKB1,NFKB1,2.0,7.0,3.5
NR4A2,NR4A2,2.0,7.0,3.5
FOXA1,FOXA1,2.0,7.0,3.5
EHF,EHF,3.0,10.0,3.3333333333333335
PRRX1,PRRX1,3.0,9.0,3.0
STAT1,STAT1,2.0,6.0,3.0
CPEB1,CPEB1,1.0,3.0,3.0
FOXG1,FOXG1,1.0,3.0,3.0
CREB3L1,CREB3L1,1.0,3.0,3.0
FOXQ1,FOXQ1,2.0,5.0,2.5
MYF6,MYF6,2.0,5.0,2.5
DLX5,DLX5,2.0,5.0,2.5
SOX5,SOX5,2.0,5.0,2.5
IRF8,IRF8,2.0,5.0,2.5
SOX4,SOX4,2.0,5.0,2.5
MECOM,MECOM,3.0,7.0,2.3333333333333335
PRDM1,PRDM1,4.0,9.0,2.25
SOX8,SOX8,2.0,4.0,2.0
TFEC,TFEC,1.0,2.0,2.0
ZBTB18,ZBTB18,1.0,2.0,2.0
PARP1,PARP1,1.0,2.0,2.0
PAX9,PAX9,1.0,2.0,2.0
SP100,SP100,2.0,4.0,2.0
LHX9,LHX9,2.0,4.0,2.0
JUN,JUN,3.0,5.0,1.6666666666666667
FOXC1,FOXC1,3.0,5.0,1.6666666666666667
NKX2-3,NKX2-3,2.0,3.0,1.5
SPDEF,SPDEF,2.0,3.0,1.5
FOXD3,FOXD3,4.0,6.0,1.5
MYOG,MYOG,2.0,3.0,1.5
IRF2,IRF2,4.0,6.0,1.5
PAX7,PAX7,2.0,3.0,1.5
IRF1,IRF1,3.0,4.0,1.3333333333333333
HBP1,HBP1,3.0,4.0,1.3333333333333333
SOX17,SOX17,3.0,4.0,1.3333333333333333
ZIC2,ZIC2,2.0,2.0,1.0
MAFB,MAFB,3.0,3.0,1.0
EOMES,EOMES,2.0,2.0,1.0
IRF9,IRF9,2.0,2.0,1.0
HOXB6,HOXB6,2.0,2.0,1.0
VENTX,VENTX,2.0,2.0,1.0
MAFA,MAFA,2.0,2.0,1.0
SOX13,SOX13,2.0,2.0,1.0
POU3F1,POU3F1,2.0,2.0,1.0
EGR4,EGR4,1.0,1.0,1.0
MYOD1,MYOD1,2.0,2.0,1.0
IRF6,IRF6,7.0,6.0,0.8571428571428571
BCL6B,BCL6B,3.0,2.0,0.6666666666666666
ELF1,ELF1,3.0,2.0,0.6666666666666666
ZBTB4,ZBTB4,10.0,6.0,0.6
IRF5,IRF5,6.0,3.0,0.5
ELF5,ELF5,2.0,1.0,0.5
MAFF,MAFF,4.0,2.0,0.5
BHLHE22,BHLHE22,2.0,1.0,0.5
TFAP2A,TFAP2A,2.0,1.0,0.5
DLX6,DLX6,2.0,1.0,0.5
TFAP2C,TFAP2C,2.0,1.0,0.5
KLF4,KLF4,12.0,5.0,0.4166666666666667
SPI1,SPI1,3.0,1.0,0.3333333333333333
GRHL1,GRHL1,9.0,2.0,0.2222222222222222
MTF1,MTF1,5.0,1.0,0.2
ETS1,ETS1,10.0,1.0,0.1
POU2AF1,POU2AF1,11.0,1.0,0.09090909090909091
TEAD4,TEAD4,12.0,1.0,0.08333333333333333
NKX1-2,NKX1-2,12.0,1.0,0.08333333333333333
ZBTB33,ZBTB33,6.0,0.0,0.0
FOXI1,FOXI1,34.0,0.0,0.0
EVX2,EVX2,1.0,0.0,0.0
MAX,MAX,19.0,0.0,0.0
HIC2,HIC2,1.0,0.0,0.0
PPARG,PPARG,2.0,0.0,0.0
SH2D1A,SH2D1A,2.0,0.0,0.0
