,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2970,2,HOXD10,2970,1.0,1.9296600634468823,0.1853124189784807,0.16756551719141827,3.4980706958016925,2.4038958984996577,0.75,0.48,25,16
2984,2,HOXD10,2984,1.0,1.9296600634468823,0.2644542390458906,0.04682292404244575,2.6378662180078907,1.8596723940671385,0.75,0.48,25,16
2982,2,HOXD10,2982,1.0,1.9296600634468823,0.4168395125745398,0.0012573916008786648,3.896133784478129,3.147633249782271,0.75,0.48,25,16
2981,2,HOXD10,2981,1.0,1.9296600634468823,0.38870884106818776,0.002806778617279628,3.864047672913315,3.035107109455102,0.75,0.48,25,16
2975,2,HOXD10,2975,1.0,1.9296600634468823,-0.29511278195488727,0.025841734077324926,-5.191474678884657,4.10849762567011,0.75,0.48,25,16
2978,2,HOXD10,2978,1.0,1.9296600634468823,0.464998703655691,0.00026811515734974535,3.973300297420618,2.9806362736946252,0.75,0.48,25,16
2962,2,HOXD10,2962,1.0,1.9296600634468823,0.4834067928441795,0.00013947805561112734,5.271821616852428,4.13020711412341,0.75,0.48,25,16
2967,2,HOXD10,2967,1.0,1.9296600634468823,0.4466554316826549,0.0004961933866835856,2.4113816296392945,1.6569384154904585,0.75,0.48,25,16
2971,2,HOXD10,2971,1.0,1.9296600634468823,0.3505963183821623,0.0075008327332116344,3.481275839759807,2.432663772360343,0.75,0.48,25,16
2985,2,HOXD10,2985,1.0,1.9296600634468823,0.4137282862328235,0.0013788941686285262,4.155452601954013,2.9709298710890284,0.75,0.48,25,16
2976,2,HOXD10,2976,1.0,1.9296600634468823,0.2633523463831994,0.047781179619430535,3.7464746623917673,2.6595998513338364,0.75,0.48,25,16
2968,2,HOXD10,2968,1.0,1.9296600634468823,0.4100985221674877,0.0015338745649968828,2.300078380712436,1.4499362161343896,0.75,0.48,25,16
1973,2,FOXI1,1973,1.0,2.363916611750209,0.589648315894498,1.391422413268717e-06,3.070849120898,2.285028821993562,0.8888888888888888,0.64,25,18
1993,2,FOXI1,1993,1.0,2.363916611750209,0.5212633006487123,3.2173911943594057e-05,3.7907668226613556,2.7839462336798633,0.8888888888888888,0.64,25,18
1981,2,FOXI1,1981,1.0,2.363916611750209,0.4792863316361695,0.0001619710483712002,2.309538003388501,1.4843792214403502,0.8888888888888888,0.64,25,18
1985,2,FOXI1,1985,1.0,2.363916611750209,0.3332537774657741,0.011304751126893458,2.4094671818720084,1.6292406567518998,0.8888888888888888,0.64,25,18
1974,2,FOXI1,1974,1.0,2.363916611750209,0.6136257708077658,3.8667584880586296e-07,3.913589098074253,3.176739571334871,0.8888888888888888,0.64,25,18
1992,2,FOXI1,1992,1.0,2.363916611750209,0.33686681861708845,0.010397765172394774,3.3568094082640463,2.44986302204089,0.8888888888888888,0.64,25,18
1982,2,FOXI1,1982,1.0,2.363916611750209,0.4377692042247031,0.0006604932157769459,3.70295278648729,2.7912395887083945,0.8888888888888888,0.64,25,18
1983,2,FOXI1,1983,1.0,2.363916611750209,0.44466682824084863,0.0005293491769565402,2.45221770678188,1.665859938955589,0.8888888888888888,0.64,25,18
1977,2,FOXI1,1977,1.0,2.363916611750209,0.4128063744519859,0.0014168656729794309,2.1554524479056223,1.4394182562694613,0.8888888888888888,0.64,25,18
1972,2,FOXI1,1972,1.0,2.363916611750209,0.5338760988496642,1.8964833211539254e-05,3.110270326288407,2.426153351770296,0.8888888888888888,0.64,25,18
1990,2,FOXI1,1990,1.0,2.363916611750209,0.5147598265763466,4.191334596562545e-05,4.333319391111178,3.796265205014257,0.8888888888888888,0.64,25,18
1971,2,FOXI1,1971,1.0,2.363916611750209,-0.2225633349209625,0.09610579140615907,-3.3710619829905184,2.8307529580326407,0.8888888888888888,0.64,25,18
1980,2,FOXI1,1980,1.0,2.363916611750209,0.5032637865494373,6.602946177659307e-05,4.48102458568221,3.9549062504048758,0.8888888888888888,0.64,25,18
1975,2,FOXI1,1975,1.0,2.363916611750209,0.4546519601499355,0.00038102445509782335,2.454519492322606,1.6199736505273634,0.8888888888888888,0.64,25,18
1987,2,FOXI1,1987,1.0,2.363916611750209,0.3885661529095316,0.002817744895601486,2.4170239602058015,1.6276743768497544,0.8888888888888888,0.64,25,18
1989,2,FOXI1,1989,1.0,2.363916611750209,0.3166994798270248,0.01638631933139639,3.2777110643683978,2.6608765750506707,0.8888888888888888,0.64,25,18
543,2,FOXC1,543,1.0,3.3475629445354325,0.5447886958776251,1.1797479518327812e-05,4.939125341525125,4.499063394726597,1.0,0.56,25,14
530,2,FOXC1,530,1.0,3.3475629445354325,0.47530464091262636,0.0001868119556325755,4.135335109763868,3.444468798000689,1.0,0.56,25,14
535,2,FOXC1,535,1.0,3.3475629445354325,0.4170339642208971,0.00125012699308469,2.546550287851984,1.7525041431657864,1.0,0.56,25,14
539,2,FOXC1,539,1.0,3.3475629445354325,-0.37671765620948927,0.003872309790016144,-3.1588402948051075,2.5593918294428954,1.0,0.56,25,14
536,2,FOXC1,536,1.0,3.3475629445354325,0.34106818771065595,0.009422873813448184,3.6101261208510147,2.7636842347737307,1.0,0.56,25,14
529,2,FOXC1,529,1.0,3.3475629445354325,0.35435571687840295,0.006842301731816977,3.748991691737073,2.7908612696144552,1.0,0.56,25,14
521,2,FOXC1,521,1.0,3.3475629445354325,0.5480295566502463,1.021329409313109e-05,2.953481554327449,2.228766748828443,1.0,0.56,25,14
537,2,FOXC1,537,1.0,3.3475629445354325,0.516333938294011,3.9334060100845626e-05,3.2414001380277835,2.3020268708102885,1.0,0.56,25,14
523,2,FOXC1,523,1.0,3.3475629445354325,0.5941145968369199,1.1047767813211773e-06,3.7502116168218853,3.00969486909316,1.0,0.56,25,14
526,2,FOXC1,526,1.0,3.3475629445354325,0.23846253564946854,0.07404516185661705,4.097817373443224,2.989864724675161,1.0,0.56,25,14
520,2,FOXC1,520,1.0,3.3475629445354325,-0.3376976925071299,0.010198327933592892,-3.5258828762277448,3.0264719198152283,1.0,0.56,25,14
542,2,FOXC1,542,1.0,3.3475629445354325,0.20093336790251493,0.1339418573305132,4.602488451044632,3.664410129139157,1.0,0.56,25,14
527,2,FOXC1,527,1.0,3.3475629445354325,0.46772102670469284,0.0002439790844590463,2.249344087690595,1.5328200676125145,1.0,0.56,25,14
522,2,FOXC1,522,1.0,3.3475629445354325,0.5498444386829142,9.414800919936714e-06,3.012478066690679,2.2439179748523803,1.0,0.56,25,14
3484,2,NR4A2,3484,1.0,3.3375558981266287,0.3964869069224786,0.0022634137158307767,2.988567717131683,2.1987004611668226,1.0,0.6666666666666666,24,16
3476,2,NR4A2,3476,1.0,3.3375558981266287,0.5186673580502982,3.577901486393603e-05,4.103035935185679,3.1636042703653127,1.0,0.6666666666666666,24,16
3471,2,NR4A2,3471,1.0,3.3375558981266287,0.35072595281306723,0.007477236664883291,4.123222960147141,3.1421160060801223,1.0,0.6666666666666666,24,16
3477,2,NR4A2,3477,1.0,3.3375558981266287,0.5506222452683432,9.090669282835847e-06,2.4552193791293,1.608519359166903,1.0,0.6666666666666666,24,16
3492,2,NR4A2,3492,1.0,3.3375558981266287,0.3219471091521908,0.014597804204700256,3.1568349193742495,2.2119173127278815,1.0,0.6666666666666666,24,16
3470,2,NR4A2,3470,1.0,3.3375558981266287,0.42857142857142866,0.0008809336660925289,2.378896792185672,1.4864852252847047,1.0,0.6666666666666666,24,16
3475,2,NR4A2,3475,1.0,3.3375558981266287,0.5385014259787401,1.5539691580953507e-05,2.4526269728245684,1.6941888990963678,1.0,0.6666666666666666,24,16
3472,2,NR4A2,3472,1.0,3.3375558981266287,0.6685247601763029,1.3250721313239146e-08,2.6375949420489433,1.8529074749086711,1.0,0.6666666666666666,24,16
3479,2,NR4A2,3479,1.0,3.3375558981266287,0.4996110967072855,7.603058630604148e-05,4.135293848129514,2.9518072165460527,1.0,0.6666666666666666,24,16
3491,2,NR4A2,3491,1.0,3.3375558981266287,0.2488981073373088,0.06190050229839014,2.5753318670579675,1.6552565305029876,1.0,0.6666666666666666,24,16
3482,2,NR4A2,3482,1.0,3.3375558981266287,0.24209229971480428,0.06962272186031496,2.935712726547499,2.2535639793672475,1.0,0.6666666666666666,24,16
3489,2,NR4A2,3489,1.0,3.3375558981266287,0.6700155561317086,1.1972159081558413e-08,4.624160702037657,4.02632585300982,1.0,0.6666666666666666,24,16
3473,2,NR4A2,3473,1.0,3.3375558981266287,0.24410163339382943,0.06726681688534893,5.645264441481455,4.536254661599066,1.0,0.6666666666666666,24,16
3469,2,NR4A2,3469,1.0,3.3375558981266287,-0.19458128078817735,0.14694307416870905,-3.484260960394767,2.9841145496316908,1.0,0.6666666666666666,24,16
3486,2,NR4A2,3486,1.0,3.3375558981266287,0.36466165413533835,0.0052891046371272435,3.1078554676423344,2.2245771396977676,1.0,0.6666666666666666,24,16
3481,2,NR4A2,3481,1.0,3.3375558981266287,-0.4862587503240861,0.00012562571779334338,-3.1031423956617687,2.3848109030166893,1.0,0.6666666666666666,24,16
3885,2,TBX1,3885,-1.0,2.3226385681312243,-0.4487295825771326,0.0004636272651308386,2.857529002670237,2.1329844469336408,0.7333333333333333,0.44,25,15
3892,2,TBX1,3892,-1.0,2.3226385681312243,0.5313715322789733,2.109909744351502e-05,-3.2782085294619927,2.740001957778497,0.7333333333333333,0.44,25,15
3886,2,TBX1,3886,-1.0,2.3226385681312243,-0.3457350272232305,0.008433845873961104,3.2795437131501366,2.501503918321253,0.7333333333333333,0.44,25,15
3887,2,TBX1,3887,-1.0,2.3226385681312243,-0.37775473165672807,0.0037677753841102173,4.231931492784747,3.6609325578038705,0.7333333333333333,0.44,25,15
