,state
674d36ec-24ea-488f-9b77-59fd7bfa362c,6.0
94b73102-d49e-4ce8-9b49-7c109b3ec27c,4.0
15480c1e-4d9c-4ff7-b94a-717f19afa786,2.0
4864a82f-b571-4665-82fa-9bbef2141c99,5.0
858bfd11-9fd2-4446-9f5b-7b57d658329f,1.0
b6fbe491-da36-443e-830e-335a02ca85de,1.0
3a8d40e2-492c-44c9-ac9d-97a85a684c01,4.0
2ccb3ae1-0d27-4493-b7ae-67c60bbc1c38,7.0
852bfcac-470a-4aeb-a0ec-b9062230003b,6.0
fc37b7c0-fe10-4268-a979-b8ca09b8cd40,6.0
1dd0d00e-72aa-4bcf-9a84-9a302ead944a,2.0
1c3e4f12-f2ea-4a31-888f-fc70d78a9460,6.0
5a413bb9-038f-4c3a-9477-7ac0c8eb9864,4.0
d630fa02-e6cb-4ad1-bc00-8bcb1be82365,2.0
a6b67c26-3357-4e70-a056-e7be7faee36a,2.0
3d23319c-990c-4a8c-a3e1-e07d49e2a08d,6.0
87967ebf-b02f-4a23-a484-cdf8f2f2fd94,7.0
6930acd3-a62b-4640-86a5-f0781445e9b3,6.0
dd9f618c-1ce7-4fa9-aa64-13b5fb938ad0,2.0
87974eff-c2de-4930-93e3-015e6d996440,2.0
586a6fb8-a894-40d9-8629-63ff59e9d45e,7.0
433599cc-9df5-4494-a607-8079ffe74d95,1.0
ce6cf8db-3607-4ad6-84ca-242bda3189c2,1.0
933e8885-ea6b-426c-8ecd-601b3ff52f0b,1.0
f01cd56e-e7f4-43cb-bb7e-183c37c1780d,1.0
f093d9b4-b562-419d-9dc1-878f4d6d2c1f,1.0
8e56d859-7862-4cd3-a86c-8780c6387420,2.0
3ea5be53-4932-4605-a6a0-eee393aa4231,6.0
cdb7c7c5-aa40-4a19-9fdb-b0fef096fc33,6.0
7b0bf632-79e5-46b5-aac8-4a6d5a193449,4.0
4d46b5de-186a-4d35-8e1b-64701c13bc69,2.0
63fb462c-bf1f-4b6d-9a9c-a76f24acf684,2.0
64fccf76-c73f-401d-974a-bbb4f1cbc8a0,6.0
cb84de78-e6e3-443d-a4f6-35a66d6685a3,7.0
4addbe21-dcf2-4270-83c9-a3a39f6c8bbc,1.0
c1522fa7-3b21-4f3e-b32d-844b5090d2d3,1.0
ac437e07-95d5-48a3-83a3-ad3151387f21,1.0
a288b0ad-07fe-4bd8-b851-a789eba05606,1.0
ee4ab031-ac4d-46a4-9334-cddaa1c5c806,7.0
0c90acb7-4425-4795-9228-81c4a3c4d421,4.0
264525a9-f7db-4012-a93b-cf8a7626f125,2.0
36040cab-ff77-4540-bb44-7961a6a54b29,1.0
8bdb99c4-8d5c-49f2-8ad1-ad552ce85334,3.0
8ff181b7-b12e-4946-82f8-22c2cd65fa4b,3.0
b6752b47-317e-4c9a-8bae-e265ffc8e755,4.0
3c8afb34-4fb9-404e-a6fd-ddfd6703e956,4.0
2d57e24b-97a6-4b85-bc8f-3e02ddc6c460,1.0
1da5b13c-f18a-4cec-891d-17e2735e0b7c,1.0
287f3696-25cf-4e67-a934-e50856ad4790,1.0
a37bca25-009e-48be-96bc-ae5d0df5c299,6.0
0c8972ee-1c5f-4076-87a1-65c13df8b89f,4.0
9a222c45-33e0-493d-aa66-cda9bc5188a3,7.0
639b81a5-8e86-4a89-b778-65cb820cacac,4.0
4405f995-ae79-46f9-bfee-81caecf42bae,1.0
71eaf17c-f7e7-4ed5-9db0-6f3680cd89ba,4.0
7cb71d36-d225-4e70-aef0-c7103706e4f0,4.0
688efd86-95da-4442-87f0-dbf9e6b549fd,2.0
