,Regulon_ID,Regulator,Gene
0,0,ETS1,MBNL1
1,0,ETS1,IDE
2,0,ETS1,RBAK
3,0,ETS1,NIPAL2
4,0,ETS1,PLAC8L1
5,0,ETS1,KPNA4
6,0,ETS1,COX11
7,0,ETS1,THAP1
8,0,ETS1,USF3
9,0,ETS1,SLC20A1
10,0,ETS1,CCDC90B
11,0,ETS1,USP46
12,0,ETS1,APAF1
13,0,ETS1,KLHDC1
14,0,ETS1,ELOVL5
15,0,ETS1,C1orf52
16,0,ETS1,PIGH
17,0,ETS1,COG7
18,0,ETS1,CBFB
19,0,ETS1,ZZZ3
20,0,ETS1,IRAK4
21,0,ETS1,MATN1
22,0,ETS1,GCLM
23,0,ETS1,PIGF
24,0,ETS1,MRPL42
25,0,ETS1,BRD7
26,0,ETS1,ASCL5
27,0,ETS1,UBR1
28,0,ETS1,NNT
29,0,ETS1,WHAMM
30,0,ETS1,MREG
31,0,ETS1,TSFM
32,0,ETS1,KPNA5
33,0,ETS1,RAB3GAP1
34,0,ETS1,TMEM70
35,0,ETS1,LCA5
36,0,ETS1,TIPARP
37,0,ETS1,IRF2BP2
38,0,ETS1,PAK1IP1
39,0,ETS1,HMGN4
40,0,ETS1,UBLCP1
41,0,ETS1,RMDN2
42,0,ETS1,CHD2
43,0,ETS1,SLC25A30
44,0,ETS1,COX18
45,0,ETS1,MAK16
46,0,ETS1,SLC40A1
47,0,ETS1,SYPL1
48,0,ETS1,FKBP5
49,0,ETS1,ZIK1
50,0,ETS1,MAP3K13
51,0,ETS1,SNX30
52,0,ETS1,UPF3A
53,0,ETS1,ZNF134
54,0,ETS1,FAF2
55,0,ETS1,SMG1
56,0,ETS1,MAP3K7
57,0,ETS1,ZC3H12A
58,0,ETS1,ZNF12
59,0,ETS1,PSMD11
60,0,ETS1,THOC2
61,0,ETS1,COG5
62,0,ETS1,NFKBIA
63,0,ETS1,TMEM129
64,0,ETS1,NMRK1
65,0,ETS1,ATF6
66,0,ETS1,TRIO
67,0,ETS1,OPN5
68,0,ETS1,EMCN
69,0,ETS1,ZNF25
70,0,ETS1,EZR
71,0,ETS1,EIF4H
72,0,ETS1,ARL5A
73,0,ETS1,MORC3
74,0,ETS1,FAM120A
75,0,ETS1,SCO1
76,0,ETS1,SENP1
77,0,ETS1,ZNF445
78,0,ETS1,CD9
79,0,ETS1,CLEC4A
80,0,ETS1,B4GALT1
81,0,ETS1,PLEKHA5
82,0,ETS1,ASNSD1
83,0,ETS1,TNRC6B
84,0,ETS1,PAG1
85,0,ETS1,PLEKHA3
86,0,ETS1,SLC4A1AP
87,0,ETS1,BROX
88,0,ETS1,ASB7
89,0,ETS1,PPP3CC
90,0,ETS1,NT5C2
91,0,ETS1,CCP110
92,0,ETS1,PILRA
93,0,ETS1,AP5M1
94,0,ETS1,ZXDC
95,0,ETS1,GABPB1
96,0,ETS1,DNAJC25
97,0,ETS1,CEP95
98,0,ETS1,THUMPD1
99,0,ETS1,MEF2A
100,0,ETS1,GSK3B
101,0,ETS1,NBPF15
102,0,ETS1,SLC30A6
103,0,ETS1,YPEL2
104,0,ETS1,CMTR2
105,0,ETS1,DYM
106,0,ETS1,TCOF1
107,0,ETS1,ABHD3
108,0,ETS1,XPC
109,0,ETS1,MTMR6
110,0,ETS1,PTPN4
111,0,ETS1,TMF1
112,0,ETS1,SET
113,0,ETS1,ZNF202
114,0,ETS1,SLC19A2
115,0,ETS1,SLC36A4
116,0,ETS1,NDUFB3
117,0,ETS1,BMPR2
118,0,ETS1,SEC31B
119,0,ETS1,SDE2
120,0,ETS1,SGSM1
121,0,ETS1,KCTD15
122,0,ETS1,RRM2
123,0,ETS1,SH3D19
124,0,ETS1,MRPS31
125,0,ETS1,AMN1
126,0,ETS1,FOXN2
127,0,ETS1,CDK5RAP2
128,0,ETS1,RAPGEF6
129,0,ETS1,FANK1
130,0,ETS1,PUM2
131,0,ETS1,EXOG
132,0,ETS1,CCDC174
133,0,ETS1,USP31
134,0,ETS1,POLR3A
135,0,ETS1,FNDC3A
136,0,ETS1,ACAP2
137,0,ETS1,GCFC2
138,0,ETS1,FBXO30
139,0,ETS1,ERI2
140,0,ETS1,ALG10
141,0,ETS1,ZNF780B
142,0,ETS1,PSMA7
143,0,ETS1,METTL3
144,0,ETS1,USP40
145,0,ETS1,TRAM2
146,0,ETS1,GPATCH2L
147,0,ETS1,RAB8B
148,0,ETS1,KIF2A
149,0,ETS1,ADAM9
150,0,ETS1,PREX2
151,0,ETS1,CLNS1A
152,0,ETS1,BRAF
153,0,ETS1,SNUPN
154,0,ETS1,RPL26
155,0,ETS1,ZBTB8OS
156,0,ETS1,HMGXB3
157,0,ETS1,NCAPG2
158,0,ETS1,SCYL3
159,0,ETS1,BTN2A1
160,0,ETS1,RTN4
161,0,ETS1,CRLF3
162,0,ETS1,NODAL
163,0,ETS1,STRAP
164,0,ETS1,CNOT8
165,0,ETS1,UACA
166,0,ETS1,SLMAP
167,0,ETS1,NPAT
168,0,ETS1,VLDLR
169,0,ETS1,ATG16L2
170,0,ETS1,CFLAR
171,0,ETS1,GSTCD
172,0,ETS1,MAP9
173,0,ETS1,SOS2
174,0,ETS1,DNAJC7
175,0,ETS1,ZNF320
176,0,ETS1,CORIN
177,0,ETS1,DBR1
178,0,ETS1,CYFIP2
179,0,ETS1,GOPC
180,0,ETS1,HAUS1
181,0,ETS1,ZNHIT6
182,0,ETS1,MYNN
183,0,ETS1,TMEM242
184,0,ETS1,TMEM154
185,0,ETS1,R3HDM1
186,0,ETS1,RWDD4
187,0,ETS1,KTN1
188,0,ETS1,FNBP1
189,0,ETS1,LZTFL1
190,0,ETS1,CCNT1
191,0,ETS1,TWF1
192,0,ETS1,MRPL35
193,0,ETS1,ATP2B4
194,0,ETS1,SLC25A46
195,0,ETS1,EFNB2
196,0,ETS1,SLFN12
197,0,ETS1,AP4E1
198,0,ETS1,SMC4
199,0,ETS1,TBC1D31
200,0,ETS1,PRKRIP1
201,0,ETS1,TCP11L2
202,0,ETS1,ECHDC1
203,0,ETS1,DYRK1A
204,0,ETS1,PXT1
205,0,ETS1,HEATR3
206,0,ETS1,ZMYND11
207,0,ETS1,F2R
208,0,ETS1,CCDC77
209,0,ETS1,EXOC1
210,0,ETS1,CDR2
211,0,ETS1,GNL2
212,0,ETS1,ARNT
213,0,ETS1,KDM2B
214,0,ETS1,MKLN1
215,0,ETS1,MED28
216,0,ETS1,APPL1
217,0,ETS1,SH3KBP1
218,0,ETS1,NSUN3
219,0,ETS1,ZNF195
220,0,ETS1,TASP1
221,0,ETS1,C9orf85
222,0,ETS1,ZFR
223,0,ETS1,KMO
224,0,ETS1,ZNF572
225,0,ETS1,MAPK9
226,0,ETS1,MLLT3
227,0,ETS1,SNRNP48
228,0,ETS1,TNKS2
229,0,ETS1,KCNK1
230,0,ETS1,ABCD4
231,0,ETS1,GOLGB1
232,0,ETS1,POLR1C
233,0,ETS1,TOR1B
234,0,ETS1,HNMT
235,0,ETS1,DPM1
236,0,ETS1,ZBTB44
237,0,ETS1,IFT20
238,0,ETS1,SHROOM4
239,0,ETS1,MBLAC2
240,0,ETS1,HELQ
241,0,ETS1,DUS4L
242,0,ETS1,SLC18A2
243,0,ETS1,PSIP1
244,0,ETS1,MRPS28
245,0,ETS1,PSD3
246,0,ETS1,CGGBP1
247,0,ETS1,UPF2
248,0,ETS1,CYP3A7-CYP3A51P
249,0,ETS1,ACVR2A
250,0,ETS1,SETDB2
251,0,ETS1,ZNF780A
252,0,ETS1,PLD1
253,0,ETS1,GSE1
254,0,ETS1,RBM39
255,0,ETS1,SLFN5
256,0,ETS1,CFAP53
257,0,ETS1,ORMDL3
258,0,ETS1,PPFIA4
259,0,ETS1,NMT2
260,0,ETS1,CHD5
261,0,ETS1,ATF3
262,0,ETS1,KIF16B
263,0,ETS1,C3orf38
264,0,ETS1,FAR2
265,0,ETS1,ZNF823
266,0,ETS1,ZBTB7A
267,0,ETS1,KLHL24
268,0,ETS1,USP53
269,0,ETS1,ENAH
270,0,ETS1,KLF13
271,0,ETS1,DICER1
272,0,ETS1,BBOF1
273,0,ETS1,FBXL3
274,0,ETS1,PEX11A
275,0,ETS1,ALCAM
276,0,ETS1,LTV1
277,0,ETS1,ZFP91
278,0,ETS1,NAE1
279,0,ETS1,NVL
280,0,ETS1,TMEM161B
281,0,ETS1,ABCD2
282,0,ETS1,SDR9C7
283,0,ETS1,DBF4
284,0,ETS1,NEK1
285,0,ETS1,UBE2W
286,0,ETS1,TRIP12
287,0,ETS1,NPTN
288,0,ETS1,DPY19L1
289,0,ETS1,ARHGAP12
290,0,ETS1,CCNT2
291,0,ETS1,HACD3
292,0,ETS1,CYP3A4
293,0,ETS1,STIM2
294,0,ETS1,MIOS
295,0,ETS1,GIN1
296,0,ETS1,KLHL28
297,0,ETS1,ANKRD10
298,0,ETS1,SAMD9L
299,0,ETS1,RMI1
300,0,ETS1,KCNMB3
301,0,ETS1,FYCO1
302,0,ETS1,SMC6
303,0,ETS1,SYNCRIP
304,0,ETS1,BLZF1
305,0,ETS1,OSBPL3
306,0,ETS1,ACSL4
307,0,ETS1,GNA13
308,0,ETS1,ZNF800
309,0,ETS1,ZNF136
310,0,ETS1,ENTPD5
311,0,ETS1,PIGB
312,0,ETS1,CCDC6
313,0,ETS1,CCT2
314,0,ETS1,TNPO3
315,0,ETS1,SRP72
316,0,ETS1,RPE
317,0,ETS1,ELK3
318,0,ETS1,RABGGTB
319,0,ETS1,USP30
320,0,ETS1,FRA10AC1
321,0,ETS1,SOWAHC
322,0,ETS1,ZNF396
323,0,ETS1,ARID4B
324,0,ETS1,LGALS8
325,0,ETS1,RARB
326,0,ETS1,METTL21A
327,0,ETS1,USP44
328,0,ETS1,ZNF223
329,0,ETS1,ZNF280D
330,0,ETS1,DENND5A
331,0,ETS1,TMOD2
332,0,ETS1,ZNF221
333,0,ETS1,EMC2
334,0,ETS1,SPAG9
335,0,ETS1,IFNGR1
336,0,ETS1,KBTBD4
337,0,ETS1,GLS
338,0,ETS1,PISD
339,0,ETS1,BTBD7
340,0,ETS1,B3GNT5
341,0,ETS1,USP37
342,0,ETS1,PANK3
343,0,ETS1,BCL10
344,0,ETS1,RUFY3
345,0,ETS1,TXNDC9
346,0,ETS1,ST7L
347,0,ETS1,TOMM20L
348,0,ETS1,TAB3
349,0,ETS1,TLK1
350,0,ETS1,GLIPR1
351,0,ETS1,OXSR1
352,0,ETS1,VMA21
