,Coefficient
NFYA,0.07866118815564847
POU2F1,0.0
FOXC2,0.24665016185246555
ZSCAN26,-0.00024016550169337733
RFX1,-0.000149124993217414
FOXD3,-0.0021391365454847613
RARA,-0.0012273086933626517
DLX3,0.022435817669932075
BACH1,0.017676531064640663
CNOT3,0.0
HESX1,-0.0024561810674615554
KLF12,0.01988031577558459
ZNF217,-0.07992355037586946
MEF2A,0.0006993813499756044
NFIA,-0.16621300674365572
BRF1,0.08066200232155828
ZBTB49,-0.0018105352870859803
PEG10,-0.0033234783867443106
KLF11,-0.028238332902021712
TBP,-0.029624076969723426
AHR,-0.0024830950038083237
NR2C2,5.200209348498557e-05
