,Coefficient
TBX1,0.05312487316952583
NFIL3,0.15690724686103344
ATF2,0.0
GBX1,0.0015402294655360881
LHX4,0.0
KLF15,-0.013342009393874034
NR6A1,-0.0008656611235935528
RARB,-0.04373720977393014
FOXO1,0.014831206468793155
ZNF217,-0.015891793403539328
MEF2A,0.0
BBX,-0.08004186360605578
SOX12,0.1309096887526559
CREB1,-0.0038272025218533297
NF1,-0.0008601106551955778
ZBTB7A,0.15422962446497668
ATF1,-0.09426262959186676
ELF4,0.05593215320466355
AHR,-0.07899194870343478
POU2F1,0.0
BHLHA15,-0.05776288021257913
ZNF8,0.002767161105460542
FOXP1,-0.07757856655055288
HIF1A,0.0
SOX4,0.015770523627640927
BACH1,-0.002402763543348624
ELK3,0.0
NFIA,-0.048921454854696414
ETV1,-0.002764090512561694
TBP,0.0
CEBPZ,-0.0014501450069330365
NR2C2,-0.01782606378345293
DLX2,-0.004766603527582886
