,Coefficient
HSF2,0.002452335705203986
TGIF2,0.1399958624726558
ZSCAN26,0.23647719210338408
NFIL3,0.0
RARA,-0.00029476257213099987
LHX4,0.0
ELF1,0.026028811172942347
ZNF282,0.039268300778413645
ELK4,0.0
RARB,0.11937764674444491
ELK3,0.0
ZNF217,0.09239929551565496
JUN,0.0
SOX12,0.0
IRF2,0.0018528524042066333
RFX3,0.0
ETV1,0.04452367560042083
TP53,0.0005520226498995911
ARNT,0.0
ATF1,0.14582815128169618
ETV3,0.05251175799432582
ETV2,-0.07128848337412302
ESRRG,0.039346054261770944
CLOCK,0.0
DLX2,-0.00038214114689795985
