,Coefficient
POU2F1,-0.0014069576443987706
HIF1A,-0.003125773598107582
ATF2,-0.00044273556176673294
RARA,0.22502484960806965
TEAD4,0.08382997793489456
KLF7,0.003144707529549798
KLF15,-0.01281327426977606
NR2F6,0.006013227538155569
ZNF217,-0.25976270683673497
MEF2A,0.0
JUN,-0.07711841222648669
SOX12,0.00617511052993024
CREB1,0.0
RFX3,-0.05336640958140979
PEG10,0.0006337342029341279
TNFRSF10A,-0.09874091046113534
ELF4,0.003645614447395465
KLF11,0.17757466704679903
CEBPZ,-0.020923221243163575
MAZ,-0.0008600544074319041
SP1,0.08097858819794494
DLX2,-0.002809759537830729
