,out_degree_aligned
NFIA,14
CREB1,10
ZNF143,10
ZFX,9
RARB,9
KLF15,7
ZNF217,7
ATF1,7
NR6A1,6
POU2F1,6
SOX5,6
NR2C2,6
AHR,6
KLF12,5
ETV1,5
ELK3,5
HENMT1,5
ESRRG,5
PRDM4,5
ELK4,5
BBX,5
TCF7L2,5
ZBTB49,4
HIF1A,4
ZSCAN26,4
RFX7,4
HLTF,4
BACH1,4
YY1,4
MEF2A,4
CEBPZ,4
JUN,4
HSF2,3
ZNF148,3
ETV3,3
ATF2,3
SP3,3
NFIL3,3
VBP1,3
NF1,3
FOXP1,3
KLF11,3
CREM,2
CLOCK,2
IRF2,2
TGIF2,2
PEG10,2
NFYA,2
MTF1,2
RFX3,2
PLAG1,2
MGA,2
BPTF,2
ARNT,2
HESX1,2
TBP,2
SP4,2
PPARG,2
ELF1,2
ZBTB6,2
PAX9,2
BHLHA15,1
SOX4,1
CDC5L,1
MECP2,1
KLF7,1
ZBTB33,1
ZNF8,1
TNFRSF10A,1
FOXO1,1
SP1,1
ETS1,1
ELF2,1
FOXD3,1
VSX1,0
HLF,0
DLX3,0
HIC2,0
ZBTB7A,0
GBX1,0
CREB5,0
ZNF713,0
NR1H4,0
ZNF35,0
LHX4,0
TFCP2L1,0
GSC,0
SATB1,0
DBX1,0
