,Alt_ID,in_degree,out_degree,out/in
RARB,RARB,2.0,11.0,5.5
NFIA,NFIA,3.0,16.0,5.333333333333333
ZNF143,ZNF143,2.0,10.0,5.0
ELK3,ELK3,2.0,5.0,2.5
MEF2A,MEF2A,3.0,7.0,2.3333333333333335
PRDM4,PRDM4,3.0,7.0,2.3333333333333335
SOX5,SOX5,3.0,6.0,2.0
PAX9,PAX9,1.0,2.0,2.0
HLTF,HLTF,4.0,4.0,1.0
KLF7,KLF7,2.0,2.0,1.0
GBX1,GBX1,1.0,1.0,1.0
ZBTB6,ZBTB6,3.0,2.0,0.6666666666666666
SP4,SP4,3.0,2.0,0.6666666666666666
FOXO1,FOXO1,4.0,2.0,0.5
HENMT1,HENMT1,13.0,6.0,0.46153846153846156
ELF2,ELF2,3.0,1.0,0.3333333333333333
