,Source,Edge,Target
0,KLF12,0.2876218531863595,NR1H4
1,ELK4,0.3158550570621868,ELF2
2,ELK3,0.2360516076671156,ELF2
3,ZBTB33,0.324551828672437,ELF2
4,RARB,-0.252705754961268,DBX1
5,ZFX,0.3647400586018439,DBX1
6,POU2F1,0.2574465545798629,LHX4
7,ZFX,0.2405766907395279,LHX4
8,ESRRG,0.3653173397183535,LHX4
9,PLAG1,0.241721647280206,ZSCAN26
10,HLTF,0.5342768350375587,ZSCAN26
11,SP3,0.2732340133588623,HLTF
12,TEAD4,-0.1547549243767742,HLTF
13,KLF15,0.1464995040473023,HLTF
14,CREB1,0.4084259235217641,HLTF
15,CNOT3,0.419204950131292,ELF4
16,CREM,0.3219993226619935,ELF4
17,VBP1,0.3290295804621008,TNFRSF10A
18,FOXP1,0.2280357529269958,RARA
19,NR2F6,0.3065159038146697,RARA
20,HIC1,0.328326213062849,RARA
21,CREB1,0.4256404730239277,SP4
22,AHR,0.2767694727999043,SP4
23,HLTF,0.196553822571734,SP4
24,CREB1,0.3426383914029859,ZFX
25,ZNF148,0.2978955616664817,ZFX
26,RFX3,0.2246821681907369,ZFX
27,ZBTB49,0.2038078362113945,SP3
28,ATF1,0.6599167605132139,SP3
29,SOX12,0.3469407057876665,MAZ
30,BBX,-0.3770328448087066,MAZ
31,ELK4,0.1915694883625086,HESX1
32,NFIA,0.3189486518958802,HESX1
33,HLTF,0.2993348922221807,HESX1
34,ZBTB49,-0.1159151365997944,ZNF282
35,RFX1,0.5210293622441422,ZNF282
36,RARB,-0.1557323895454384,ZNF282
37,POU2F1,0.2829457006755501,PLAG1
38,BBX,0.5207895118727339,PLAG1
39,POU2F1,0.0497525451345264,VSX1
40,SOX21,0.2836087222052166,VSX1
41,HESX1,-0.0676319551322962,VSX1
42,NR1H4,-0.0699834720552363,VSX1
43,ESRRG,0.4154080814227475,VSX1
44,RFX7,0.5034848328005455,NF1
45,CREB1,0.347455841555672,NF1
46,SOX5,-0.388440437236153,HLX
47,FOXC2,0.1722689194800042,FOXD1
48,ELK4,0.2869675119029971,FOXD1
49,NFIA,-0.2090169581954063,FOXD1
50,HLX,0.2492620934361942,FOXD1
51,DLX2,0.2230402763143765,FOXD1
52,NFIA,-0.3140851305642385,TEAD4
53,FOXP1,-0.3401612834066991,TEAD4
54,HENMT1,0.2426495584133999,MTF1
55,RFX7,0.270912560231499,MTF1
56,HIF1A,0.4423959243528146,MTF1
57,NR2C2,-0.4685016212764366,ATF5
58,YY1,0.5106478972681834,ATF2
59,ZFX,0.374696744971715,ATF2
60,AHR,0.4353779923822239,IRF2
61,SP1,0.3568244021056957,IRF2
62,ZNF143,0.2947149805479417,POU2F1
63,MEF2A,0.3137333183588985,POU2F1
64,ZNF8,0.2445012567417181,POU2F1
65,BBX,-0.5880351912924188,HSF1
66,NFYA,0.2863332448805043,HSF1
67,NR2F6,0.1836628402897403,HSF1
68,NR6A1,0.3636802696403956,KLF15
69,NFIA,0.316156284581735,KLF15
71,KLF16,0.1503390478588044,RFX1
72,ZNF8,0.0026889738247383,RFX1
73,FOXP1,-0.0067416963797618,RFX1
76,PRDM4,0.005852371941873,RFX1
77,FOXD3,0.007894913717902,RFX1
79,RARA,0.1649937727149732,RFX1
80,TEAD4,0.0062387628623499,RFX1
82,HIC1,0.2133872463704886,RFX1
83,KLF12,-0.0008911463061948,RFX1
84,ZNF217,0.0026685978550272,RFX1
85,NFIA,0.0007029146146697,RFX1
88,DLX2,-0.0137029512651716,RFX1
90,ETV2,-0.0437131458070382,RFX1
91,CEBPZ,-0.3016259793470831,RFX1
92,GSC,0.0276216295599119,RFX1
93,SP4,0.2969991689667867,KLF12
94,CENPB,-0.1737793532038354,KLF12
95,RFX1,0.3071795565630191,TP53
96,SOX5,-0.2562822958145362,TP53
97,RARA,0.0923043731724165,TP53
98,SOX12,0.1291316122953045,TP53
99,ZBTB6,0.1098872915039029,TFCP2L1
100,RARB,-0.034237041850542,TFCP2L1
101,CREM,0.0708469610366097,TFCP2L1
102,ETV3,0.0745656255952443,TFCP2L1
103,LHX4,-0.0116867642370153,TFCP2L1
104,HENMT1,-0.0541236891250687,TFCP2L1
105,NR2F6,0.0622589300969747,TFCP2L1
106,HIC1,-0.1284900851099771,TFCP2L1
107,NR6A1,-0.2169891015194326,TFCP2L1
108,ZNF143,0.8592159706631572,CREB1
109,ELF2,0.7798328539253528,ZBTB33
110,SP4,0.2482705090689508,PEG10
111,JUN,-0.0687718995488725,PEG10
112,CREM,-0.0290551395783361,PEG10
113,ETV1,0.2192720996700211,PEG10
114,MEF2A,0.0279673703213258,NFIL3
115,ZNF143,0.196767740423895,NFIL3
116,HLX,0.0531956577816717,NFIL3
117,ETV1,0.0097700960415585,NFIL3
118,MAZ,-0.0552274804496475,NFIL3
119,CLOCK,0.4061119518665038,NFIL3
120,SP3,0.3956877205755376,CEBPZ
121,BACH1,0.1994554660184134,CEBPZ
122,ELK3,0.2707816467970008,CEBPZ
123,ZNF217,0.2440121731004814,BBX
124,ATF1,0.2163716878313482,BBX
125,NR2C2,0.4608163308134928,BBX
126,ZNF217,0.2268285257268031,ZNF35
127,PAX9,0.2015549329195202,ZNF35
128,ZSCAN26,0.3820976974276707,ZNF35
129,NFIA,-0.1281778583077473,RFX7
130,KLF16,-0.1585525886474402,RFX7
131,ZBTB49,0.1814375386734465,RFX7
132,PRDM4,0.5009805036286831,RFX7
133,CREB1,0.4143591604269245,MEF2A
134,YY1,0.2574390047100068,MEF2A
135,HIF1A,0.2092188460668726,MEF2A
136,SOX12,0.4246964182648737,CENPB
137,ESRRG,-0.2414721838040045,CENPB
138,NFIX,0.0656017274710872,CENPB
139,VBP1,0.4675564847887417,ZBTB6
140,CREM,0.1974571831700854,ZBTB6
141,NR2C2,0.2478827628673429,ZBTB6
142,DLX2,0.1827003599889543,SOX21
143,BBX,-0.2911652765191703,HIC1
144,BRF1,0.3604277485353855,HIC1
145,HSF2,0.8284842492632817,TBP
146,RARB,0.2533530551697175,ESRRG
147,NR6A1,0.0883598297086693,ESRRG
148,KLF12,0.2689113838939759,ESRRG
149,MECP2,0.0851326272115767,ESRRG
