,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2401,5,SOX5,2401,1.0,5.786088293792064,-0.46169714017815283,1.627243809528132e-05,-9.71761183020801,11.2070394012676,1.0,0.64,25,16
2398,5,SOX5,2398,1.0,5.786088293792064,0.34786685419596813,0.0015678641264948825,2.984633840272542,2.207180208894772,1.0,0.64,25,16
2393,5,SOX5,2393,1.0,5.786088293792064,-0.5580637599624941,7.522807611244258e-08,-8.957596982916703,11.208583246496723,1.0,0.64,25,16
2403,5,SOX5,2403,1.0,5.786088293792064,-0.44402250351617445,3.6969421457625755e-05,-8.470081447505159,10.177339779053954,1.0,0.64,25,16
2412,5,SOX5,2412,1.0,5.786088293792064,0.40543834974214726,0.00019083821948332754,2.500633211555177,1.7753971964168909,1.0,0.64,25,16
2397,5,SOX5,2397,1.0,5.786088293792064,0.4095171120487577,0.00016192766338359903,10.969808448341922,15.73157804241245,1.0,0.64,25,16
2396,5,SOX5,2396,1.0,5.786088293792064,0.5838490389123301,1.3118425166830038e-08,7.16990070939154,7.299854913340535,1.0,0.64,25,16
2406,5,SOX5,2406,1.0,5.786088293792064,0.29662447257383967,0.007545660426608393,3.7967562712269722,3.170007728669208,1.0,0.64,25,16
2392,5,SOX5,2392,1.0,5.786088293792064,0.4770042194092828,7.699562247424108e-06,4.076403521007619,3.420750906316734,1.0,0.64,25,16
2413,5,SOX5,2413,1.0,5.786088293792064,-0.3015002344116268,0.006571524628889037,-7.772384654073775,8.471402904175797,1.0,0.64,25,16
2400,5,SOX5,2400,1.0,5.786088293792064,0.4475386779184248,3.151397161843697e-05,5.6669152448767965,5.996954336992405,1.0,0.64,25,16
2391,5,SOX5,2391,1.0,5.786088293792064,-0.2537271448663854,0.023147704534946658,-5.737912201365504,6.750269001002872,1.0,0.64,25,16
2402,5,SOX5,2402,1.0,5.786088293792064,0.5541022034692921,9.711462470116188e-08,5.916736441076046,6.092996795611164,1.0,0.64,25,16
2389,5,SOX5,2389,1.0,5.786088293792064,0.2651195499296765,0.017469288282219133,5.632323960265323,6.4615569155537615,1.0,0.64,25,16
2395,5,SOX5,2395,1.0,5.786088293792064,-0.2196671354899203,0.050250590678571655,-5.594108179307788,5.471471188996108,1.0,0.64,25,16
