,state
e25c9578-9493-466e-a2cd-546deb076b2d,1.0
3353f579-77ca-4d0e-b794-37de467cc065,3.0
7a920210-cf3d-4458-b6d5-d9b2adaca469,3.0
14f2f39a-ea0f-4027-8877-feeeeff1f085,1.0
ea35e230-de50-45ab-a737-d5c430652a90,5.0
d34b0bc6-9142-48ae-a113-5923192644a0,5.0
cfb8573c-9f36-4715-b6f1-6e5b543168a8,3.0
8bc2213d-99da-44e0-826f-ebf211eecfbf,3.0
da00d60f-4cf1-4003-baf5-896ee2bee2d4,2.0
976507f2-192b-4095-920a-3014889cd617,3.0
9166f454-2068-46c2-b2eb-fb3be4126536,3.0
d6365feb-cc12-4337-bf8c-66236a585b5d,1.0
39d66b95-61c7-4b76-8e81-1f9f98024b69,3.0
535a5e8e-8478-477f-87ff-ed6742aa5473,1.0
d0758a7a-9d0e-4ea4-8ee9-7143b398647d,5.0
bb948be8-7d48-4aeb-a404-c27a79655d7e,5.0
abbd6efe-079b-4be3-95ab-36af9197d684,1.0
0ce61cdc-3257-4f03-951b-cc2cfcf675ae,2.0
1055e951-5b93-4ad7-be5c-4df4f6aecef3,2.0
83b2a0bb-ce24-4dca-b03a-d20353304365,6.0
e6e08c1a-4c1b-4572-92df-da15bcbadf76,2.0
2badcd01-27e8-49ec-b707-4fae3d3cb489,3.0
b216f996-ccd8-4f56-99b1-4ea9769b10b8,5.0
3dbbdeda-f9fc-40dc-804f-45429ea47ed4,1.0
f400fd4d-72d7-4933-b145-64b7ee245ffc,2.0
198d8e89-51fd-41de-ad11-fb2f2fe49908,1.0
c8c48afd-4d8b-491e-993c-3506dc6dd00f,5.0
a2473ee7-72d6-4d32-9df7-5d4e444a6715,2.0
d357ac5c-c2a0-4cc4-b016-4572400af117,1.0
71a0ab6a-cfc2-46f6-878c-6052c5b43d22,5.0
3f87e9ed-3719-48e1-8b69-e352a03e982d,5.0
f2995599-3f21-4f33-92bb-7d70a4735938,3.0
d8351e5c-dc1d-4b4d-83e6-735b2750d944,1.0
7338d61c-77d6-4095-8847-7fd9967b7646,3.0
76c574ff-26bf-49cd-9bca-7bddcbd06d5d,1.0
ba016f57-f58f-4a66-b85a-0b0f911eea65,3.0
cb35ded2-5fea-43e2-ab42-b6b3a7444b66,5.0
0782d6d0-668b-4b83-8c91-8a35ea3bff6d,1.0
a7a16bf7-5e60-4e50-be04-542efc4db472,1.0
a4168812-c38e-4f15-9af6-79f256279e72,4.0
effccf33-60e1-4550-b13c-14c54adcf479,5.0
093fb845-7905-4064-8e8e-76e3587d8e7c,5.0
437c7aa7-98c0-48c7-97da-86ff44d69b87,2.0
b837d582-a0d3-46be-8eca-883f5396ae88,3.0
0d36fad5-ba81-4fed-9e2a-db016f2ef18c,3.0
634672a6-c68e-479f-aab5-cbaff7758ea4,3.0
59f65f61-03d0-4909-99bd-4ccb53a088a5,5.0
efc730ec-6385-4167-a65a-f2a3aaeda2ac,3.0
09cbee39-7141-4228-afd3-4714e32a1fb5,1.0
ef1a102f-c206-4874-8f27-0bf069a613b8,3.0
8b6e1f9b-1e90-4333-8e0c-eedff25d15c0,1.0
3fff89d9-02f5-4d49-8631-099562bf99c7,2.0
e226c45e-5287-4d0f-a34b-ce251fa293cb,3.0
bc761676-f64c-476a-8d9b-bd3e6149b2cd,1.0
a6930b33-d9b2-4318-807c-4a25eb4cccdd,1.0
ac78918e-1031-4ae6-b753-b0799171f0f0,3.0
47a45491-6023-44bf-abc2-9a470f7fc1f7,2.0
519dbd5f-66c0-4cee-905c-799c855d28fb,3.0
55a39f92-cc88-4a2f-a7d3-7a59debebb42,5.0
eec6da0c-5c49-4efe-976a-19f432ddaa58,3.0
db676839-02aa-42a7-962f-89d6ad892008,3.0
43cd31cd-5fae-418a-b235-49e54560590d,1.0
2328d472-583b-43a9-81a4-a21ddebb5b18,1.0
06dae086-d960-4156-9dc8-d126338e2f29,2.0
b6dd72b0-eefa-41a9-b71d-22de1343cd32,5.0
2b729cd9-71a5-4336-acba-922a30af4949,2.0
dea60b47-ad6a-4ebb-9402-6f97e9640e4e,2.0
ac1700d5-72e7-4c7f-a288-869dfc229252,5.0
6b497ced-34da-4cf8-8f8d-696105cb3d5f,5.0
bcfcbbac-eb95-47eb-9eb0-2cb4ae283a75,5.0
649ade7e-6c06-4ab6-8e97-d8c2aaf79a7e,2.0
1c17b65f-1930-4cf3-99b6-5d3aa9e99188,2.0
b76db955-69b7-4d05-8166-2569ed44628c,3.0
c45eb423-cc14-4bdb-a0b4-447e5db6da9c,3.0
9506723f-9193-4d8e-bd97-8a0062ab2f9c,5.0
3ee533bd-5832-4007-8f1f-439166256eb0,1.0
a2c71c07-af0c-4016-808c-dfef458c91c7,3.0
98b2a7f8-a7bd-4da2-8541-950e44d9acd7,1.0
d3fc3968-b263-4756-bf7f-1941f70b04da,3.0
f5b9b89b-6821-43ee-bcfd-623689d03af9,1.0
